"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","THICKNESS_OF_I","IND_FOR_PRECIP"
"WDF4764","2021-09-10T06:00:00","21.10","-108.80",,,"1","5","2","5","7","3","1",,"220","3","72","1","98",,,"10130","2","27","8","270",,"260","256",,,,,"A",,"A","A",,,,,,,"239","18","798","172","5","1","2","1","F11111","111AA1111A8AA1","5",,,,,
"PINX","2021-09-10T07:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","40","4","26",,"98",,,"10084","4","0","0","270",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11111F","111AA11AA18131",,"1",,"0",,"4"
"WDF4764","2021-09-10T09:00:00","21.50","-109.40",,,"1","5","2","5","7","3","1",,"240","3","93",,,,,"10113","7","8","8","272",,"256","249",,,"3","3","1","A","A","A",,,,"30",,,"239","19","798","172","5","1","2","1","F11111","11AAA1111A1A71","5",,,"20",,
"WDF4764","2021-09-10T12:00:00","21.90","-109.90",,,"1","5","2","5","7","3","1",,"250","3","103","1","98",,,"10110","6","3","8","270",,"250","241",,,"7","3","3","A","1","A",,,,"30",,,"239","19","798","172","5","1","2","1","F11111","111AA1111A1A71","5",,,,,
"PINX","2021-09-10T19:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","210","4","57",,"98","3","1","10079","7","11","0","300",,,,"1","300","5","4","4","6","5","0",,"0","0","0",,,"239","5","992","114","5","1","2","2","11111F","1111111AA11131",,"1","1","0",,"4"
"9V9400","2021-09-11T06:00:00","20.40","-108.30",,,"1","6","2","5","7","4","1",,"300","4","62","1","98","2","0","10040","2","10","8","290",,"260","248","3","282",,,"A",,"A","A",,"3","1",,,,"239","8","798","172","5","1","2","1","111111","111111111181A1","5",,"0",,,
"PINX","2021-09-11T07:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","60","4","26",,"97","50","5","10077","7","5","0","270",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11111F","1111111AA18131",,"1","5","0",,"4"
"9V9400","2021-09-11T10:00:00","21.30","-109.30",,,"1","6","2","5","7","4","1",,"290","4","57","1","97","2","1","10040","0","0","8","270",,"240","226","3","270",,,"A",,"A","A",,"3","1","24","14","3","239","19","798","172","5","1","2","1","111111","11111111118111","5",,"1",,,
"PINX","2021-09-11T14:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","2","1","10070","4","0","0","260",,,,"1","250","4",,"0","9","6","8",,"0","0","0",,,"239","5","992","114","5","1","2","2","41FF16","1111111A911331",,"1","1","0",,"4"
"PINX","2021-09-11T19:00:00","20.10","-105.20",,,"1","6","2","5","9","0","1",,"210","4","72","1","98","2","1","10051","7","11","8","310",,,,"1","300","4","2","3","6","7","A","0","0","0","38",,,"239","5","798","172","5","1","2","2","11111F","1111111AA11171","5",,"1","38",,
"PINX","2021-09-11T23:00:00","20.60","-105.20",,,"1","5","2","5","9","0","1",,"240","4","51","1","98","2",,"10035","7","11","8","320",,,,,,"3","3","2","4","0","0",,,,,,,"239","5","798","172","5","1","2","2","F1112F","1111A11AAA1AA1","5",,,,,
"PINX","2021-09-12T02:00:00","20.60","-105.20",,,"1","5","2","5","9","0","1",,"260","4","10",,,"2","0","10050",,,"8","300",,,,,,"4","3","1","A","2","2",,,,,,,"239","5","798","172","5","1","2","1","F1111F","11A1111AAA1AAA","5",,"0",,,
"A8SI6","2021-09-12T06:00:00","20.70","-109.40",,,"1","6","2","5","3","4","1",,"330","4","67","1","98","1","0","10136","2","10","8","260",,"240","231","1","280","2","2","4","1","0","0",,,,,,,"239","9","798","172","5","1","2","1","111111","11111111111AA1","5",,"0",,,
"PINX","2021-09-12T07:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","10","4","21",,"97","13","9","10067","3","2","0","280",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11111F","1111111AA18131",,"1","5","0",,"4"
"PINX","2021-09-12T10:00:00","20.60","-105.20",,,"1","5","2","5","9","0","1",,"340","4","26","1","98",,,"10057","7","8","8","256",,,,,,,,"A",,"A","A",,,,,,,"239","5","798","172","5","1","2","1","F1111F","111AA11AAA8AA1","5",,,,,
"PINX","2021-09-12T11:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","50","4","21",,"98","2",,"10056","7","8","0","261",,,,,,,,,"A",,,,,,"0",,,"239","5","992","114","5","1","2","1","F1111F","1111A11AAA8A31",,"1",,"0",,"4"
"PINX","2021-09-12T12:00:00","20.60","-105.20",,,"1","5","2","5","9","0","1",,"50","4","15","1","98","2",,"10055","7","5","8","263",,,,,,,,"A",,"A","A",,,,,,,"239","5","798","172","5","1","2","1","F1111F","1111A11AAA8AA1","5",,,,,
"PINX","2021-09-12T15:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","361","4","0",,"98","2","1","10060","2",,"0","300",,,,"1","260","3",,"2","8","4","A",,"0","0","0",,,"239","5","992","114","5","1","2","2","211116","1111111A911337",,"1","1","0",,"4"
"3EDZ7","2021-09-12T19:00:00","21.40","-109.40",,,"1","6","2","5","7","4","1",,"320","3","129","1","98",,,"10095",,,"8","240",,"220","210","1","280","6","6","6","6","2","7",,"7","5",,,,"239","19","798","172","5","1","2","2","111211","111AA1111111AA","5",,,,,
"PINX","2021-09-12T19:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","250","4","46",,"98","2","2","10061","7","9","0","310",,,,"1","300","6","4","3","6","7","A",,"0","0","0",,,"239","5","992","114","5","1","2","2","11111F","1111111AA11131",,"1","2","0",,"4"
"PINX","2021-09-13T00:00:00","20.60","-105.50",,,"1","4","0","0","6","2","1","0","310","4","51",,"98","2",,"10040","2","10","0","300",,,,"1","300","4","4","5","6","0","0",,"99","1","0",,,"239","5","992","114","5","1","2","2","111126","1111A11A911331",,"1",,"0",,"4"
"PINX","2021-09-13T03:00:00","20.70","-105.90",,,"1","6","2","5","6","2","1",,"270","4","41","1","98","13","9","10050",,,"8","290",,,,"1","250","7",,"3","6","A","A",,"3","2",,,,"239","5","798","172","5","1","2","1","411116","1111111A9111AA","5",,"2",,,
"PINX","2021-09-13T08:00:00","20.90","-106.60",,,"1","6","2","5","6","2","1",,"330",,"41","1","98","13","9","10068","7",,"8","281",,,,"1","290","1","1","1","A","0","A","33","4","0","34","6","1","239","6","798","172","5","1","2","1","11111F","1111111AA11117","5",,"1",,,
"H3WC","2021-09-13T12:00:00","21.90","-109.70",,,"1","6","2","5","3","4","1",,"340","4","77","1","98","13","1","10060","4","0","8","270",,"260","257","3","270","3","3","A","4","1","A",,"1","3",,,,"239","19","798","172","5","1","2","1","111111","111111111111A1","5",,"1",,,
"PINX","2021-09-13T12:00:00","21.10","-107.10",,,"1","6","2","5","6","2","1",,"280","4","31","1","98","2",,"10063","7","1","8","279",,,,"1","295",,,"A",,"A","A",,,,,,,"239","17","798","172","5","1","2","1","11111F","1111A11AA18AA1","5",,,,,
"PINX","2021-09-13T13:00:00","21.10","-107.20",,,"1","6","2","5","6","2","1",,"240","4","31","1","98","2",,"10067","2","8","8","278",,,,"1","295","3","3","1","4","6","A",,,,"8","10","4","239","17","798","172","5","1","2","1","11111F","1111A11AA11A11","5",,,,,
"PINX","2021-09-13T16:00:00","21.30","-107.70",,,"1","4","0","0","6","2","1","0","250","4","36",,"98","2","1","10080","2",,"0","280",,,,"1","260","4",,"1","A","A","2",,"4","1","38","15","4","239","17","992","114","5","1","2","2","111116","1111111A911117",,"1","1",,,"4"
"S6FM8","2021-09-13T18:00:00","21.60","-109.60",,,"1","6","2","5","3","3","1",,"340","4","36","1","98","3","1","10125","4","0","8","310",,"290","283","1","290","5","5","7","5","7","4",,"2","1","34","2","1","239","19","798","172","5","1","2","2","111111","11111111111111","5",,"1",,,
"PINX","2021-09-13T20:00:00","21.50","-108.30",,,"1","6","2","5","6","2","1",,"270",,"46","1","98","2","0","10071","7",,"8","295",,,,"1","290","3","2","1","4","6","5","27","3","0","26","5","1","239","18","798","172","5","1","2","2","11111F","1111111AA11117","5",,"0",,,
"PINX","2021-09-14T00:00:00","21.70","-108.90",,,"1","6","2","5","6","2","1",,"270","4","82","1","98","2",,"10062","7","3","8","285",,,,"1","291","1","1","1","4","A","A",,"7","3","9","7","3","239","18","798","172","5","1","2","2","11111F","1111A11AA11111","5",,,,,
"PINX","2021-09-14T05:00:00","22.00","-109.50",,,"1","4","0","0","6","2","1","0","310","4","77",,"98",,,"10070","3",,"0","270",,,,"1","250",,,,"A",,,,"4","1","38","12","4","239","29","992","114","5","1","2","1","111116","111AA11A918117",,"1",,,,"4"
"DFKM2","2021-09-14T09:00:00","20.90","-107.90",,,"1","6","2","5","3","4","1",,,,,"1","98","3","1","10113","5","8","8","269","0","245","236","1","275","8",,"A","A","A","A",,,,,,,"239","7","798","172","5","0",,"1","11FF11","1A111111111AA1","5",,"1",,,
"9HA2907","2021-09-14T19:00:00","21.30","-108.80",,,"1","4","0","0",,,"1","0","300","3","87",,,,,"10130",,,"0","310",,,,"3","300",,,,"A",,,,,"5","21",,"5","239","18","992","114","5","1","2","2","11111F","11AAA11AA1833A",,"3",,,,"4"
"VRTM7","2021-09-15T12:00:00","21.90","-109.90",,,"1","6","2","5","3","5","1",,"320","3","103","1","98",,,"10092",,,"8","250",,"230","222","7","280",,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","1","111111","111AA111118AAA","5",,,,,
"VRTM7","2021-09-15T13:00:00","21.70","-109.60",,,"1","6","2","5","3","5","1",,"320","3","103","1","98",,,"10097",,,"8","250",,"230","222","7","280","8","5","8","5","7","A",,,,,,,"239","19","798","172","5","1","2","1","111111","111AA111111AAA","5",,,,,
"VRTM7","2021-09-15T14:00:00","21.50","-109.30",,,"1","6","2","5","3","5","1",,"320","3","103","1","98",,,"10098",,,"8","250",,"240","236","7","280","6","3","5","5","9","4",,,,,,,"239","19","798","172","5","1","2","2","111111","111AA111111AAA","5",,,,,
"VRTM7","2021-09-15T15:00:00","21.30","-109.00",,,"1","6","2","5","3","5","1",,"300","3","51","1","97","1",,"10090",,,"8","250",,"240","236","7","260","3","3","4","5","4","A",,"3","1",,,,"239","19","798","172","5","1","2","2","111111","1111A1111111AA","5",,,,,
"VRTM7","2021-09-15T16:00:00","21.10","-108.70",,,"1","4","0","0","3","4","1","0","300","3","67",,"95","2","7","10110","0",,"0","280","0","210","176",,"240","3","3","1","6","A","A",,"4","2","0",,,"239","18","992","114","5","1","2","2","211114","11144111111137",,"1","7","0",,"4"
"ZCDM6","2021-09-15T16:00:00","21.80","-108.50",,,"1","6","2","5","3","2","1",,"280","3","67","1","99","2","1","10069",,,"8","280",,"250","237","1","300","6","5","5","5","6","A",,"4","1","29","5","3","239","18","798","172","5","1","2","2","111111","1111111111111A","5",,"1",,,
"VRTM7","2021-09-15T17:00:00","20.90","-108.40",,,"1","4","0","0","3","4","1","0","320","3","72",,"95","2","7","10120","0",,"0","280","0","210","176",,"240","3","3","1","6","A","A",,"4","2","0",,,"239","8","992","114","5","1","2","2","211114","11144111111137",,"1","7","0",,"4"
"9V5243","2021-09-15T18:00:00","21.20","-108.90",,,"1","4","0","0","7","5","1","0","210","3","57",,"98","3","1","10115",,,"0","302","0","252","230","1","290","4","4","1","4","4","5",,"4","1","38","14","4","239","18","992","114","5","1","2","2","111111","1111111111111A",,"1","1",,,"4"
"H3BV","2021-09-15T18:00:00","20.30","-107.20",,,"1","4","0","0","7","4","1","0","300","4","10",,"98","58","5","10100","4","0","0","280","0","260","252","1","290","4","4","4","3","4","8",,"8","0",,,,"239","7","992","114","5","1","2","2","111111","111111111111A1",,"1","1",,,"4"
"VRTM7","2021-09-15T18:00:00","20.70","-108.10",,,"1","4","0","0","3","4","1","0","320","3","72",,"95","2","7","10120","0",,"0","280","0","210","176",,"240","3","3","1","6","A","A",,"4","2","0",,,"239","8","992","114","5","1","2","2","211114","11144111111137",,"1","7","0",,"4"
"VRTM7","2021-09-15T19:00:00","20.50","-107.80",,,"1","6","2","5","3","4","1",,"300","3","77","1","98","3","2","10100","4","0","8","300",,"280","274","7","300","7","2","4","6","6","4",,"7","4","34","7","4","239","7","798","172","5","1","2","2","111111","11111111111111","5",,"2",,,
"VRTM7","2021-09-15T20:00:00","20.30","-107.50",,,"1","6","2","5","3","4","1",,"300","3","93","1","98","3","2","10100","4","0","8","300",,"280","274","7","300","7","2","5","6","6","4",,"7","4","32","7","4","239","7","798","172","5","1","2","2","111111","11111111111111","5",,"2",,,
"VRTM7","2021-09-15T21:00:00","20.20","-107.20",,,"1","6","2","5","3","4","1",,"300","3","93","1","98","3","2","10100","4","0","8","300",,"280","274","7","300","7","2","5","6","6","4",,"7","4","32","7","4","239","7","798","172","5","1","2","2","111111","11111111111111","5",,"2",,,
"VRTM7","2021-09-15T22:00:00","20.00","-107.00",,,"1","6","2","5","3","4","1",,"310","3","93","1","98","3","2","10100","4","0","8","300",,"280","274","7","300","7","2","4","6","6","4",,"7","4","33","7","4","239","7","798","172","5","1","2","2","111111","11111111111111","5",,"2",,,
"XCAY9","2021-09-15T23:00:00","23.10","-106.40",,,"1","5","2","5","9","0","1",,,,,,,,,"10076","5","16","8","310",,"265","249",,,,,"A",,"A","A",,,,,,,"239","36","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,
"H3BV","2021-09-16T00:00:00","21.40","-109.00",,,"1","6","2","5","7","4","1",,"310","4","93","1","98",,,"10080",,,"8","300",,"270","258","1","290","4","4","5","5","4","5",,"2","2",,,,"239","19","798","172","5","1","2","2","111111","111AA1111111AA","5",,,,,
"XCAY9","2021-09-16T00:00:00","23.20","-106.50",,,"1","5","2","5","6","1","1",,,,,,,,,"10072","6","11","8","295",,"257","244",,,,,"A",,"A","A",,,,,,,"239","36","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-16T03:00:00","25.50","-109.10",,,"1","5","2","5","9",,"1",,,,,,,,,"10075","3","14","8","298",,"257","242",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-16T04:00:00","25.50","-109.00",,,"1","5","2","5","9",,"1",,,,,,,,,"10083","3","20","8","296",,"256","241",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-16T05:00:00","25.50","-109.00",,,"1","5","2","5","9",,"1",,,,,,,,,"10085","1","17","8","297",,"258","244",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-16T06:00:00","23.70","-108.50",,,"1","5","2","5","9",,"1",,,,,,,,,"10093","0","7","8","291",,"260","249",,,,,"A",,"A","A",,,,,,,"239","38","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-16T06:00:00","25.50","-109.00",,,"1","5","2","5","1","1","1",,,,,,,,,"10081","0","6","8","298",,"261","247",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-16T07:00:00","25.50","-109.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10077","8","6","8","298",,"265","253",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-16T08:00:00","23.90","-109.10",,,"1","5","2","5","9",,"1",,,,,,,,,"10083","8","11","8","290",,"263","254",,,,,"A",,"A","A",,,,,,,"239","39","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-16T08:00:00","25.50","-109.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10078","5","7","8","298",,"263","251",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-16T09:00:00","24.00","-109.40",,,"1","5","2","5","6","4","1",,,,,,,,,"10079","6","14","8","288",,"256","244",,,,,"A",,"A","A",,,,,,,"239","49","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-16T09:00:00","25.50","-109.20",,,"1","5","2","5","5","1","1",,,,,,,,,"10070","8","11","8","301",,"268","257",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-16T10:00:00","24.10","-109.80",,,"1","5","2","5","9",,"1",,,,,,,,,"10073","8","16","8","279",,"243","229",,,,,"A",,"A","A",,,,,,,"239","49","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-16T10:00:00","25.20","-109.40",,,"1","5","2","5","5","2","1",,,,,,,,,"10067","8","10","8","296",,"267","258",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-16T11:00:00","24.20","-110.00",,,"1","5","2","5","7","4","1",,,,,,,,,"10074","5","9","8","272",,"245","235",,,,,"A",,"A","A",,,,,,,"238","40","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-16T11:00:00","25.00","-109.60",,,"1","5","2","5","5","4","1",,,,,,,,,"10065","5","12","8","289",,"254","242",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-16T12:00:00","24.80","-109.80",,,"1","5","2","5","5","4","1",,,,,,,,,"10069","5","1","8","283",,"248","234",,,,,"A",,"A","A",,,,,,,"239","49","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-17T03:00:00","24.20","-110.00",,,"1","5","2","5","2","2","1",,,,,,,,,"10078","1","10","8","292",,"258","245",,,,,"A",,"A","A",,,,,,,"238","40","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-17T07:00:00","23.80","-108.80",,,"1","5","2","5","2","4","1",,,,,,,,,"10097","1","7","8","284",,"254","242",,,,,"A",,"A","A",,,,,,,"239","38","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-17T08:00:00","23.70","-108.50",,,"1","5","2","5","2","4","1",,,,,,,,,"10104","3","10","8","279",,"248","237",,,,,"A",,"A","A",,,,,,,"239","38","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-17T09:00:00","23.60","-108.10",,,"1","5","2","5","2","4","1",,,,,,,,,"10106","3","10","8","281",,"247","235",,,,,"A",,"A","A",,,,,,,"239","38","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-17T12:00:00","23.30","-107.20",,,"1","5","2","5","2","4","1",,,,,,,,,"10107","3","2","8","277",,"247","235",,,,,"A",,"A","A",,,,,,,"239","37","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-17T16:00:00","23.10","-106.40",,,"1","5","2","5","9",,"1",,,,,,,,,"10143","3","24","8","287",,"256","245",,,,,"A",,"A","A",,,,,,,"239","36","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-17T17:00:00","23.10","-106.40",,,"1","5","2","5","9",,"1",,,,,,,,,"10142","0","19","8","303",,"265","252",,,,,"A",,"A","A",,,,,,,"239","36","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-17T18:00:00","23.10","-106.40",,,"1","5","2","5","9",,"1",,,,,,,,,"10141","0","6","8","330",,"280","264",,,,,"A",,"A","A",,,,,,,"239","36","798","172","5","1","2","2","F3FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-17T19:00:00","23.10","-106.40",,,"1","5","2","5","9","0","1",,,,,,,,,"10137","8","7","8","325",,"275","259",,,,,"A",,"A","A",,,,,,,"239","36","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-18T00:00:00","23.20","-106.50",,,"1","5","2","5","6","1","1",,,,,,,,,"10116","5","6","8","319",,"270","253",,,,,"A",,"A","A",,,,,,,"239","36","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-18T04:00:00","23.50","-107.90",,,"1","5","2","5","6","4","1",,,,,,,,,"10136","1","17","8","283",,"251","239",,,,,"A",,"A","A",,,,,,,"239","37","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-18T04:00:00","25.50","-109.00",,,"1","5","2","5","9",,"1",,,,,,,,,"10123","3","21","8","295",,"261","248",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBR6","2021-09-18T04:00:00","20.30","-105.70",,,"1","5","2","5","7","3","1",,,,,,,,,"10135","1","19","8","288",,"259","248",,,,,"A",,"A","A",,,,,,,"239","5","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-18T05:00:00","23.60","-108.20",,,"1","5","2","5","6","4","1",,,,,,,,,"10138","1","10","8","283",,"253","241",,,,,"A",,"A","A",,,,,,,"239","38","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-18T05:00:00","25.50","-109.00",,,"1","5","2","5","9",,"1",,,,,,,,,"10126","1","19","8","293",,"259","247",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBR6","2021-09-18T05:00:00","20.50","-105.80",,,"1","5","2","5","7","3","1",,"80","3","41","1","97",,,"10132","0","7","8","286",,"257","246",,,"8","7","3","6","4","7",,"5","2",,,,"239","5","798","172","5","1","2","1","F11111","111AA1111A11A1","5",,,,,
"9V6458","2021-09-18T06:00:00","20.50","-107.80",,,"1","6","2","5","3","4","1",,"210","4","67","1","98","3","2","10140",,,"8","260",,"240","231","7","300","7","4","7","2","1","8",,"5","2","20","5","2","239","7","798","172","5","1","2","1","111111","1111111111111A","5",,"2",,,
"XCAY9","2021-09-18T06:00:00","23.70","-108.50",,,"1","5","2","5","6","4","1",,,,,,,,,"10136","0","6","8","279",,"251","240",,,,,"A",,"A","A",,,,,,,"239","38","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-18T06:00:00","25.50","-109.00",,,"1","5","2","5","1","1","1",,,,,,,,,"10129","1","14","8","293",,"257","244",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBR6","2021-09-18T06:00:00","20.70","-105.90",,,"1","5","2","5","8","3","1",,,,,,,,,"10131","0","2","8","285",,"258","249",,,,,"A",,"A","A",,,,,,,"239","5","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-18T07:00:00","25.50","-109.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10130","0","7","8","288",,"257","246",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBR6","2021-09-18T07:00:00","20.90","-105.90",,,"1","5","2","5","8","3","1",,,,,,,,,"10126","8","8","8","283",,"259","250",,,,,"A",,"A","A",,,,,,,"239","5","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-18T08:00:00","23.90","-109.20",,,"1","5","2","5","6","4","1",,,,,,,,,"10125","8","13","8","286",,"250","237",,,,,"A",,"A","A",,,,,,,"239","39","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-18T08:00:00","25.50","-109.10",,,"1","5","2","5","5","1","1",,,,,,,,,"10126","8","0","8","291",,"261","251",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA7","5",,,,,
"XCBR6","2021-09-18T08:00:00","21.10","-105.90",,,"1","5","2","5","8","3","1",,,,,,,,,"10126","5","6","8","286",,"259","249",,,,,"A",,"A","A",,,,,,,"239","15","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-18T09:00:00","24.00","-109.50",,,"1","5","2","5","6","4","1",,,,,,,,,"10127","5","9","8","282",,"253","242",,,,,"A",,"A","A",,,,,,,"239","49","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-18T09:00:00","25.30","-109.30",,,"1","5","2","5","5","2","1",,,,,,,,,"10119","8","10","8","294",,"263","252",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBR6","2021-09-18T09:00:00","21.30","-105.90",,,"1","5","2","5","8","3","1",,,,,,,,,"10122","8","9","8","279",,"257","250",,,,,"A",,"A","A",,,,,,,"239","15","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCAY9","2021-09-18T10:00:00","24.10","-109.80",,,"1","5","2","5","9",,"1",,,,,,,,,"10123","6","9","8","275",,"249","239",,,,,"A",,"A","A",,,,,,,"239","49","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-18T10:00:00","25.10","-109.50",,,"1","4","0","0","5","3","1","0","180","4","51",,"97","2","1","10118","6","12","0","292","0","262","252",,"300","2",,"A","3","4","A",,"3","2","0",,,"239","59","992","114","5","1","2","1","111111","11111111111131",,"1","1","0",,"4"
"XCBR6","2021-09-18T10:00:00","21.60","-105.90",,,"1","5","2","5","8","3","1",,"60","3","46","1","98",,,"10118","8","8","8","285",,"260","251",,,"6",,"4","5","A","A",,,"1","18",,,"239","15","798","172","5","1","2","1","F11111","111AA1111A1371","5",,,,,
"XCAY9","2021-09-18T11:00:00","24.30","-110.00",,,"1","5","2","5","7","4","1",,,,,,,,,"10123","8","3","8","275",,"239","225",,,,,"A",,"A","A",,,,,,,"238","40","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
"XCBJ8","2021-09-18T11:00:00","24.90","-109.80",,,"1","5","2","5","5","4","1",,,,,,,,,"10117","5","9","8","289",,"254","241",,,,,"A",,"A","A",,,,,,,"239","49","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,
