"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","THICKNESS_OF_I","IND_FOR_PRECIP"
"DCQP2","2021-09-02T18:00:00","21.80","-109.60",,,"1","6","2","5","7","4","1",,"310","4","93","1","98","2","1","10117","0","5","8","278",,,"206","1","281","5","4","1","5","A","A",,"5","4","33","6","4","239","19","798","172","5","0",,"2","111111","1111111A111111","5",,"1",,,
"D5HF3","2021-09-02T19:00:00","21.00","-108.60",,,"1","6","2","5","3","3","1",,"280","3","46","1","98",,,"10091",,,"8","260",,"230","215","7","290","2","0","0","9","0","1",,"5","2","16","8","2","239","18","798","172","5","1","2","2","111111","111AA11111111A","5",,,,,
"D5HF3","2021-09-02T20:00:00","20.90","-108.50",,,"1","6","2","5","3","3","1",,"260","3","36","1","98",,,"10091",,,"8","260",,"230","215","7","290","2","0","0","9","0","1",,"5","2","16","5","2","239","8","798","172","5","1","2","2","111111","111AA11111111A","5",,,,,
"D5HF3","2021-09-02T21:00:00","20.80","-108.40",,,"1","6","2","5","3","3","1",,"250","3","36","1","98",,,"10091",,,"8","260",,"230","215","7","290","2","0","0","9","0","1",,"5","2","16","5","2","239","8","798","172","5","1","2","2","111111","111AA11111111A","5",,,,,
"V7UU4","2021-09-02T21:00:00","20.60","-110.00",,,"1","6","2","5","3","3","1",,"310","4","72","1","97","3","0","10120","4","0","8","270",,"210","175","1","310","3","3","4","3","4","5",,"8","2","18","8","2","238","0","798","172","5","1","2","2","111112","11111111111111","5",,"0",,,
"D5HF3","2021-09-02T22:00:00","20.70","-108.10",,,"1","6","2","5","3","4","1",,"270","3","51","1","98","2","2","10131","8","10","8","270",,"250","241","7","300","0","0","0","9","0","0",,"8","2","16","8","2","239","8","798","172","5","1","2","2","111111","11111111111111","5",,"2",,,
"D5HF3","2021-09-02T23:00:00","20.60","-107.90",,,"1","6","2","5","3","4","1",,"270","3","57","1","98","2","0","10131","4","0","8","290",,"270","262","7","300","2","2","1","4","A","1",,"8","2","16","8","2","239","7","798","172","5","1","2","2","111111","11111111111111","5",,"0",,,
"D5HF3","2021-09-03T00:00:00","20.50","-107.70",,,"1","6","2","5","3","4","1",,"300","3","62","1","98","2","0","10121","8","10","8","270",,"260","256","7","300","2","2","1","4","4","5",,"9","2","16","9","2","239","7","798","172","5","1","2","2","111111","11111111111111","5",,"0",,,
"H3BV","2021-09-03T00:00:00","21.20","-108.60",,,"1","6","2","5","3","4","1",,"290","4","77","1","98",,"1","10080",,,"8","340",,"280","257","1","300","4","4","5","2","4","5",,"1","1",,,,"239","18","798","172","5","1","2","2","151111","111A11111111AA","5",,"1",,,
"D5HF3","2021-09-03T01:00:00","20.40","-107.60",,,"1","6","2","5","3","4","1",,"300","3","62","1","98","2","0","10121","6","0","8","260",,"240","231","7","290","2","2","1","4","4","5",,"8","2","16","8","2","239","7","798","172","5","1","2","2","111111","11111111111117","5",,"0",,,
"D5HF3","2021-09-03T03:00:00","20.20","-107.20",,,"1","6","2","5","3","3","1",,"210","3","62","1","97","2","2","10091",,,"8","260",,"240","231","7","290","6","6","7","3","7","A",,"3","1",,,,"239","7","798","172","5","1","2","1","111111","111111111111AA","5",,"2",,,
"D5HF3","2021-09-03T05:00:00","20.00","-106.90",,,"1","6","2","5","3","3","1",,"310","3","51","1","97","2","2","10112",,,"8","240",,"230","225","7","300","6","6","7","3","A","A",,"3","1",,,,"239","6","798","172","5","1","2","1","111111","111111111111AA","5",,"2",,,
"H3BV","2021-09-03T06:00:00","20.30","-106.80",,,"1","6","2","5","3","4","1",,"270","4","15","1","98","0","1","10100",,,"8","290",,"260","248","1","300","9","9","A","A","A","A",,,,,,,"239","6","798","172","5","1","2","1","111111","11111111114AAA","5",,"1",,,
"PINX","2021-09-03T10:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","15","9","10094","7","6","0","256",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11FF1F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-03T11:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","320","4","15",,"98","0","2","10095","7","2","0","256",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11111F","1111111AA18131",,"1","2","0",,"4"
"PINX","2021-09-03T12:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","0","2","10098","2","4","0","257",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11FF1F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-04T10:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","0","2","10090","7","12","0","256",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11FF1F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-04T11:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","10","4","26",,"98","0","2","10090","7","8","0","253",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11111F","1111111AA18131",,"1","2","0",,"4"
"PINX","2021-09-04T12:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","50","4","31",,"98","0","2","10090","7","3","0","251",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11111F","1111111AA18131",,"1","2","0",,"4"
"PINX","2021-09-04T13:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","0","2","10096","2","6","0","250",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","2","11FF1F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-04T15:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","60","4","26",,"98","1","2","10110","2",,"0","270",,,,"1","250","6",,"3","6","6","3",,"0","0","0",,,"239","5","992","114","5","1","2","2","411116","1111111A911137",,"1","2","0",,"4"
"VRPN8","2021-09-04T17:00:00","20.50","-107.30",,,"1","6","2","5","7","4","1",,,,,"1","98","2","2","10116","4","0","8","300",,"260","243",,"300","6","5","5","7","6","2",,,,"22","4","3","239","7","798","172","5","1","2","2","111711","11111111111A11","5",,"2",,,
"PINX","2021-09-04T18:00:00","20.60","-105.20",,,"1","6","2","5","9","0","1",,"340","4","10","1","98","2","1","10100",,,"8","334",,,,"1","300","3","1","2","5","A","8",,,,,,,"239","5","798","172","5","1","2","2","13111F","1111111AA11AAA","5",,"1",,,
"MASKSTID","2021-09-05T02:00:00","22.00","-109.70",,,"1","4",,"0","7","4","2","0","10","4","118",,"98","1","1","10096","1",,,"260","0","230","215","3","283","4","3","7","6","A","1",,"8","2","32","3","3","239","29","792","103","5","1","2","1","113711","11111111111A1A",,"1","1",,,"4"
"VRPN8","2021-09-05T02:00:00","22.00","-109.70",,,"1","6","2","5","7","4","1",,,,,"1","98","1","1","10096",,"10","8","260",,"230","215",,"283","4","3","7","7",,"1",,,,"32","3","3","239","29","798","172","5","1","2","1","113711","11111111111A17","5",,"1",,,
"S6LT4","2021-09-05T05:00:00","20.60","-107.80",,,"1","6","2","5","7","4","1",,"270","4","51","1","98",,"0","10090","0","20","8","275",,"250","239","1","310","3","3","5","6","8","5",,"3","2",,,,"239","7","798","172","5","1","2","1","111111","111A11111111A1","5",,"0",,,
"LAQQ7","2021-09-05T09:00:00","20.30","-106.90",,,"1","6","2","5","7","3","1",,"250","4","41","1","98","1","1","10115","6","5","8","275",,"250","241","3","290","4","2","2","9","4","1",,"2","2","20","6","2","239","6","798","172","5","1","2","1","111111","11111111111111","5",,"1",,,
"S6LT4","2021-09-05T09:00:00","21.20","-109.00",,,"1","6","2","5","7","4","1",,"290","4","62","1","98","3",,"10075","4","0","8","290",,"280","276","1","300",,,"A",,"A","A",,"3","1",,,,"239","19","798","172","5","1","2","1","111111","1111A1111181A1","5",,,,,
"PINX","2021-09-05T10:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","0","2","10096","7","14","0","254",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11FF1F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-05T11:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","0","2","10094","7","14","0","253",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11FF1F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-05T12:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","0","2","10095","7","4","0","253",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11FF1F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-05T14:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","10","4","10",,"98","2","1","10110","2",,"0","260",,,,"1","250","4","4","3","6","6","2",,"0","0","0",,,"239","5","992","114","5","1","2","2","411116","1111111A911137",,"1","1","0",,"4"
"LAQQ7","2021-09-05T16:00:00","21.70","-107.80",,,"1","4","0","0","7","3","1","0","220","4","26",,"98","2","2","10120","2","10","0","290","0","260","250","3","302","5","3","7","5","9","2",,"3","0","11","8","1","239","17","992","114","5","1","2","2","111111","11111111111111",,"1","2",,,"4"
"LAQQ7","2021-09-05T21:00:00","22.60","-108.40",,,"1","6","2","5","7","3","1",,"160","4","41","1","99","1","1","10120","4","0","8","340",,"280","261","3","300","4","2","2","9","4","1",,"2","1","28","7","1","239","28","798","172","5","1","2","2","131111","11111111111111","5",,"0",,,
"LAQQ7","2021-09-06T00:00:00","23.00","-108.60",,,"1","4","0","0","7","3","1","0","361","4","0",,"98","2","0","10120","4","0","0","340","0","320","315","3","300","6","6","1","6","6","0",,"0","0","0",,,"239","38","992","114","5","1","2","2","131111","11111111111331",,"1","0","0",,"4"
"LAQQ7","2021-09-06T09:00:00","24.60","-110.00",,,"1","6","2","5","7","3","1",,"210","4","41","1","98","1","0","10120","4","0","8","280",,"250","239","3","290","3","2","2","9","4","1",,"2","1","1","4","1","238","40","798","172","5","1","2","1","111111","11111111111111","5",,"0",,,
"PINX","2021-09-06T10:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","0","2","10110","7","9","0","257",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11FF1F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-06T11:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","361","4","0",,"98","62","2","10108","7","10","0","253",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11111F","1113111AA18331",,"1","2","0",,"4"
"PINX","2021-09-06T12:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","0","2","10112","7","1","0","254",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11FF1F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-06T13:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","0","2","10120","2","10","0","255",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","2","11FF1F","1111111AA18331",,"1","2","0",,"4"
"2HDF9","2021-09-06T14:00:00","20.20","-107.30",,,"1","6","2","5","7","5","1",,"110","4","62","1","98",,"2","10125","4","0","8","280",,,,"1","300","5",,"2","A","6","4",,"3","2",,,,"239","7","798","172","5","1","2","2","11111F","111A111AA111A1","5",,"2",,,
"2HDF9","2021-09-06T19:00:00","21.50","-109.10",,,"1","6","2","5","7","5","1",,"160","4","26","1","98",,"1","10125",,,"8","310",,"300","297","1","300","2","2","1","2","A","A",,,,,,,"239","19","798","172","5","1","2","2","111111","111A1111111AAA","5",,"1",,,
"PINX","2021-09-07T10:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","361","4","0",,"98","0","2","10100","7","21","0","243",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11111F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-07T11:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","361","4","0",,"98","0","2","10101","7","13","0","244",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11111F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-07T12:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","0","2","10103","7","4","0","247",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11FF1F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-07T13:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","0","2","10106","2","7","0","255",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","2","11FF1F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-07T14:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","361","4","0",,"98","61","2","10110","2",,"0","260",,,,"1","250","8",,"7","3","A","A",,"0","0","0",,,"239","5","992","114","5","1","2","2","411116","1111111A911337",,"1","2","0",,"4"
