"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"D5LA6","2019-09-27T12:00:00","21.60","-109.80",,,"1","6","2","5","3","3","1",,"340","4","118","1","97","2","0","10100",,,"8","270",,"240","228","7","260","4","2","1","4","4","5",,"5","4","22","8","5","239","19","798","172","5","1","2","1","111211","1111111111111A","5",,"0",,,,,,,,,,
"D5LA6","2019-09-27T18:00:00","21.00","-108.70",,,"1","6","2","5","3","3","1",,"340","4","123","1","97","2","0","10100","4","0","8","310",,"270","257","7","300","3","3","1","4","4","1",,"6","6","32","6","5","239","18","798","172","5","1","2","2","111211","11111111111111","5",,"0",,,,,,,,,,
"D5LA6","2019-09-28T00:00:00","20.30","-107.90",,,"1","6","2","5","3","3","1",,"320","4","93","1","97","2","2","10070",,,"8","330",,"280","264","7","300","7","5","1","4","6","A",,"5","5","15","7","6","239","7","798","172","5","1","2","2","131111","1111111111111A","5",,"2",,,,,,,,,,
"VRRQ4","2019-09-28T15:00:00","22.00","-109.70",,,"1","6","2","5","3","4","1",,"310","4","103","1","98",,,"10070",,,"8","250",,"230","222","7","280","6","6","5","5","4","A",,,,,,,"239","29","798","172","5","1","2","2","111111","111AA111111AAA","5",,,,,,,,,,,,
"EUCDE22","2019-09-28T22:00:00","21.93","-109.98",,,"1","5","2","5","3","4","1",,,,,,,,,"10064","7","31","8","268",,,"222",,,,,,,,,,,,,,,"239","19","798","172","5","1","2","2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,
"EUCDE22","2019-09-28T23:00:00","21.76","-109.73",,,"1","5","2","5","3","4","1",,,,,,,,,"10061","7","23","8","262",,,"221",,,,,,,,,,,,,,,"239","19","798","172","5","1","2","2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,
"EUCDE22","2019-09-29T00:00:00","21.59","-109.47",,,"1","5","2","5","3","4","1",,,,,,,,,"10056","7","19","8","265",,,"225",,,,,,,,,,,,,,,"239","19","798","172","5","1","2","2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,
"EUCDE22","2019-09-29T01:00:00","21.43","-109.22",,,"1","5","2","5","3","4","1",,,,,,,,,"10054","7","9","8","263",,,"227",,,,,,,,,,,,,,,"239","19","798","172","5","1","2","2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,
"EUCDE22","2019-09-29T02:00:00","21.26","-108.96",,,"1","5","2","5","3","4","1",,,,,,,,,"10058","7","2","8","262",,,"230",,,,,,,,,,,,,,,"239","18","798","172","5","1","2","1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,
"EUCDE22","2019-09-29T03:00:00","21.09","-108.70",,,"1","5","2","5","3","4","1",,,,,,,,,"10064","2","8","8","263",,,"234",,,,,,,,,,,,,,,"239","18","798","172","5","1","2","1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,
"EUCDE22","2019-09-29T04:00:00","20.93","-108.43",,,"1","5","2","5","3","4","1",,,,,,,,,"10070","2","16","8","267",,,"238",,,,,,,,,,,,,,,"239","8","798","172","5","1","2","1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,
"EUCDE22","2019-09-29T05:00:00","20.76","-108.17",,,"1","5","2","5","3","4","1",,,,,,,,,"10075","2","17","8","270",,,"241",,,,,,,,,,,,,,,"239","8","798","172","5","1","2","1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,
"3EUQ8","2019-09-29T06:00:00","21.10","-109.10",,,"1","6","2","5","3","4","1",,"350","3","36","1","91","3",,"10079","2","11","8","250",,,,"1","270",,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","1","111116","1114A111918AA1","5",,,,,,,,,,,,
"EUCDE22","2019-09-29T06:00:00","20.59","-107.91",,,"1","5","2","5","3","4","1",,,,,,,,,"10066","2","2","8","272",,,"239",,,,,,,,,,,,,,,"239","7","798","172","5","1","2","1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,
"EUCDE22","2019-09-29T07:00:00","20.42","-107.65",,,"1","5","2","5","3","4","1",,,,,,,,,"10063","7","7","8","273",,,"237",,,,,,,,,,,,,,,"239","7","798","172","5","1","2","1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,
"EUCDE22","2019-09-29T08:00:00","20.25","-107.40",,,"1","5","2","5","3","4","1",,,,,,,,,"10056","7","18","8","274",,,"238",,,,,,,,,,,,,,,"239","7","798","172","5","1","2","1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,
"A8MW6","2019-09-29T09:00:00","21.50","-109.00",,,"1","6","2","5","7","3","1",,"290",,"82","1","97","2","1","10070","8","10","8","255","0","230","220","3","320","4","3","1","4","4","5","29","11","3","20","17","4","239","19","798","172","5","1","2","1","111111","11111111111111","5",,"1","19","18","4",,,,,,,
"EUCDE22","2019-09-29T09:00:00","20.08","-107.14",,,"1","5","2","5","3","4","1",,,,,,,,,"10051","7","16","8","274",,,"237",,,,,,,,,,,,,,,"239","7","798","172","5","1","2","1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,
"3EUQ8","2019-09-29T12:00:00","20.10","-107.40",,,"1","6","2","5","3","4","1",,"290","3","57","1","98","3","2","10065","8","10","8","250",,"240","235","1","280","7",,"7","3","9","A",,,,,,,"239","7","798","172","5","1","2","1","111111","11111111111AA1","5",,"2",,,,,,,,,,
