"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"4100043","2019-09-01T00:00:00","21.10","-64.80",,,"1","4",,"0",,,"11","0","90","1","40",,,,,"10155","3","6",,"282",,,,"237","1","294",,,,,,,,,,,,,"243","14","793","103","6","1","2","1","111111","11AAA11A11AAA1",,,"6",,,,,"4"
"4100046","2019-09-01T00:00:00","23.80","-68.40",,,"1","4",,"0",,,"11","0","120","1","30",,,,,"10149","5","0",,"286",,,,"240",,,,,,,,,,,,,,,"243","38","793","103","6","1","2","1","F11111","11AAA11A1AAAA1",,,"6",,,,,"4"
"4100049","2019-09-01T00:00:00","27.50","-62.90",,,"1","4",,"0",,,"11","0","70","1","50",,,,,"10178","3","6",,,,,,,"1","295",,,,,,,,,,,,,"243","72","793","103","6","1","2","1","1F111F","11AAA1AAA1AAA1",,,"6",,,,,"4"
"4100043","2019-09-01T00:10:00","21.10","-64.80",,,"1","4",,"0",,,"11","0","90","1","50",,,,,"10155",,,,"282",,,,"238","1","293",,,,,,,,,,,,,"243","14","793","103","6","0",,"1","111111","11AAA11A11AAAA",,,"6",,,,,"4"
"4100046","2019-09-01T00:10:00","23.80","-68.40",,,"1","4",,"0",,,"11","0","120","1","30",,,,,"10149",,,,"287",,,,"240","1","293",,,,,,,,,,,,,"243","38","793","103","6","0",,"1","111111","11AAA11A11AAAA",,,"6",,,,,"4"
"4100049","2019-09-01T00:10:00","27.50","-62.90",,,"1","4",,"0",,,"11","0","70","1","50",,,,,"10180",,,,,,,,,"1","295",,,,,,,,,,,,,"243","72","793","103","6","0",,"1","1F111F","11AAA1AAA1AAAA",,,"6",,,,,"4"
"4100043","2019-09-01T00:20:00","21.10","-64.80",,,"1","4",,"0",,,"11","0","90","1","50",,,,,"10155",,,,"282",,,,"238","1","294",,,,,,,,,,,,,"243","14","793","103","6","0",,"1","111111","11AAA11A11AAAA",,,"6",,,,,"4"
"4100046","2019-09-01T00:20:00","23.80","-68.40",,,"1","4",,"0",,,"11","0","120","1","30",,,,,"10150",,,,"286",,,,"240","1","293",,,,,,,,,,,,,"243","38","793","103","6","0",,"1","111111","11AAA11A11AAAA",,,"6",,,,,"4"
"4100049","2019-09-01T00:20:00","27.50","-62.90",,,"1","4",,"0",,,"11","0","80","1","50",,,,,"10180",,,,"284",,,,"230","1","295",,,,,,,,,,,,,"243","72","793","103","6","0",,"1","111111","11AAA11A11AAAA",,,"6",,,,,"4"
"4100043","2019-09-01T00:30:00","21.10","-64.80",,,"1","4",,"0",,,"11","0","90","1","50",,,,,"10157",,,,"282",,,,"237","1","294",,,,,,,,,,,,,"243","14","793","103","6","0",,"1","111111","11AAA11A11AAAA",,,"6",,,,,"4"
