"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"WWMZ","2015-09-18T18:00:00","20.00","-108.00",,,"1","4","0","0","3","4",,"1","0","90","4","98","98","15","6","10066",,,"0","292","0","258","244","1","302","8","3","3","6","9","A","7","3",,,,"239","8","992","114","5","1","2","2","114111","111111111111AA","1","6",,,,"4"
"ZCBU5","2015-09-19T01:00:00","21.90","-108.40",,,"1","4","0","0","3","4","1","1","0","150","4","103","98","3","2","10062","7","10","0","285","0","250","235","3","300","7","5","7","2","5","2","4","2","21","8","3","239","18","992","114","5","1","2","2","111311","11111111111111","1","2",,,,"4"
"ZCBU5","2015-09-19T04:00:00","21.40","-107.40",,,"1","4","0","0","3","4","1","1","0","150","4","87","98","3","2","10076","1","61","0","285","0","270","264","3","300","9","9","A","A","A","A","2","2",,,,"239","17","992","114","5","1","2","1","111111","111111111141A1","1","2",,,,"4"
"VRGW2","2015-09-21T12:00:00","20.40","-107.40",,,"1","4","0","0","3","4","1","1","0","360","4","31","97","0","2","10102","8","5","0","270","0","250","243","3","300","5","4","A","A","A","A","5","1","33","5","2","239","7","992","114","5","1","2","1","111111","11111111111111","1","2",,,,"4"
"H3VS","2015-09-22T00:00:00","22.50","-109.50",,,"1","4","0","0","3","4",,"1","0","270","3","77","98",,,"10100","4","0","0","300","0","280","274","3","310","3",,"1","6","0","0","3","3","15","3","3","239","29","992","114","5","1","2","2","111111","111AA111111111","1",,,,,"4"
"VRBH4","2015-09-22T00:00:00","21.80","-109.60",,,"1","4","0","0","3","4",,"1","0","290","1","60","98","3","2","10110","5","0","0","310","0","270","254","3",,"7","6","4","5","4","5","5","1","27","10","2","239","19","992","114","5","1","2","2","611111","11111111191111","1","2",,,,"4"
"H3VS","2015-09-22T04:00:00","21.80","-108.20",,,"1","4","0","0","3","4",,"1","0","290","3","72","98",,"1","10115","2","15","0","290","0","270","263","3","310",,,,"A",,,"1","1",,,,"239","18","992","114","5","1","2","1","111111","111A11111181A1","1","1",,,,"4"
"9V7951","2015-09-22T06:00:00","21.20","-108.80",,,"1","4","0","0","3","4",,"1","0",,"4",,"98","1","0","10140","1","20","0","291","0","281","280","1","280","4","3","2","4","1","1","5","2","4","4","2","239","18","992","114","5","1","2","1","116711","14111111111411","1","0","7","6","2","4"
"SLKR","2015-09-22T06:00:00","21.60","-109.10",,,"1","4","0","0","3","4",,"1","0","300","4","72","98",,,"10123","0","7","0","282",,,,"1","302","1",,,"A",,,,,,,,"239","19","992","114","5","1","2","1","11111F","111AA11AA11AA1","3",,,,,"4"
"VRBH4","2015-09-22T06:00:00","20.90","-108.10",,,"1","4","0","0","3","3",,"1","0","320","1","70","98","3",,"10110","4","0","0","280","0","260","252",,,"7","4","7","3","1","A",,,"27","4","2","239","8","992","114","5","1","2","1","F11111","1111A1111A1A11","1",,,,,"4"
"H3VS","2015-09-22T08:00:00","21.20","-107.10",,,"1","4","0","0","3","3",,"1","0","270","3","72",,,,"10100","4","0","0","280","0","260","253","3","300",,,,"A",,,,,,,,"239","17","992","114","5","1","2","1","111111","11AAA111118AA1","1",,,,,"4"
"H3VS","2015-09-22T12:00:00","20.70","-106.10",,,"1","4","0","0","3","3",,"1","0","360","3","77","97",,,"10100",,"0","0","280","0","260","253","3","310","4",,"4","6","0","0","2","2",,,,"239","6","992","114","5","1","2","1","111111","111AA1111111A7","1",,,,,"4"
"SLKR","2015-09-22T12:00:00","20.70","-107.60",,,"1","4","0","0","3","4",,"1","0","320","4","103","98",,,"10097","6","12","0","290",,,,"1","300","1",,,"A",,,,,,,,"239","7","992","114","5","1","2","1","11111F","111AA11AA11AA1","3",,,,,"4"
"VRBH4","2015-09-22T12:00:00","20.00","-106.60",,,"1","4","0","0","3","3",,"1","0","320","1","40","98","3","1","10090","8","10","0","280","0","260","252","3",,"7","6","4","6","4","5","5","1","27","9","2","239","6","992","114","5","1","2","1","611111","11111111191111","1","1",,,,"4"
"9V7955","2015-09-23T01:00:00","20.40","-109.20",,,"1","4","0","0","7","4",,"1","0","280","4","123","97",,"1","10080","4","0","0","279","0","270","267","1","260","5","5","4","6","4","2","2","4",,,,"239","9","992","114","5","1","2","2","115111","111A11111111A1","1","1",,,,"4"
"H3VS","2015-09-24T03:00:00","21.20","-106.90",,,"1","4","0","0","7","4",,"1","0","350","3","62","98",,"0","10070","2","20","0","300","0","290","287","3","310",,,,"A",,,"1","2",,,,"239","16","992","114","5","1","2","1","111111","111A11111181A1","1","0",,,,"4"
"H3VS","2015-09-24T09:00:00","22.30","-108.90",,,"1","4","0","0","7","5",,"1","0","360","3","51",,,,"10085","4","0","0","300","0","280","274","3","310",,,,"A",,,,,,,,"239","28","992","114","5","1","2","1","111111","11AAA111118AA1","1",,,,,"4"
"DIXP2","2015-09-26T12:00:00","22.00","-109.80",,,"1","4","0","0","3","4",,"1","0","290","4","57","98","13","1","10073","5","8","0","270",,,"252","3","290","3",,,"A",,,"3","2","0",,,"239","29","992","114","5","1","2","1","111111","1111111A111131","1","1","0",,,"4"
"ZCDF4","2015-09-27T03:00:00","22.00","-108.80",,,"1","4","0","0","3","5","1","1","0","100","4","72","98",,"0","10042","8",,"0","290","0","275","270","1","290","3","3","1","3","A","A","2","1","31","4","3","239","28","992","114","5","1","2","1","112111","111A1111111117","1","0",,,,"4"
"ZCDM6","2015-09-27T05:00:00","23.90","-109.40",,,"1","4","0","0","7","4","1","1","0","140","4","31","98","1","0","10097","5","4","0","295","0","260","248","3","310","0","0","0","9","0","0","3","1",,,,"239","39","992","114","5","1","2","1","111111","111111111111A1","1","0",,,,"4"
"SJCD","2015-09-28T00:00:00","21.30","-108.70",,,"1","4","0","0","7","4",,"1","0","160","1","20","98",,,"10073","6","9","0","297",,,,"1","297","5",,,"A",,,,,,,,"239","18","992","114","5","1","2","2","11111F","111AA11AA11AA1","3",,,,,"4"
"A8SN5","2015-09-29T01:00:00","20.20","-108.30",,,"1","4","0","0","7","3",,"1","0","340","4","51","98","1","0","10063","4","0","0","290","0","260","248",,"321","3","2","1","5","2","0","8","1","14","12","5","239","8","992","114","5","1","2","2","111111","11111111111111","1","0",,,,"4"
"DGDD","2015-09-29T03:00:00","21.00","-108.00",,,"1","4","0","0","3","4","1","1","0","320","4","36","97","2","0","10095","2","10","0","290",,,"225","1","300","2","2","1","5","0","0","4","1","12","8","2","239","18","992","114","5","1","2","1","111111","1111111A111111","1","0",,,,"4"
"H3VS","2015-09-29T04:00:00","22.90","-109.20",,,"1","4","0","0","2","4",,"1","0","220","3","57","98",,"0","10075","2","10","0","300","0","280","274","3","300",,,,"A",,,"3","4",,,,"239","29","992","114","5","1","2","1","111111","111A11111181A1","1","0",,,,"4"
"A8SN5","2015-09-29T05:00:00","20.60","-109.10",,,"1","4","0","0","7","3",,"1","0","330","4","62","97","1","0","10080","1",,,,,,,,,"3",,"1","A","A","A","6","2","14","6","2","239","9","992","114","5","1","2","1","FF111F","111111AAAA1117","1","0",,,,"4"
"DGDD","2015-09-29T06:00:00","20.50","-107.20",,,"1","4","0","0","3","4","1","1","0","310","4","41","98","2","0","10103","3","4","0","290",,,"237","1","290","3",,"2","5","A","A",,,,,,"239","7","992","114","5","1","2","1","111111","1111111A111AA1","1","0",,,,"4"
"ZCDM6","2015-09-29T06:00:00","21.40","-106.80",,,"1","4","0","0","3","4","1","1","0","220","4","46","98","1","0","10109","1","24","0","295","0","265","255","3","305","0","0","0","9","0","0","0","0","16","7","1","239","16","992","114","5","1","2","1","111111","11111111111111","1","0",,,,"4"
"A8SN5","2015-09-29T09:00:00","20.90","-109.80",,,"1","4","0","0","7","3",,"1","0","290","4","67","98","2","0","10080","4","0","0","280","0","275","273",,"314","3",,"4","6","A","A","10","4","14","10","4","239","9","992","114","5","1","2","1","111111","11111111111111","1","0",,,,"4"
"A8UC5","2015-09-29T12:00:00","20.10","-108.20",,,"1","4","0","0","7","3",,"1","0","340","4","46","98","2","0","10070","4","0","0","275","0","255","248",,,"3",,,"A",,,"8","3",,,,"239","8","992","114","5","1","2","1","F11111","111111111A11A1","1","0",,,,"4"
"H3VS","2015-09-29T12:00:00","23.10","-106.70",,,"1","4","0","0","2","3",,"1","0","300","3","62",,,,"10070","6","0","0","300","0","290","287","3","310",,,,"A",,,,,,,,"239","36","992","114","5","1","2","1","111111","11AAA111118AA7","1",,,,,"4"
"ZCDM6","2015-09-29T13:00:00","24.20","-109.10",,,"1","4","0","0","3","3","1","1","0","300","4","26","98","2","0","10073","1","7","0","300","0","265","253","3","300","0","0","0","9","0","0","0","0","16","7","1","239","49","992","114","5","1","2","1","111111","11111111111111","1","0",,,,"4"
"ZCDM6","2015-09-29T17:00:00","23.40","-108.50",,,"1","4","0","0","3","3","1","1","0","350","4","41","98","1","0","10114","1","7","0","320","0","260","238","3","315","0","0","0","9","0","0","0","0","16","7","1","239","38","992","114","5","1","2","2","111111","11111111111111","1","0",,,,"4"
"A8UC5","2015-09-29T18:00:00","20.80","-109.60",,,"1","4","0","0","7","3",,"1","0","310","4","57","98","2","0","10090","1","20","0","290","0","265","256","3","310","3",,,"A",,,"8","3",,,,"239","9","992","114","5","1","2","2","111111","111111111111A1","1","0",,,,"4"
"H3VS","2015-09-30T04:00:00","22.30","-106.20",,,"1","4","0","0","4","3",,"1","0","300","3","77","98",,"0","10060","2","20","0","290","0","270","263","3","300",,,,"A",,,"2","2",,,,"239","26","992","114","5","1","2","1","111111","111A11111181A1","1","0",,,,"4"
"H3VS","2015-09-30T09:00:00","21.10","-105.80",,,"1","4","0","0","4","3",,"1","0","340","3","41",,,,"10080","4","0","0","300","0","280","274","3","320",,,,"A",,,,,,,,"239","15","992","114","5","1","2","1","111111","11AAA111118AA1","1",,,,,"4"
"LXYO","2015-09-30T12:00:00","20.30","-107.00",,,"1","4","0","0","7","4",,"1","0","170","4","21","98","1","1","10075","2","5","0","285","0","260","251","1","310","5","4","1","6","6","A","1","3",,,,"239","7","992","114","5","1","2","1","111111","111111111111A1","1","1",,,,"4"
