"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"1300585","2015-09-01T00:00:00","28.89","-52.19",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"244","82","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300902","2015-09-01T00:00:00","22.49","-56.61",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","293",,,,,,,,,,,,"244","26","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100561","2015-09-01T00:00:00","27.19","-50.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"244","70","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100594","2015-09-01T00:00:00","27.74","-56.26",,,"1","3","2","5",,,,"11",,,,,,,,"10190","2","1","0",,,,,,"302",,,,,,,,,,,,"244","76","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100731","2015-09-01T00:00:00","27.90","-55.01",,,"1","3","2","5",,,,"11",,,,,,,,"10187","2","3","0",,,,,,"299",,,,,,,,,,,,"244","75","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100969","2015-09-01T00:00:00","28.90","-59.37",,,"1","3","2","5",,,,"11",,,,,,,,"10185","2","1","0",,,,,,"295",,,,,,,,,,,,"244","89","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4400522","2015-09-01T00:00:00","28.73","-57.02",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"244","87","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4400831","2015-09-01T00:00:00","29.37","-55.16",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"244","95","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"D5DS2","2015-09-01T00:00:00","22.70","-54.60",,,"1","4","0","0","3","3",,"1","0","70","4","46","98","2","0","10180","8","5","0","280","0","250","239",,,"2","2","4","6","0","0","4","1",,,,"244","24","992","114","5","1","2","1","F11111","111111111A11A1",,,"1","0",,,,,,,,,"4"
"4100652","2015-09-01T00:14:00","29.19","-55.79",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","295",,,,,,,,,,,,"244","95","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
