"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","IND_FOR_PRECIP"
"1300628","2015-09-01T00:59:00","22.43","-35.16",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","276",,,,,,,,,,,,"246","25","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300519","2015-09-01T01:00:00","22.75","-39.93",,,"1","3","2","5",,,,"11",,,,,,,,"10174","2","6","0",,,,,,,"278",,,,,,,,,,,,"246","29","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"1300569","2015-09-01T01:00:00","27.64","-32.83",,,"1","4","2","5",,,,"11",,,,,,,,"10182",,,"8",,,,,,"9","274",,,,,,,,,,,,"246","72","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"1300869","2015-09-01T01:00:00","23.01","-38.75",,,"1","3","2","5",,,,"11",,,,,,,,"10173","2","5","0",,,,,,,"279",,,,,,,,,,,,"246","38","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"2100942","2015-09-01T01:00:00","27.02","-39.41",,,"1","3","2","5",,,,"11",,,,,,,,"10173","2","7","0",,,,,,,"281",,,,,,,,,,,,"246","79","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"4100502","2015-09-01T01:00:00","29.00","-31.29",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","267",,,,,,,,,,,,"246","91","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100564","2015-09-01T01:00:00","29.27","-32.56",,,"1","4","2","5",,,,"11",,,,,,,,"10182",,,"8",,,,,,"9","270",,,,,,,,,,,,"246","92","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"4100604","2015-09-01T01:00:00","29.47","-39.06",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","277",,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300909","2015-09-01T01:01:00","24.44","-33.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","274",,,,,,,,,,,,"246","43","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300628","2015-09-01T01:02:00","22.43","-35.17",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","276",,,,,,,,,,,,"246","25","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100592","2015-09-01T01:05:00","29.99","-36.92",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","277",,,,,,,,,,,,"246","96","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100604","2015-09-01T01:06:00","29.46","-39.06",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","277",,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300871","2015-09-01T01:50:00","25.17","-32.69",,,"1","3","2","5",,,,"11",,,,,,,,"10184","7","4","0",,,,,,,"276",,,,,,,,,,,,"246","52","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"1300519","2015-09-01T02:00:00","22.75","-39.93",,,"1","3","2","5",,,,"11",,,,,,,,"10173","2","2","0",,,,,,,"278",,,,,,,,,,,,"246","29","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"1300569","2015-09-01T02:00:00","27.64","-32.83",,,"1","4","2","5",,,,"11",,,,,,,,"10179",,,"8",,,,,,"9","274",,,,,,,,,,,,"246","72","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"1300869","2015-09-01T02:00:00","23.01","-38.75",,,"1","3","2","5",,,,"11",,,,,,,,"10171","2","1","0",,,,,,,"279",,,,,,,,,,,,"246","38","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"2100942","2015-09-01T02:00:00","27.03","-39.42",,,"1","3","2","5",,,,"11",,,,,,,,"10171","7","3","0",,,,,,,"280",,,,,,,,,,,,"246","79","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"4100502","2015-09-01T02:00:00","29.00","-31.30",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","267",,,,,,,,,,,,"246","91","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100564","2015-09-01T02:00:00","29.27","-32.56",,,"1","4","2","5",,,,"11",,,,,,,,"10181",,,"8",,,,,,"9","269",,,,,,,,,,,,"246","92","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"1300871","2015-09-01T02:50:00","25.18","-32.69",,,"1","3","2","5",,,,"11",,,,,,,,"10181","7","9","0",,,,,,,"271",,,,,,,,,,,,"246","52","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"1300519","2015-09-01T03:00:00","22.75","-39.93",,,"1","3","2","5",,,,"11",,,,,,,,"10171","7","4","0",,,,,,,"278",,,,,,,,,,,,"246","29","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"1300569","2015-09-01T03:00:00","27.64","-32.83",,,"1","4","2","5",,,,"11",,,,,,,,"10177",,,"8",,,,,,"9","274",,,,,,,,,,,,"246","72","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"1300869","2015-09-01T03:00:00","23.02","-38.75",,,"1","3","2","5",,,,"11",,,,,,,,"10170","7","5","0",,,,,,,"278",,,,,,,,,,,,"246","38","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"2100942","2015-09-01T03:00:00","27.03","-39.42",,,"1","3","2","5",,,,"11",,,,,,,,"10169","7","9","0",,,,,,,"280",,,,,,,,,,,,"246","79","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"4100139","2015-09-01T03:00:00","20.01","-37.85",,,"1","4","2","5",,,,"11","0","60","4","46",,,,"10163",,,"0","268",,,"1","241",,"274",,,,,,,,,,,,"246","7","794","103","6","1","2","1","111111","11AAA11A11AAAA",,,,
"4100502","2015-09-01T03:00:00","29.00","-31.30",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","267",,,,,,,,,,,,"246","91","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100564","2015-09-01T03:00:00","29.26","-32.54",,,"1","4","2","5",,,,"11",,,,,,,,"10180",,,"8",,,,,,"9","269",,,,,,,,,,,,"246","92","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"4100604","2015-09-01T03:47:00","29.44","-39.05",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","277",,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100502","2015-09-01T03:48:00","29.00","-31.30",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","267",,,,,,,,,,,,"246","91","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300628","2015-09-01T03:49:00","22.47","-35.19",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","275",,,,,,,,,,,,"246","25","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"2100942","2015-09-01T03:49:00","27.02","-39.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","280",,,,,,,,,,,,"246","79","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100604","2015-09-01T03:49:00","29.46","-39.06",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","277",,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300628","2015-09-01T03:50:00","22.43","-35.17",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","275",,,,,,,,,,,,"246","25","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300909","2015-09-01T03:51:00","24.42","-33.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","272",,,,,,,,,,,,"246","43","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300519","2015-09-01T03:54:00","22.75","-39.93",,,"1","4","2","5",,,,"11",,,,,,,,"10171",,,"8",,,,,,"9","278",,,,,,,,,,,,"246","29","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"4100564","2015-09-01T03:54:00","29.26","-32.54",,,"1","4","2","5",,,,"11",,,,,,,,"10180",,,"8",,,,,,"9","269",,,,,,,,,,,,"246","92","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"1300628","2015-09-01T03:55:00","22.47","-35.19",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","275",,,,,,,,,,,,"246","25","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300909","2015-09-01T03:55:00","24.44","-33.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","272",,,,,,,,,,,,"246","43","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100592","2015-09-01T03:55:00","29.99","-36.92",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","272",,,,,,,,,,,,"246","96","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100604","2015-09-01T03:56:00","29.44","-39.05",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","277",,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300909","2015-09-01T03:58:00","24.42","-33.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","272",,,,,,,,,,,,"246","43","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300519","2015-09-01T04:00:00","22.76","-39.93",,,"1","3","2","5",,,,"11",,,,,,,,"10168","7","6","0",,,,,,,"278",,,,,,,,,,,,"246","29","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"1300569","2015-09-01T04:00:00","27.64","-32.83",,,"1","4","2","5",,,,"11",,,,,,,,"10174",,,"8",,,,,,"9","274",,,,,,,,,,,,"246","72","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
