"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER"
"OWFD2","2015-09-07T06:00:00","29.80","-23.10",,,"1","4","0","0","6","3","1","1","0","340","4","46","98","3","1","10193","4","0","0","240","0","230",,"226","1","250","5","5","4","5","A","A","8","2","18","8","2","247","93","992","114","5","1","2","1","111111","11111111111111",,"1","1",,,,"4",,
"1300872","2015-09-07T06:50:00","25.82","-27.32",,,"1","3","2","5",,,,"11",,,,,,,,"10195","2","1","0",,,,,,,"263",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400613","2015-09-07T07:00:00","28.34","-29.69",,,"1","3","2","5",,,,"11",,,,,,,,"10191","7","2","0",,,,,,,"275",,,,,,,,,,,,"247","89","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T07:00:00","25.85","-27.67",,,"1","3","2","5",,,,"11",,,,,,,,"10188","2","1","0",,,,,,,"262",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T07:00:00","29.63","-23.82",,,"1","3","2","5",,,,"11",,,,,,,,"10191","2","1","0",,,,,,,"261",,,,,,,,,,,,"247","93","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T07:00:00","25.81","-28.70",,,"1","3","2","5",,,,"11",,,,,,,,"10185","7","3","0",,,,,,,"264",,,,,,,,,,,,"247","58","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300872","2015-09-07T07:50:00","25.83","-27.33",,,"1","3","2","5",,,,"11",,,,,,,,"10197","2","6","0",,,,,,,"263",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T08:00:00","20.45","-23.10",,,"1","4","2","5",,,,"11","0","50","4","93",,,,,,,"0","250",,,"1","219",,,,,,,,,,,,,,"247","3","794","103","6","1","2","2","F111F1","11AAAA1A1AAAAA",,,,,,,,,
"4400613","2015-09-07T08:00:00","28.34","-29.69",,,"1","3","2","5",,,,"11",,,,,,,,"10193","2","4","0",,,,,,,"275",,,,,,,,,,,,"247","89","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T08:00:00","25.85","-27.68",,,"1","3","2","5",,,,"11",,,,,,,,"10191","2","5","0",,,,,,,"262",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T08:00:00","29.63","-23.83",,,"1","3","2","5",,,,"11",,,,,,,,"10196","2","6","0",,,,,,,"261",,,,,,,,,,,,"247","93","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T08:00:00","25.81","-28.70",,,"1","3","2","5",,,,"11",,,,,,,,"10188","2","2","0",,,,,,,"264",,,,,,,,,,,,"247","58","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T08:22:00","20.46","-23.10",,,"1","5","2","5",,,,"11",,"30",,"78",,,,,,,"8","252",,,,,"9","257",,,,,,,,,,,,"247","3","798","172","6","0",,"2","1111F1","11AAAA1AA1AAAA",,,,,,,,,
"1300872","2015-09-07T08:50:00","25.83","-27.33",,,"1","3","2","5",,,,"11",,,,,,,,"10203","2","10","0",,,,,,,"263",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T08:54:00","20.46","-23.10",,,"1","4","2","5",,,,"11","5","44",,"94",,,,,,,"8","251",,,,,,,,,,,,,,,,,,"247","3","798","172","6","0",,"2","F111F1","11AAAA1AAAAAAA",,,,,,,,,
"1300002","2015-09-07T09:00:00","20.46","-23.10",,,"1","4","2","5",,,,"11","0","40","4","93",,,,,,,"0","251",,,"1","220",,,,,,,,,,,,,,"247","3","794","103","6","1","2","2","F111F1","11AAAA1A1AAAAA",,,,,,,,,
"4400613","2015-09-07T09:00:00","28.34","-29.70",,,"1","3","2","5",,,,"11",,,,,,,,"10199","2","10","0",,,,,,,"275",,,,,,,,,,,,"247","89","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T09:00:00","25.85","-27.69",,,"1","3","2","5",,,,"11",,,,,,,,"10194","2","9","0",,,,,,,"262",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T09:00:00","29.62","-23.83",,,"1","3","2","5",,,,"11",,,,,,,,"10198","2","10","0",,,,,,,"261",,,,,,,,,,,,"247","93","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T09:00:00","25.80","-28.72",,,"1","3","2","5",,,,"11",,,,,,,,"10195","2","6","0",,,,,,,"265",,,,,,,,,,,,"247","58","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300872","2015-09-07T09:50:00","25.84","-27.34",,,"1","3","2","5",,,,"11",,,,,,,,"10202","2","7","0",,,,,,,"263",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T10:00:00","20.46","-23.10",,,"1","4","2","5",,,,"11","0","30","4","77",,,,,,,"0","252",,,"1","220",,"257",,,,,,,,,,,,"247","3","794","103","6","1","2","2","1111F1","11AAAA1A11AAAA",,,,,,,,,
"4400613","2015-09-07T10:00:00","28.34","-29.70",,,"1","3","2","5",,,,"11",,,,,,,,"10198","2","8","0",,,,,,,"276",,,,,,,,,,,,"247","89","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T10:00:00","25.85","-27.70",,,"1","3","2","5",,,,"11",,,,,,,,"10195","2","7","0",,,,,,,"262",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T10:00:00","29.62","-23.84",,,"1","3","2","5",,,,"11",,,,,,,,"10198","2","7","0",,,,,,,"261",,,,,,,,,,,,"247","93","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T10:00:00","25.80","-28.72",,,"1","3","2","5",,,,"11",,,,,,,,"10195","2","10","0",,,,,,,"265",,,,,,,,,,,,"247","58","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300872","2015-09-07T10:50:00","25.84","-27.34",,,"1","3","2","5",,,,"11",,,,,,,,"10204","2","7","0",,,,,,,"263",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T11:00:00","20.45","-23.10",,,"1","4","2","5",,,,"11","0","30","4","72",,,,,,,"0","251",,,"1","224",,,,,,,,,,,,,,"247","3","794","103","6","1","2","2","F111F1","11AAAA1A1AAAAA",,,,,,,,,
"4400613","2015-09-07T11:00:00","28.34","-29.70",,,"1","3","2","5",,,,"11",,,,,,,,"10205","2","11","0",,,,,,,"278",,,,,,,,,,,,"247","89","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T11:00:00","25.85","-27.70",,,"1","3","2","5",,,,"11",,,,,,,,"10196","2","5","0",,,,,,,"263",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T11:00:00","29.61","-23.85",,,"1","3","2","5",,,,"11",,,,,,,,"10202","2","6","0",,,,,,,"263",,,,,,,,,,,,"247","93","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T11:00:00","25.80","-28.72",,,"1","3","2","5",,,,"11",,,,,,,,"10201","2","13","0",,,,,,,"265",,,,,,,,,,,,"247","58","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T11:22:00","20.45","-23.10",,,"1","5","2","5",,,,"11",,"30",,"81",,,,,,,"8","253",,,,,"9","259",,,,,,,,,,,,"247","3","798","172","6","1","2","2","1111F1","11AAAA1AA1AAAA",,,,,,,,,
"1300872","2015-09-07T11:50:00","25.85","-27.34",,,"1","3","2","5",,,,"11",,,,,,,,"10205","2","3","0",,,,,,,"264",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T12:00:00","20.45","-23.10",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"247","3","794","103","6","1","2","2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,
"4400613","2015-09-07T12:00:00","28.33","-29.72",,,"1","3","2","5",,,,"11",,,,,,,,"10207","2","8","0",,,,,,,"280",,,,,,,,,,,,"247","89","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T12:00:00","25.86","-27.71",,,"1","3","2","5",,,,"11",,,,,,,,"10201","2","7","0",,,,,,,"264",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T12:00:00","29.61","-23.86",,,"1","3","2","5",,,,"11",,,,,,,,"10200","2","2","0",,,,,,,"265",,,,,,,,,,,,"247","93","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T12:00:00","25.80","-28.76",,,"1","3","2","5",,,,"11",,,,,,,,"10203","2","8","0",,,,,,,"266",,,,,,,,,,,,"247","58","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"OWFD2","2015-09-07T12:00:00","29.40","-24.70",,,"1","4","0","0","6","3","1","1","0","90","4","26","98","1","2","10200","2","20",,,,,,,,,"5","4","2","5","8","A","2","2","6","3","3","247","94","992","114","5","1","2","2","FF111F","111111AAAA1111",,"1","2",,,,"4",,
"1300872","2015-09-07T12:50:00","25.85","-27.34",,,"1","3","2","5",,,,"11",,,,,,,,"10207","2","5","0",,,,,,,"264",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400613","2015-09-07T13:00:00","28.33","-29.72",,,"1","3","2","5",,,,"11",,,,,,,,"10207","2","9","0",,,,,,,"282",,,,,,,,,,,,"247","89","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T13:00:00","25.87","-27.72",,,"1","3","2","5",,,,"11",,,,,,,,"10199","2","4","0",,,,,,,"265",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T13:00:00","29.61","-23.87",,,"1","3","2","5",,,,"11",,,,,,,,"10199","2","1","0",,,,,,,"268",,,,,,,,,,,,"247","93","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T13:00:00","25.80","-28.76",,,"1","3","2","5",,,,"11",,,,,,,,"10202","2","6","0",,,,,,,"268",,,,,,,,,,,,"247","58","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300872","2015-09-07T13:50:00","25.86","-27.34",,,"1","3","2","5",,,,"11",,,,,,,,"10205","4","0","0",,,,,,,"266",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T14:00:00","20.45","-23.10",,,"1","4","2","5",,,,"11","0","30","4","82",,,,,,,"0","253",,,"1","226",,"259",,,,,,,,,,,,"247","3","794","103","6","1","2","2","1111F1","11AAAA1A11AAAA",,,,,,,,,
"4400613","2015-09-07T14:00:00","28.33","-29.72",,,"1","3","2","5",,,,"11",,,,,,,,"10204","4","0","0",,,,,,,"283",,,,,,,,,,,,"247","89","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T14:00:00","25.87","-27.72",,,"1","3","2","5",,,,"11",,,,,,,,"10198","2","2","0",,,,,,,"267",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T14:00:00","29.61","-23.88",,,"1","3","2","5",,,,"11",,,,,,,,"10198","7","4","0",,,,,,,"271",,,,,,,,,,,,"247","93","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T14:00:00","25.80","-28.76",,,"1","3","2","5",,,,"11",,,,,,,,"10203","2","2","0",,,,,,,"269",,,,,,,,,,,,"247","58","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300872","2015-09-07T14:50:00","25.87","-27.34",,,"1","3","2","5",,,,"11",,,,,,,,"10201","7","4","0",,,,,,,"267",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T15:00:00","20.45","-23.10",,,"1","4","2","5",,,,"11","0","50","4","82",,,,,,,"0","255",,,"1","230",,,,,,,,,,,,,,"247","3","794","103","6","1","2","2","F111F1","11AAAA1A1AAAAA",,,,,,,,,
"4400613","2015-09-07T15:00:00","28.34","-29.74",,,"1","3","2","5",,,,"11",,,,,,,,"10200","7","7","0",,,,,,,"283",,,,,,,,,,,,"247","89","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T15:00:00","25.88","-27.72",,,"1","3","2","5",,,,"11",,,,,,,,"10195","7","6","0",,,,,,,"268",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T15:00:00","29.61","-23.89",,,"1","3","2","5",,,,"11",,,,,,,,"10193","7","7","0",,,,,,,"273",,,,,,,,,,,,"247","93","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T15:00:00","25.82","-28.78",,,"1","3","2","5",,,,"11",,,,,,,,"10197","7","7","0",,,,,,,"271",,,,,,,,,,,,"247","58","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T15:42:00","20.45","-23.10",,,"1","4","2","5",,,,"11","5","48",,"80",,,,,,,"8","255",,,,,,,,,,,,,,,,,,"247","3","798","172","6","0",,"2","F111F1","11AAAA1AAAAAAA",,,,,,,,,
"1300872","2015-09-07T15:50:00","25.88","-27.34",,,"1","3","2","5",,,,"11",,,,,,,,"10196","7","11","0",,,,,,,"270",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400613","2015-09-07T16:00:00","28.34","-29.74",,,"1","3","2","5",,,,"11",,,,,,,,"10198","7","9","0",,,,,,,"285",,,,,,,,,,,,"247","89","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T16:00:00","25.88","-27.72",,,"1","3","2","5",,,,"11",,,,,,,,"10190","7","9","0",,,,,,,"269",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T16:00:00","29.62","-23.90",,,"1","3","2","5",,,,"11",,,,,,,,"10190","7","9","0",,,,,,,"274",,,,,,,,,,,,"247","93","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T16:00:00","25.82","-28.78",,,"1","3","2","5",,,,"11",,,,,,,,"10194","7","8","0",,,,,,,"273",,,,,,,,,,,,"247","58","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300872","2015-09-07T16:50:00","25.88","-27.33",,,"1","3","2","5",,,,"11",,,,,,,,"10194","7","11","0",,,,,,,"271",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T17:00:00","20.45","-23.11",,,"1","4","2","5",,,,"11","0","40","4","72",,,,,,,"0","255",,,"1","230",,,,,,,,,,,,,,"247","3","794","103","6","1","2","2","F111F1","11AAAA1A1AAAAA",,,,,,,,,
"4400613","2015-09-07T17:00:00","28.34","-29.74",,,"1","3","2","5",,,,"11",,,,,,,,"10198","7","6","0",,,,,,,"284",,,,,,,,,,,,"247","89","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T17:00:00","25.89","-27.72",,,"1","3","2","5",,,,"11",,,,,,,,"10188","7","10","0",,,,,,,"269",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T17:00:00","29.62","-23.90",,,"1","3","2","5",,,,"11",,,,,,,,"10189","7","9","0",,,,,,,"272",,,,,,,,,,,,"247","93","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T17:00:00","25.82","-28.78",,,"1","3","2","5",,,,"11",,,,,,,,"10190","7","13","0",,,,,,,"272",,,,,,,,,,,,"247","58","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T17:23:00","20.45","-23.11",,,"1","4","2","5",,,,"11",,"40",,"72",,,,,,,"8","255",,,,,,,,,,,,,,,,,,"247","3","798","172","6","0",,"2","F111F1","11AAAA1AAAAAAA",,,,,,,,,
"1300872","2015-09-07T17:50:00","25.88","-27.33",,,"1","3","2","5",,,,"11",,,,,,,,"10194","7","7","0",,,,,,,"269",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T17:53:00","20.45","-23.10",,,"1","4","2","5",,,,"11","5","42",,"91",,,,,,,"8","255",,,,,,,,,,,,,,,,,,"247","3","798","172","6","0",,"2","F111F1","11AAAA1AAAAAAA",,,,,,,,,
"4400613","2015-09-07T18:00:00","28.36","-29.74",,,"1","3","2","5",,,,"11",,,,,,,,"10196","7","4","0",,,,,,,"285",,,,,,,,,,,,"247","89","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T18:00:00","25.89","-27.71",,,"1","3","2","5",,,,"11",,,,,,,,"10188","7","7","0",,,,,,,"270",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T18:00:00","29.63","-23.90",,,"1","3","2","5",,,,"11",,,,,,,,"10190","7","3","0",,,,,,,"271",,,,,,,,,,,,"247","93","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T18:00:00","25.83","-28.79",,,"1","3","2","5",,,,"11",,,,,,,,"10187","7","10","0",,,,,,,"272",,,,,,,,,,,,"247","58","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"OWFD2","2015-09-07T18:00:00","29.10","-26.20",,,"1","4","0","0","6","3","1","1","0","180","4","15","98","2","1","10196","8",,"0","280","0","265",,"260","1","260","5","4","4","5","6","A","2","0","3","8","1","247","96","992","114","5","1","2","2","111111","11111111111117",,"1","1",,,,"4",,
"1300872","2015-09-07T18:50:00","25.88","-27.32",,,"1","3","2","5",,,,"11",,,,,,,,"10198","2","2","0",,,,,,,"269",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400613","2015-09-07T19:00:00","28.36","-29.74",,,"1","3","2","5",,,,"11",,,,,,,,"10198","7","1","0",,,,,,,"283",,,,,,,,,,,,"247","89","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T19:00:00","25.89","-27.71",,,"1","3","2","5",,,,"11",,,,,,,,"10190","4","0","0",,,,,,,"269",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T19:00:00","29.63","-23.90",,,"1","3","2","5",,,,"11",,,,,,,,"10192","2","2","0",,,,,,,"270",,,,,,,,,,,,"247","93","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T19:00:00","25.83","-28.79",,,"1","3","2","5",,,,"11",,,,,,,,"10189","7","5","0",,,,,,,"271",,,,,,,,,,,,"247","58","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300872","2015-09-07T19:50:00","25.88","-27.32",,,"1","3","2","5",,,,"11",,,,,,,,"10197","2","3","0",,,,,,,"267",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T20:00:00","20.45","-23.10",,,"1","4","2","5",,,,"11","0","40","4","93",,,,,,,"0","255",,,"1","232",,,,,,,,,,,,,,"247","3","794","103","6","1","2","1","F111F1","11AAAA1A1AAAAA",,,,,,,,,
"4400613","2015-09-07T20:00:00","28.36","-29.74",,,"1","3","2","5",,,,"11",,,,,,,,"10196","7","2","0",,,,,,,"284",,,,,,,,,,,,"247","89","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T20:00:00","25.88","-27.71",,,"1","3","2","5",,,,"11",,,,,,,,"10190","2","2","0",,,,,,,"268",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T20:00:00","29.63","-23.89",,,"1","3","2","5",,,,"11",,,,,,,,"10196","2","7","0",,,,,,,"269",,,,,,,,,,,,"247","93","794","103","7","1","2","1","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T20:00:00","25.83","-28.79",,,"1","3","2","5",,,,"11",,,,,,,,"10194","2","4","0",,,,,,,"270",,,,,,,,,,,,"247","58","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T20:03:00","20.45","-23.11",,,"1","4","2","5",,,,"11","5","55",,"88",,,,,,,"8","256",,,,,,,,,,,,,,,,,,"247","3","798","172","6","0",,"1","F111F1","11AAAA1AAAAAAA",,,,,,,,,
"1300872","2015-09-07T20:50:00","25.88","-27.31",,,"1","3","2","5",,,,"11",,,,,,,,"10201","2","6","0",,,,,,,"266",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T21:00:00","20.46","-23.11",,,"1","4","2","5",,,,"11","0","50","4","87",,,,,,,"0","256",,,"1","229",,,,,,,,,,,,,,"247","3","794","103","6","1","2","1","F111F1","11AAAA1A1AAAAA",,,,,,,,,
"4400613","2015-09-07T21:00:00","28.36","-29.73",,,"1","3","2","5",,,,"11",,,,,,,,"10199","2","3","0",,,,,,,"283",,,,,,,,,,,,"247","89","794","103","7","1","2","1","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T21:00:00","25.88","-27.70",,,"1","3","2","5",,,,"11",,,,,,,,"10197","2","9","0",,,,,,,"266",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T21:00:00","29.63","-23.89",,,"1","3","2","5",,,,"11",,,,,,,,"10199","2","9","0",,,,,,,"268",,,,,,,,,,,,"247","93","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T21:00:00","25.84","-28.80",,,"1","3","2","5",,,,"11",,,,,,,,"10199","2","12","0",,,,,,,"270",,,,,,,,,,,,"247","58","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300872","2015-09-07T21:50:00","25.87","-27.31",,,"1","3","2","5",,,,"11",,,,,,,,"10207","2","9","0",,,,,,,"266",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T22:00:00","20.45","-23.11",,,"1","4","2","5",,,,"11","0","70","4","77",,,,,,,"0","256",,,"1","233",,,,,,,,,,,,,,"247","3","794","103","6","1","2","1","F111F1","11AAAA1A1AAAAA",,,,,,,,,
"4400613","2015-09-07T22:00:00","28.36","-29.73",,,"1","3","2","5",,,,"11",,,,,,,,"10205","2","8","0",,,,,,,"281",,,,,,,,,,,,"247","89","794","103","7","1","2","1","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-07T22:00:00","25.87","-27.71",,,"1","3","2","5",,,,"11",,,,,,,,"10202","2","12","0",,,,,,,"266",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-07T22:00:00","29.62","-23.88",,,"1","3","2","5",,,,"11",,,,,,,,"10206","2","14","0",,,,,,,"266",,,,,,,,,,,,"247","93","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-07T22:00:00","25.84","-28.80",,,"1","3","2","5",,,,"11",,,,,,,,"10202","2","14","0",,,,,,,"269",,,,,,,,,,,,"247","58","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-07T22:30:00","20.45","-23.11",,,"1","4","2","5",,,,"11",,"70",,"79",,,,,,,"8","256",,,,,,,,,,,,,,,,,,"247","3","798","172","6","0",,"1","F111F1","11AAAA1AAAAAAA",,,,,,,,,
"1300872","2015-09-07T22:50:00","25.87","-27.31",,,"1","3","2","5",,,,"11",,,,,,,,"10212","2","15","0",,,,,,,"266",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
