"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER"
"1300872","2015-09-01T02:50:00","25.52","-27.16",,,"1","3","2","5",,,,"11",,,,,,,,"10187","7","13","0",,,,,,,"263",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-01T03:00:00","20.47","-23.09",,,"1","4","2","5",,,,"11","0","60","4","72",,,,,,,"0","254",,,"1","251",,"256",,,,,,,,,,,,"247","3","794","103","6","1","2","1","1111F3","11AAAA1A11AAAA",,,,,,,,,
"4400613","2015-09-01T03:00:00","28.06","-29.22",,,"1","3","2","5",,,,"11",,,,,,,,"10184","7","8","0",,,,,,,"267",,,,,,,,,,,,"247","89","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-01T03:00:00","25.67","-27.23",,,"1","3","2","5",,,,"11",,,,,,,,"10179","7","14","0",,,,,,,"261",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-01T03:00:00","29.80","-23.37",,,"1","3","2","5",,,,"11",,,,,,,,"10199","7","11","0",,,,,,,"263",,,,,,,,,,,,"247","93","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-01T03:00:00","25.73","-27.81",,,"1","3","2","5",,,,"11",,,,,,,,"10181","7","13","0",,,,,,,"263",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"DBBH","2015-09-01T03:00:00","20.40","-23.00",,,"1","4","0","0","0","0","1","1","0","70","1","100",,,,"10143","8","16","0","252",,,,"238","3","260",,,,"A",,,,,,,,"247","3","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,"4",,
"1300872","2015-09-01T03:50:00","25.52","-27.15",,,"1","3","2","5",,,,"11",,,,,,,,"10181","7","15","0",,,,,,,"262",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-01T03:54:00","20.45","-23.10",,,"1","5","2","5",,,,"11",,"70",,"81",,,,,,,"8","253",,,,,"9","256",,,,,,,,,,,,"247","3","798","172","6","0",,"1","1111F3","11AAAA1AA1AAAA",,,,,,,,,
"1300002","2015-09-01T04:00:00","20.45","-23.10",,,"1","4","2","5",,,,"11","0","70","4","82",,,,,,,"0","253",,,"1","251",,"256",,,,,,,,,,,,"247","3","794","103","6","1","2","1","1111F3","11AAAA1A11AAAA",,,,,,,,,
"4400613","2015-09-01T04:00:00","28.06","-29.22",,,"1","3","2","5",,,,"11",,,,,,,,"10181","7","11","0",,,,,,,"266",,,,,,,,,,,,"247","89","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-01T04:00:00","25.68","-27.22",,,"1","3","2","5",,,,"11",,,,,,,,"10174","7","14","0",,,,,,,"261",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-01T04:00:00","29.79","-23.37",,,"1","3","2","5",,,,"11",,,,,,,,"10197","7","11","0",,,,,,,"262",,,,,,,,,,,,"247","93","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-01T04:00:00","25.73","-27.81",,,"1","3","2","5",,,,"11",,,,,,,,"10176","7","15","0",,,,,,,"263",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"DBBH","2015-09-01T04:00:00","20.40","-23.00",,,"1","4","0","0","0","0","1","1","0","80","1","100",,,,"10139","7","18","0","251",,,,"240","3","260",,,,"A",,,,,,,,"247","3","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,"4",,
"1300872","2015-09-01T04:50:00","25.52","-27.15",,,"1","3","2","5",,,,"11",,,,,,,,"10181","7","10","0",,,,,,,"262",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
