"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","IND_FOR_PRECIP"
"KSFF","2022-09-01T00:00:00","28.80","48.70",,,"1","5","2","5","2","2","1",,,,,,,,,"10027","5","1","8","297",,"263","251",,,,,"A",,"A","A",,,,,,,"218","88","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T01:00:00","28.90","48.90",,,"1","5","2","5","2","2","1",,,,,,,,,"10032","3","8","8","288",,"251","238",,,,,"A",,"A","A",,,,,,,"218","88","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T02:00:00","29.00","48.90",,,"1","5","2","5","1","2","1",,,,,,,,,"10035","1","12","8","273",,"246","235",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T03:00:00","29.00","48.70",,,"1","5","2","5","8","1","1",,,,,,,,,"10035","1","8","8","316",,"297","292",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T04:00:00","29.10","48.50",,,"1","5","2","5","7","2","1",,,,,,,,,"10041","3","9","8","324",,"272","255",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T05:00:00","29.10","48.30",,,"1","5","2","5","6","2","1",,,,,,,,,"10045","3","10","8","324",,"279","265",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"V7DJ7","2022-09-01T06:00:00","29.00","48.20",,,"1","4","0","0","0","0","1","0","70","3","51",,"97","2","1","10110",,,"0","360","0","250","206",,"322","3","0","6","2","0","0",,"3","0","0",,,"218","98","992","114","5","1","2","2","111111","1111111111113A",,"1","1","0","4"
"VRIC6","2022-09-01T06:00:00","28.80","49.70",,,"1","4","0","0","3","1","1","0","180","3","46",,"97",,"2","10025","1",,"0","360","0","320","310","1","320","5","5","1","5","6","1",,"2","2","0",,,"218","89","992","114","5","1","2","2","111111","111A1111111137",,"1","2","0","4"
"KSFF","2022-09-01T07:00:00","29.30","48.10",,,"1","5","2","5","7","2","1",,,,,,,,,"10044","0","3","8","320",,"250","224",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T08:00:00","29.40","48.00",,,"1","5","2","5","7","2","1",,,,,,,,,"10037","8","8","8","347",,"250","211",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T09:00:00","29.40","48.00",,,"1","5","2","5","7","2","1",,,,,,,,,"10027","8","20","8","361",,"235","178",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T10:00:00","29.40","48.00",,,"1","5","2","5","7","1","1",,,,,,,,,"10019","8","25","8","378",,"295","269",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F3FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T11:00:00","29.30","47.90",,,"1","5","2","5","5","1","1",,,,,,,,,"10010","6","27","8",,,"267","206",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","2","F7FF12","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T12:00:00","29.30","47.90",,,"1","5","2","5","5","1","1",,,,,,,,,"10006","6","21","8",,,"259","195",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","2","F7FF12","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T14:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10002","6","8","8","388",,"253","197",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","2","F5FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T15:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10004","5","2","8","363",,"239","184",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T16:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10008","3","4","8","352",,"228","170",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
