"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"2300504","2018-09-08T09:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","324",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"9500392","2018-09-08T09:00:00","24.30","36.40",,,"1","4",,"0",,,"11","0","320","4","113",,,"3","2","10051","8","2",,"340","0","270","246","1","317",,,,,,,,"6","5","33","6","1","217","46","793","103",,"1","2","2","131111","11A1111111A111",,,"1","2",,,,,,,,,"4"
"2300504","2018-09-08T10:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","325",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-08T11:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","325",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-08T12:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","325",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-08T13:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","323",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"PGRQ","2018-09-08T13:00:00","20.85","38.10",,,"1","5","2","5","9",,"1",,,,,,,,,"10031",,,,,,,,,,,,,,,,,,,,,,"217","8","798","172","5","1","2","2","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-08T14:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","323",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-08T14:00:00","29.93","32.56",,,"1","5","2","5","5","2","1",,,,,,,,,"10100","7","10","8","339",,,,,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F5FF16","1AAAA11A6AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-08T15:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","322",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-08T15:00:00","29.70","32.53",,,"1","5","2","5","4","4","1",,,,,,,,,"10100","7","3","8","321",,,"187",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F3FF12","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-08T16:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","321",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-08T16:00:00","29.44","32.60",,,"1","5","2","5","3","4","1",,,,,,,,,"10102","2","1","8","299",,,"212",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-08T17:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","320",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-08T17:00:00","29.20","32.72",,,"1","5","2","5","3","4","1",,,,,,,,,"10105","2","4","8","287",,,"225",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-08T18:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","321",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-08T18:00:00","28.94","32.83",,,"1","5","2","5","4","4","1",,,,,,,,,"10105","2","5","8","290",,,"213",,,,,,,,,,,,,,,"217","82","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-08T19:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","320",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-08T19:00:00","28.69","32.95",,,"1","5","2","5","3","4","1",,,,,,,,,"10104","2","1","8","291",,,"201",,,,,,,,,,,,,,,"217","82","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-08T20:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","321",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"9500392","2018-09-08T20:00:00","20.70","38.50",,,"1","4",,"0",,,"11","0","350","4","103",,"98","3","0","10030",,,,"315","0","290","283","1","333",,,,,,,,"5","5","34","5","2","217","8","793","103",,"1","2","1","111111","1111111111A11A",,,"1","0",,,,,,,,,"4"
"EUCDE24","2018-09-08T20:00:00","28.46","33.10",,,"1","5","2","5","3","4","1",,,,,,,,,"10101","7","4","8","293",,,"203",,,,,,,,,,,,,,,"217","83","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-08T21:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","320",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-08T21:00:00","28.22","33.25",,,"1","5","2","5","3","4","1",,,,,,,,,"10095","7","10","8","291",,,"208",,,,,,,,,,,,,,,"217","83","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-08T21:00:00","21.13","37.93",,,"1","5","2","5","9",,"1",,,,,,,,,"10059",,,,,,,,,,,,,,,,,,,,,,"217","17","798","172","5","1","2","1","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-08T22:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","319",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-08T22:00:00","28.02","33.48",,,"1","5","2","5","3","4","1",,,,,,,,,"10088","7","16","8","294",,,"191",,,,,,,,,,,,,,,"217","83","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-08T22:00:00","21.03","37.98",,,"1","5","2","5","9",,"1",,,,,,,,,"10051",,,,,,,,,,,,,,,,,,,,,,"217","17","798","172","5","1","2","1","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-08T23:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","319",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-08T23:00:00","27.83","33.72",,,"1","5","2","5","3","4","1",,,,,,,,,"10081","7","20","8","280",,,"224",,,,,,,,,,,,,,,"217","73","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-08T23:00:00","20.97","38.07",,,"1","5","2","5","9",,"1",,,,,,,,,"10051",,,,,,,,,,,,,,,,,,,,,,"217","8","798","172","5","1","2","1","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-09T00:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","319",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T00:00:00","27.62","33.94",,,"1","5","2","5","3","4","1",,,,,,,,,"10079","7","16","8","277",,,"211",,,,,,,,,,,,,,,"217","73","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-09T00:00:00","20.88","38.02",,,"1","5","2","5","9",,"1",,,,,,,,,"10051",,,,,,,,,,,,,,,,,,,,,,"217","8","798","172","5","1","2","1","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-09T01:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T01:00:00","27.41","34.14",,,"1","5","2","5","3","4","1",,,,,,,,,"10076","7","12","8","282",,,"200",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-09T01:00:00","20.80","37.97",,,"1","5","2","5","9",,"1",,,,,,,,,"10053",,,,,,,,,,,,,,,,,,,,,,"217","7","798","172","5","1","2","1","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-09T02:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T02:00:00","27.18","34.31",,,"1","5","2","5","3","4","1",,,,,,,,,"10079","7","1","8","280",,,"203",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-09T02:00:00","20.87","37.98",,,"1","5","2","5","9",,"1",,,,,,,,,"10053",,,,,,,,,,,,,,,,,,,,,,"217","7","798","172","5","1","2","1","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-09T03:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T03:00:00","26.95","34.49",,,"1","5","2","5","3","4","1",,,,,,,,,"10080","2","1","8","284",,,"203",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-09T03:00:00","20.95","38.03",,,"1","5","2","5","9",,"1",,,,,,,,,"10058",,,,,,,,,,,,,,,,,,,,,,"217","8","798","172","5","1","2","1","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-09T04:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","317",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T04:00:00","26.71","34.66",,,"1","5","2","5","3","4","1",,,,,,,,,"10075","7","1","8","287",,,"194",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-09T04:00:00","21.02","37.97",,,"1","5","2","5","9",,"1",,,,,,,,,"10061",,,,,,,,,,,,,,,,,,,,,,"217","17","798","172","5","1","2","2","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-09T05:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","317",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T05:00:00","26.48","34.83",,,"1","5","2","5","3","4","1",,,,,,,,,"10079","2","0","8","298",,,"207",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA7",,"5",,,,,,,,,,,
"PGRQ","2018-09-09T05:00:00","21.07","37.92",,,"1","5","2","5","9",,"1",,,,,,,,,"10067",,,,,,,,,,,,,,,,,,,,,,"217","17","798","172","5","1","2","2","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-09T06:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","317",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"A8XP9","2018-09-09T06:00:00","26.20","35.10",,,"1","6","2","5","3","4","1",,"320",,"129","1","97","3","0","10108","3","18","8","300",,,"242","3","290","1","1","6","2","A","A","32","4","2",,,,"217","65","798","172","5","0",,"2","111111","1111111A1111A1",,"5",,"0",,,,,,,,,
"EUCDE24","2018-09-09T06:00:00","26.24","34.99",,,"1","5","2","5","3","4","1",,,,,,,,,"10083","2","3","8","306",,,"212",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-09T07:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","319",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T07:00:00","26.01","35.12",,,"1","5","2","5","3","4","1",,,,,,,,,"10083","2","8","8","318",,,"219",,,,,,,,,,,,,,,"217","65","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-09T07:00:00","21.23","37.88",,,"1","5","2","5","9",,"1",,,,,,,,,"10072",,,,,,,,,,,,,,,,,,,,,,"217","17","798","172","5","1","2","2","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-09T08:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","322",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T08:00:00","25.78","35.26",,,"1","5","2","5","3","4","1",,,,,,,,,"10084","2","5","8","322",,,"217",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-09T08:00:00","21.28","37.93",,,"1","5","2","5","9",,"1",,,,,,,,,"10073",,,,,,,,,,,,,,,,,,,,,,"217","17","798","172","5","1","2","2","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-09T09:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","322",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"A8XP9","2018-09-09T09:00:00","25.50","35.60",,,"1","6","2","5","3","4","1",,"320",,"93","1","97","5","2","10107","5","1","8","310",,,"226","3","290",,,"A",,"A","A","32","3","2",,,,"217","55","798","172","5","0",,"2","111111","1111111A1181A1",,"5",,"2",,,,,,,,,
"EUCDE24","2018-09-09T09:00:00","25.55","35.39",,,"1","5","2","5","3","4","1",,,,,,,,,"10084","2","2","8","334",,,"225",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F3FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-09T09:00:00","21.28","38.08",,,"1","5","2","5","9",,"1",,,,,,,,,"10070",,,,,,,,,,,,,,,,,,,,,,"217","18","798","172","5","1","2","2","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-09T10:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","320",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T10:00:00","25.32","35.52",,,"1","5","2","5","3","4","1",,,,,,,,,"10083","2","1","8","343",,,"226",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F5FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-09T10:00:00","21.30","38.20",,,"1","5","2","5","9",,"1",,,,,,,,,"10064",,,,,,,,,,,,,,,,,,,,,,"217","18","798","172","5","1","2","2","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-09T11:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","320",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T11:00:00","25.09","35.65",,,"1","5","2","5","3","4","1",,,,,,,,,"10078","7","6","8","339",,,"224",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F5FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-09T12:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","320",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T12:00:00","24.86","35.79",,,"1","5","2","5","3","4","1",,,,,,,,,"10071","7","14","8","315",,,"237",,,,,,,,,,,,,,,"217","45","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-09T13:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","319",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T13:00:00","24.64","35.92",,,"1","5","2","5","3","4","1",,,,,,,,,"10063","7","21","8","311",,,"239",,,,,,,,,,,,,,,"217","45","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-09T13:00:00","21.33","38.15",,,"1","5","2","5","9",,"1",,,,,,,,,"10040",,,,,,,,,,,,,,,,,,,,,,"217","18","798","172","5","1","2","2","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-09T14:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","319",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T14:00:00","24.41","36.06",,,"1","5","2","5","3","4","1",,,,,,,,,"10064","7","15","8","305",,,"242",,,,,,,,,,,,,,,"217","46","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-09T15:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","319",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T15:00:00","24.19","36.20",,,"1","5","2","5","3","4","1",,,,,,,,,"10062","7","9","8","300",,,"245",,,,,,,,,,,,,,,"217","46","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-09T16:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","319",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T16:00:00","23.97","36.34",,,"1","5","2","5","3","4","1",,,,,,,,,"10060","7","3","8","298",,,"249",,,,,,,,,,,,,,,"217","36","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-09T17:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T17:00:00","23.75","36.49",,,"1","5","2","5","3","4","1",,,,,,,,,"10069","2","5","8","301",,,"240",,,,,,,,,,,,,,,"217","36","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-09T18:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"A8XP9","2018-09-09T18:00:00","23.60","37.10",,,"1","6","2","5","3","4","1",,"320",,"87","1","98","2","0","10093","3","12","8","292",,,"234","3","300",,,"A",,"A","A","32","3","1",,,,"217","37","798","172","5","0",,"1","111111","1111111A1181A1",,"5",,"0",,,,,,,,,
"EUCDE24","2018-09-09T18:00:00","23.53","36.63",,,"1","5","2","5","3","4","1",,,,,,,,,"10073","2","12","8","305",,,"232",,,,,,,,,,,,,,,"217","36","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-09T19:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","317",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T19:00:00","23.31","36.78",,,"1","5","2","5","3","4","1",,,,,,,,,"10074","2","14","8","312",,,"224",,,,,,,,,,,,,,,"217","36","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-09T20:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","316",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T20:00:00","23.08","36.91",,,"1","5","2","5","3","4","1",,,,,,,,,"10071","2","3","8","317",,,"214",,,,,,,,,,,,,,,"217","36","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-09T21:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","319",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"A8XP9","2018-09-09T21:00:00","22.90","37.70",,,"1","6","2","5","3","4","1",,"320",,"87","1","98","2","0","10073","8","6","8","274",,,"243","3","300",,,"A",,"A","A","32","3","2",,,,"217","27","798","172","5","0",,"1","111111","1111111A1181A1",,"5",,"0",,,,,,,,,
"EUCDE24","2018-09-09T21:00:00","22.86","37.05",,,"1","5","2","5","3","4","1",,,,,,,,,"10067","7","6","8","317",,,"229",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-09T22:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","317",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T22:00:00","22.64","37.18",,,"1","5","2","5","3","4","1",,,,,,,,,"10060","7","14","8","312",,,"231",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"2300504","2018-09-09T23:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","317",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-09T23:00:00","22.43","37.32",,,"1","5","2","5","3","4","1",,,,,,,,,"10058","7","13","8","312",,,"239",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-09T23:00:00","21.38","38.10",,,"1","5","2","5","9",,"1",,,,,,,,,"10066",,,,,,,,,,,,,,,,,,,,,,"217","18","798","172","5","1","2","1","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-10T00:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","317",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"EUCDE24","2018-09-10T00:00:00","22.21","37.46",,,"1","5","2","5","3","4","1",,,,,,,,,"10059","7","8","8","312",,,"236",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PGRQ","2018-09-10T00:00:00","21.35","38.05",,,"1","5","2","5","9",,"1",,,,,,,,,"10057",,,,,,,,,,,,,,,,,,,,,,"217","18","798","172","5","1","2","1","FFFF1F","1AAAA1AAAAAAAA",,"5",,,,,,,,,,,
"2300504","2018-09-10T01:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","317",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
