"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"SNDP5","2018-09-01T03:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","287",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","284",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","282",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:24:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","283",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:30:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","282",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","280",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:42:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","280",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0",,,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","1FFF1F","1AAAA1AAA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:54:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","281",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"5102534","2018-09-01T04:00:00","23.17","-179.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","285",,,,,,,,,,,,,"232","39","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"SNDP5","2018-09-01T04:00:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135","4","0","0","280",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AA1","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","280",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","276",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","276",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:24:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","275",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:30:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","274",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","274",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:42:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","274",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10136",,,"0","274",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:54:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10136",,,"0","275",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"5102534","2018-09-01T05:00:00","23.17","-179.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","284",,,,,,,,,,,,,"232","39","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"SNDP5","2018-09-01T05:00:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10137","4","0","0","273",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AA1","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T05:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10138",,,"0","272",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T05:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10138",,,"0","273",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T05:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10139",,,"0","272",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T05:24:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10139",,,"0","272",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T05:30:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10139",,,"0","271",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T05:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10139",,,"0","268",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T05:42:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10140",,,"0","268",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T05:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10140",,,"0","267",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T05:54:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10140",,,"0","266",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"5102534","2018-09-01T06:00:00","23.16","-179.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","283",,,,,,,,,,,,,"232","39","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"SNDP5","2018-09-01T06:00:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10140","3","6","0","266",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","1","11FF1F","1AAAA11AA18AA1","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T06:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10140",,,"0","265",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T06:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10141",,,"0","264",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T06:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10142",,,"0","264",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T06:24:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10142",,,"0","263",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T06:30:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10143",,,"0","261",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T06:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10144",,,"0","261",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T06:42:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10144",,,"0","261",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T06:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10143",,,"0","260",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T06:54:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10144",,,"0","260",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"5102534","2018-09-01T07:00:00","23.15","-179.98",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","283",,,,,,,,,,,,,"232","39","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"SNDP5","2018-09-01T07:00:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10144","3","9","0","260",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"1","11FF1F","1AAAA11AA18AA1","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T07:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10145",,,"0","260",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T07:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10146",,,"0","260",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T07:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10147",,,"0","259",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T07:24:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10147",,,"0","259",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T07:30:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10148",,,"0","259",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T07:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10148",,,"0","259",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T07:42:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10149",,,"0","259",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"1","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T07:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10149",,,,,,,,,,,,"A",,,,,,,,,"232","87","995","114","16","0",,"1","FFFF1F","1AAAA1AAAA8AAA","31",,"6",,,,,,,,,"4"
