"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","IND_FOR_PRECIP"
"ATSS","2018-09-17T00:00:00","29.60","48.90",,,"1","6","2","5","9",,"1",,"320",,"26","1","97","0","0","10050","4","1","8","340",,,"330","1","340","0","0","0","9","0","0",,,,,"218","98","798","172","5","1","2","1","311113","1111111A111AA7","5",,"0",,
"TBWUK79","2018-09-25T00:00:00","27.20","49.90",,,"1","6","2","5","9","0","1",,"290","3","41","1","97","2","0","10068","5","9","8","330",,"290","278","3","330","0","0","0","9","0","0",,,"1",,"218","79","798","172","5","1","2","1","111111","111111111113A1","5",,"0",,
"TBWUK79","2018-09-25T04:00:00","27.20","49.90",,,"1","4","0","0","0","0","1","0","361","3","0",,"97","2","0","10089","3","21","0","355",,,"240","3","330","0","0","0","9","0","0",,,,"0","218","79","992","114","5","1","2","2","111111","1111111A111A31",,"1","0","0","4"
"TBWUK79","2018-09-25T10:00:00","27.20","49.90",,,"1","6","2","5","9","0","1",,"330","3","77","1","97","2","0","10075","8","13","8","355",,"275","248","3","330","0","0","0","9","0","0",,,"1",,"218","79","798","172","5","1","2","2","111111","111111111113A1","5",,"0",,
"V7DS3","2018-09-26T09:00:00","29.30","48.20",,,"1","6","2","5","0","0","1",,"360",,"31","1","97","5",,"10080","0","0","8","380","0","320","304","1","320","0","0","0","9","0","0","36","0","0",,"218","98","798","172","5","0",,"2","131111","1111A1111111A1","5",,,,
"TBWUK79","2018-09-26T11:00:00","27.20","49.90",,,"1","6","2","5","9","0","1",,"310","3","57","1","97","2","0","10066","8","9","8","355",,"295","277","3","330","0","0","0","9","0","0",,,"1",,"218","79","798","172","5","1","2","2","111111","111111111113A1","5",,"0",,
"V7DS3","2018-09-27T08:00:00","29.00","48.20",,,"1","6","2","5","0","0","1",,"40",,"10","1","97","5",,"10100","0","0","8","380","0","320","304","1","320","0","0","0","9","0","0","4","0","0","36","218","98","798","172","5","0",,"2","131111","1111A111111171","5",,,"36",
"TBWUK75","2018-09-28T09:00:00","27.20","49.90",,,"1","6","2","5","7","1","1",,,"4","0","1","97",,,"10103","1","21","8","341",,,"328","7","331","3","3","1","2","1","1","0","0","0",,"218","79","798","172","5","1","2","2","111111","121AA11A1111A1","5",,,,
