"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"EUCDE18","2018-09-01T05:00:00","18.51","-24.38",,,"1","5","2","5","1","4","1",,,,,,,,,"10092","7","9","8","248",,,"224",,,,,,,,,,,,,,,"283","84","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"1300001","2018-09-01T06:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","217",,"93",,,,,"10095",,,"8","267",,,,"9","270",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T06:00:00","17.25","-28.70",,,"1","3","2","5",,,"11",,,,,,,,,"10102",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"EUCDE18","2018-09-01T06:00:00","18.71","-24.21",,,"1","5","2","5","1","4","1",,,,,,,,,"10098","7","0","8","248",,,"222",,,,,,,,,,,,,,,"283","84","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA7",,"5",,,,,,,,,,,
"1300001","2018-09-01T07:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","213",,"86",,,,,"10099",,,"8","266",,,,"9","270",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T07:00:00","17.24","-28.71",,,"1","3","2","5",,,"11",,,,,,,,,"10103",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"C6NI8","2018-09-01T07:00:00","18.80","-20.70",,,"1","6","2","5","5","3","1",,"60",,"82","1","97","50","5","10125","6","3","8","240","0","215","202","1","235","8","7","7","3","2","A","6","5","2","2","8","4","283","80","798","172","5","1","2","1","111111","11111111111111",,"5",,"1",,,,,,,,,
"D5DS3","2018-09-01T07:00:00","13.10","-23.80",,,"1","5","2","5","5","3","1",,"170","4","108","1","98","3","2","10096","2","5","8","260",,"240","232",,,"7",,"A","A","A","A",,,,,,,"283","33","798","172","5","1","2","1","F11511","111111111A1AA1",,"5",,"2",,,,,,,,,
"EUCDE18","2018-09-01T07:00:00","18.91","-24.04",,,"1","5","2","5","1","4","1",,,,,,,,,"10103","2","8","8","248",,,"222",,,,,,,,,,,,,,,"283","84","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"1300001","2018-09-01T08:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","218",,"93",,,,,"10105",,,"8","268",,,,"9","269",,,,,,,,,,,,,"283","12","798","172","6","0",,"2","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T08:00:00","17.23","-28.73",,,"1","3","2","5",,,"11",,,,,,,,,"10100",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"2","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"EUCDE18","2018-09-01T08:00:00","19.11","-23.87",,,"1","5","2","5","1","4","1",,,,,,,,,"10113","2","21","8","245",,,"221",,,,,,,,,,,,,,,"283","93","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"1300001","2018-09-01T09:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","221",,"84",,,,,"10113",,,"8","266",,,,"9","269",,,,,,,,,,,,,"283","12","798","172","6","0",,"2","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T09:00:00","17.21","-28.75",,,"1","3","2","5",,,"11",,,,,,,,,"10104",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"2","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"EUCDE18","2018-09-01T09:00:00","19.32","-23.70",,,"1","5","2","5","1","4","1",,,,,,,,,"10124","2","26","8","243",,,"222",,,,,,,,,,,,,,,"283","93","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"1300001","2018-09-01T10:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","217",,"101",,,,,"10118",,,"8","267",,,,"9","269",,,,,,,,,,,,,"283","12","798","172","6","0",,"2","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T10:00:00","17.20","-28.77",,,"1","3","2","5",,,"11",,,,,,,,,"10106",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"2","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"EUCDE18","2018-09-01T10:00:00","19.52","-23.53",,,"1","5","2","5","1","4","1",,,,,,,,,"10135","2","31","8","244",,,"218",,,,,,,,,,,,,,,"283","93","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"1300001","2018-09-01T11:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","216",,"82",,,,,"10121",,,"8","268",,,,"9","269",,,,,,,,,,,,,"283","12","798","172","6","0",,"2","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
