"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"2301633","2018-09-01T19:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","300",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"TBWUK63","2018-09-01T19:00:00","25.80","51.70",,,"1","4","0","0","0","0","1","0","80","4","36",,"97","2","0","10023","0","8","0","340","0","310","301","1","340","0","0","0","9","0","0",,"3","0",,,,"219","51","992","114","5","1","2","1","111111","111111111111A1",,,"1","0",,,,,"4"
"2301633","2018-09-01T20:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-01T21:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","298",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"9V9375","2018-09-01T21:00:00","24.40","58.40",,,"1","6","2","5","7","3","1",,"90","3","67","1","97","1","1","10020","6","10","8","240",,"220","210","7","302","4",,"A","A","A","A",,"2","1","14","7","1","219","48","798","172","5","1","2","1","121111","11111111111111",,"5",,"1",,,,,
"2301633","2018-09-01T22:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-01T23:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","295",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T00:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","292",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T01:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","293",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T02:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","291",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
