"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"2201566","2018-09-01T16:00:00","21.34","117.25",,,"1","4","2","5",,,"11",,,,,,,,,"10089",,,"8",,,,,,"9","284",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-01T17:00:00","21.35","117.26",,,"1","4","2","5",,,"11",,,,,,,,,"10082",,,"8",,,,,,"9","284",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-01T18:00:00","21.35","117.27",,,"1","4","2","5",,,"11",,,,,,,,,"10077",,,"8",,,,,,"9","284",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-01T19:00:00","21.35","117.28",,,"1","4","2","5",,,"11",,,,,,,,,"10069",,,"8",,,,,,"9","284",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-01T20:00:00","21.35","117.28",,,"1","4","2","5",,,"11",,,,,,,,,"10066",,,"8",,,,,,"9","283",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-01T21:00:00","21.35","117.28",,,"1","4","2","5",,,"11",,,,,,,,,"10070",,,"8",,,,,,"9","283",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-01T22:00:00","21.35","117.26",,,"1","4","2","5",,,"11",,,,,,,,,"10072",,,"8",,,,,,"9","283",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-01T23:00:00","21.37","117.24",,,"1","4","2","5",,,"11",,,,,,,,,"10075",,,"8",,,,,,"9","283",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-02T00:00:00","21.37","117.23",,,"1","4","2","5",,,"11",,,,,,,,,"10076",,,"8",,,,,,"9","284",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-02T01:00:00","21.39","117.23",,,"1","4","2","5",,,"11",,,,,,,,,"10080",,,"8",,,,,,"9","286",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
