"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","IND_FOR_PRECIP"
"WDE9586","2016-09-09T12:00:00","25.50","35.40",,,"1","4","0","0","7","3",,"1","0","340","4","51",,"97","5","0","10070",,,"0","330","0","280","261","1","310","0","0","0","9","0","0",,"3","1","33","4","3","217","55","992","114","5","1","2","2","131111","1111111111111A",,"1","0",,"4"
"TBWUK72","2016-09-09T21:00:00","26.40","35.20",,,"1","4","0","0","5","4",,"1","0","250","3","41",,"98","2","1","10080","5","10","0","270","0","260","256","1","290","1","1","1","0","4","A",,"1","1","18","2","1","217","65","992","114","5","1","2","1","111111","11111111111111",,"1","1",,"4"
"WDE9586","2016-09-10T06:00:00","28.70","32.90",,,"1","4","0","0","8","3",,"1","0","340","4","113",,"97","5","0","10080","1",,"0","260","0","220","199","1","270","0","0","A","9","A","A",,,,,,,"217","82","992","114","5","1","2","2","111111","11111111111AA7",,"1","0",,"4"
"A8IE8","2016-09-11T00:00:00","27.70","33.80",,,"1","4","0","0","3","3",,"1","0","330","4","72",,"97","2","0","10080","8","18","0","282",,,"219","1","271","0","0","0","9","0","0",,"3","2","0",,,"217","73","992","114","5","1","2","1","111111","1111111A111131",,"1","0","0","4"
"DCQP2","2016-09-11T00:00:00","27.50","34.00",,,"1","4","0","0","3","4","1","1","0","300","4","93",,"98","2","0","10078","5","7","0","270",,,"226","1","269","0","0","0","9","0","0",,"4","4",,,,"217","74","992","114","5","1","2","1","111111","1111111A1111A1",,"1","0",,"4"
"WDE9586","2016-09-11T01:00:00","29.80","32.50",,,"1","4","0","0","0","0",,"1","0","360","4","15",,"97","2",,"10100","0",,"0","260","0","230","215","1","280",,,,"A",,,,,,,,,"217","92","992","114","5","1","2","1","111111","1111A111118AA7",,"1",,,"4"
"A8IE8","2016-09-11T12:00:00","25.20","35.70",,,"1","4","0","0","3","3",,"1","0","330","4","72",,"97","2","0","10070","7","14","0","330",,,"254","1","310","0","0","0","9","0","0",,"3","2","0",,,"217","55","992","114","5","1","2","2","131111","1111111A111131",,"1","0","0","4"
"DCQP2","2016-09-11T12:00:00","24.60","36.20",,,"1","4","0","0","3","4","1","1","0","320","4","93",,"98","2","0","10071","6","17","0","309",,,"236","1","294","0","0","0","9","0","0",,"5","4","0",,,"217","46","992","114","5","1","2","2","111111","1111111A111131",,"1","0","0","4"
"VROH8","2016-09-11T18:00:00","28.40","33.10",,,"1","4","0","0","3","4",,"1","0","320","3","129",,"98","2","0","10100","6","10","0","300","0","240","216","1","280","3","3","1","2","4","A",,"8","2",,,,"217","83","992","114","5","1","2","1","111111","111111111111A1",,"1","0",,"4"
"A8IE8","2016-09-12T00:00:00","22.80","37.20",,,"1","4","0","0","3","3",,"1","0","300","4","46",,"98","2","0","10060","7","15","0","280","0","271","268","1","315","0","0","0","9","0","0",,"3","2",,,,"217","27","992","114","5","1","2","1","111111","111111111111A1",,"1","0",,"4"
"DCQP2","2016-09-12T00:00:00","21.50","37.90",,,"1","4","0","0","3","4","1","1","0","300","4","62",,"98","2","0","10055","8","14","0","288",,,"262","1","300","0","0","0","9","0","0",,"2","3",,,,"217","17","992","114","5","1","2","1","111111","1111111A1111A1",,"1","0",,"4"
"DCZP2","2016-09-12T06:00:00","20.80","38.60",,,"1","4","0","0","7","4",,"1","0","20","4","21",,"97","0","0","10060","2",,"0","320","0","275","260","1","300","0","0","0","9","0","0",,"5","1",,,,"217","8","992","114","5","1","2","2","111111","111111111111A7",,"1","0",,"4"
"VROH8","2016-09-12T10:00:00","24.10","36.50",,,"1","4","0","0","3","4",,"1","0","300","3","93",,"97","2","0","10080","6",,"0","340","0","310","302","1","300","0","0","0","9","0","0",,"7","2","0",,,"217","46","992","114","5","1","2","2","131111","11111111111137",,"1","0","0","4"
"A8IE8","2016-09-12T12:00:00","20.10","38.80",,,"1","4","0","0","3","3",,"1","0","310","4","72",,"98","2","0","10056","7","18","0","341",,,"277","1","326","0","0","0","9","0","0",,"3","2","0",,,"217","8","992","114","5","1","2","2","111111","1111111A111131",,"1","0","0","4"
"AMOHK01","2016-09-12T14:00:00","29.80","32.50",,,"1","4","0","0",,,,"1",,,,,,,,,"10100",,,"0","322",,,"191",,,,,,"A",,,,,,,,,"217","92","992","114","5","0",,"2","F3FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-12T15:00:00","29.60","32.50",,,"1","4","0","0",,,,"1",,,,,,,,,"10098",,,"0","320",,,"178",,,,,,"A",,,,,,,,,"217","92","992","114","5","0",,"2","F3FF12","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-12T16:00:00","29.50","32.60",,,"1","4","0","0",,,,"1",,,,,,,,,"10095",,,"0","303",,,"207",,,,,,"A",,,,,,,,,"217","92","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-12T17:00:00","29.30","32.70",,,"1","4","0","0",,,,"1",,,,,,,,,"10093",,,"0","293",,,"207",,,,,,"A",,,,,,,,,"217","92","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"VROH8","2016-09-12T17:00:00","22.00","37.80",,,"1","4","0","0","3","4",,"1","0","340","3","41",,"97","2","0","10070","6","10","0","290","0","280","277","1","320","3","3","1","2","4","A",,"3","1","32","5","1","217","27","992","114","5","1","2","1","111111","11111111111111",,"1","0",,"4"
"AMOHK01","2016-09-12T18:00:00","29.20","32.70",,,"1","4","0","0",,,,"1",,,,,,,,,"10096",,,"0","289",,,"194",,,,,,"A",,,,,,,,,"217","92","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"DCZP2","2016-09-12T18:00:00","23.90","36.70",,,"1","4","0","0","7","4",,"1","0","360","4","87",,"96","0","0","10040","2","5","0","305","0","280","272","1","290","0","0","0","9","0","0",,"4","3","35","12","3","217","36","992","114","5","1","2","1","111111","11141111111111",,"1","0",,"4"
"AMOHK01","2016-09-12T19:00:00","29.00","32.80",,,"1","4","0","0",,,,"1",,,,,,,,,"10098",,,"0","281",,,"209",,,,,,"A",,,,,,,,,"217","92","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-12T20:00:00","28.80","32.90",,,"1","4","0","0",,,,"1",,,,,,,,,"10097",,,"0","275",,,"212",,,,,,"A",,,,,,,,,"217","82","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"TBWUK71","2016-09-12T20:00:00","20.60","38.50",,,"1","4","0","0","7","3",,"1","0","340","3","41",,"98","2","0","10050","0","7","0","310","0","280","269",,"310","0","0","0","9","0","0",,,,"0",,,"217","8","992","114","5","1","2","1","111111","11111111111A31",,"1","0","0","4"
"AMOHK01","2016-09-12T21:00:00","28.70","33.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10094",,,"0","272",,,"220",,,,,,"A",,,,,,,,,"217","83","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"TBWUK71","2016-09-12T21:00:00","21.00","38.30",,,"1","4","0","0","7","4",,"1","0","330","3","51",,"97","2","1","10050","0","0","0","340","0","300","286",,"330","4","4","4","5","4","A",,"5","1","33","5","2","217","18","992","114","5","1","2","1","111111","11111111111111",,"1","1",,"4"
"AMOHK01","2016-09-12T22:00:00","28.50","33.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10086",,,"0","269",,,"220",,,,,,"A",,,,,,,,,"217","83","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-12T23:00:00","28.30","33.20",,,"1","4","0","0",,,,"1",,,,,,,,,"10077",,,"0","267",,,"220",,,,,,"A",,,,,,,,,"217","83","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"9HA3473","2016-09-13T00:00:00","24.90","36.40",,,"1","4","0","0","7","4",,"1","0","330","4","103",,"96","5","2","10020","8","10","0","300","0","280","274","1","320","3","2","6","3","1","5",,"5","2",,,,"217","46","992","114","5","1","2","1","111111","111111111111A1",,"1","2",,"4"
"AMOHK01","2016-09-13T00:00:00","28.20","33.30",,,"1","4","0","0",,,,"1",,,,,,,,,"10076",,,"0","267",,,"222",,,,,,"A",,,,,,,,,"217","83","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"DCZP2","2016-09-13T00:00:00","25.50","35.70",,,"1","4","0","0","7","4",,"1","0","340","4","98",,"97","0","0","10030","7","10","0","300","0","255","239","1","290",,,,"A",,,,"99",,,,,"217","55","992","114","5","1","2","1","111111","111111111187A1",,"1","0",,"4"
"VRME6","2016-09-13T00:00:00","28.10","33.30",,,"1","4","0","0","3","3",,"1","0","320","4","149",,"98",,"0","10071","5","10","0","260","0","240","231","3","270",,,,"A",,,,"4","4","35","4","4","217","83","992","114","5","1","2","1","111111","111A1111118111",,"1","0",,"4"
"AMOHK01","2016-09-13T01:00:00","28.00","33.50",,,"1","4","0","0",,,,"1",,,,,,,,,"10069",,,"0","262",,,"220",,,,,,"A",,,,,,,,,"217","83","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-13T02:00:00","27.90","33.60",,,"1","4","0","0",,,,"1",,,,,,,,,"10064",,,"0","262",,,"219",,,,,,"A",,,,,,,,,"217","73","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-13T03:00:00","27.80","33.70",,,"1","4","0","0",,,,"1",,,,,,,,,"10067",,,"0","261",,,"221",,,,,,"A",,,,,,,,,"217","73","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-13T04:00:00","27.70","33.90",,,"1","4","0","0",,,,"1",,,,,,,,,"10073",,,"0","262",,,"224",,,,,,"A",,,,,,,,,"217","73","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-13T05:00:00","27.50","34.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10082",,,"0","266",,,"225",,,,,,"A",,,,,,,,,"217","74","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"VRNF7","2016-09-13T05:00:00","20.50","38.50",,,"1","4","0","0","7","3",,"1","0","330","3","77",,"98","0","0","10016",,,"0","300","0","280","273","0","290","2","2","1","4","1","0",,"20","1",,,,"217","8","992","114","5","1","2","2","111111","111111111113AA",,"1","0",,"4"
"AMOHK01","2016-09-13T06:00:00","27.40","34.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10084",,,"0","265",,,"222",,,,,,"A",,,,,,,,,"217","74","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"DJCE2","2016-09-13T06:00:00","20.90","38.20",,,"1","4","0","0","7","4","1","1","0","360","4","123",,"98","1","0","10059","1","17","0","324",,,"228","1","313","2","1","A","5","1","5",,"12","4",,,,"217","8","992","114","5","1","2","2","111211","1111111A1111A1",,"1","0",,"4"
"AMOHK01","2016-09-13T07:00:00","27.20","34.30",,,"1","4","0","0",,,,"1",,,,,,,,,"10084",,,"0","266",,,"219",,,,,,"A",,,,,,,,,"217","74","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"TBWUK71","2016-09-13T07:00:00","23.20","37.20",,,"1","4","0","0","7","3",,"1","0","360","3","144",,"98","2","0","10058","1","12","0","310","0","290","283",,"310","0","0","A","9","A","A",,,,"36","3","4","217","37","992","114","5","1","2","2","111211","11111111111A11",,"1","0",,"4"
"AMOHK01","2016-09-13T08:00:00","27.10","34.40",,,"1","4","0","0",,,,"1",,,,,,,,,"10084",,,"0","282",,,"225",,,,,,"A",,,,,,,,,"217","74","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"VRNF7","2016-09-13T08:00:00","21.20","38.40",,,"1","4","0","0","8","3",,"1","0","320","3","123",,"98","0","1","10026",,,"0","340","0","290","272","0","300","2","2","6","2","A","A",,"20","4",,,,"217","18","992","114","5","1","2","2","111111","111111111113AA",,"1","1",,"4"
"AMOHK01","2016-09-13T09:00:00","26.90","34.50",,,"1","4","0","0",,,,"1",,,,,,,,,"10076",,,"0","276",,,"219",,,,,,"A",,,,,,,,,"217","64","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-13T10:00:00","26.80","34.60",,,"1","4","0","0",,,,"1",,,,,,,,,"10072",,,"0","279",,,"217",,,,,,"A",,,,,,,,,"217","64","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"TBWUK71","2016-09-13T10:00:00","23.90","36.80",,,"1","4","0","0","7","3",,"1","0","310","3","129",,"97","2","1","10050","0","0","0","310","0","280","269",,"330","4","4","4","5","4","A",,"5","2","30","5","2","217","36","992","114","5","1","2","2","113111","11111111111111",,"1","1",,"4"
"AMOHK01","2016-09-13T11:00:00","26.60","34.70",,,"1","4","0","0",,,,"1",,,,,,,,,"10065",,,"0","281",,,"224",,,,,,"A",,,,,,,,,"217","64","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"9HA3473","2016-09-13T12:00:00","27.80","33.70",,,"1","4","0","0","7","4",,"1","0","320","4","159",,"97","5","2","10055","8","5","0","280","0","260","253","1","290","1","1","1","5","4","1",,"6","4",,,,"217","73","992","114","5","1","2","2","111111","111111111111A1",,"1","2",,"4"
"AMOHK01","2016-09-13T12:00:00","26.50","34.80",,,"1","4","0","0",,,,"1",,,,,,,,,"10061",,,"0","284",,,"229",,,,,,"A",,,,,,,,,"217","64","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"DDVK2","2016-09-13T12:00:00","22.00","37.60",,,"1","4","0","0","7","4","1","1","0","330","4","113",,"97","2","0","10041","7","15","0","312",,,"265","3","310","1","1","1","4","0","0",,"3","4",,,,"217","27","992","114","5","1","2","2","111111","1111111A1111A1",,"1","0",,"4"
"DJCE2","2016-09-13T12:00:00","22.40","37.30",,,"1","4","0","0","7","4","1","1","0","330","1","110",,"97","5","0","10040","7","13","0","298",,,"247","1","297","2","2","0","9","4","0",,"10","4","33","12","6","217","27","992","114","5","1","2","2","111111","1111111A111111",,"1","0",,"4"
"VRME6","2016-09-13T12:00:00","26.40","34.80",,,"1","4","0","0","3","2",,"1","0","350","4","103",,"97",,"0","10051","6","10","0","280","0","250","237","3","290","3","3","6","4","0","0",,"5","4","36","5","4","217","64","992","114","5","1","2","2","111111","111A1111111111",,"1","0",,"4"
"AMOHK01","2016-09-13T13:00:00","26.40","34.90",,,"1","4","0","0",,,,"1",,,,,,,,,"10056",,,"0","284",,,"233",,,,,,"A",,,,,,,,,"217","64","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"TBWUK78","2016-09-13T13:00:00","24.90","36.00",,,"1","4","0","0","3","4",,"1","0","330","3","108",,"97","5",,"10056","6","11","0","298","0","262","247",,"300","3",,"0","9","0","7",,"4","2","33","4","2","217","46","992","114","5","1","2","2","111111","1111A111111111",,"1",,,"4"
"AMOHK01","2016-09-13T14:00:00","26.20","35.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10051",,,"0","285",,,"241",,,,,,"A",,,,,,,,,"217","65","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-13T15:00:00","26.10","35.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10050",,,"0","293",,,"241",,,,,,"A",,,,,,,,,"217","65","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-13T16:00:00","26.00","35.20",,,"1","4","0","0",,,,"1",,,,,,,,,"10054",,,"0","291",,,"249",,,,,,"A",,,,,,,,,"217","65","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-13T17:00:00","25.90","35.30",,,"1","4","0","0",,,,"1",,,,,,,,,"10059",,,"0","293",,,"247",,,,,,"A",,,,,,,,,"217","55","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-13T18:00:00","25.70","35.40",,,"1","4","0","0",,,,"1",,,,,,,,,"10063",,,"0","290",,,"254",,,,,,"A",,,,,,,,,"217","55","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-13T19:00:00","25.60","35.50",,,"1","4","0","0",,,,"1",,,,,,,,,"10060",,,"0","289",,,"248",,,,,,"A",,,,,,,,,"217","55","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-13T20:00:00","25.50","35.60",,,"1","4","0","0",,,,"1",,,,,,,,,"10061",,,"0","296",,,"244",,,,,,"A",,,,,,,,,"217","55","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"TBWUK71","2016-09-13T20:00:00","25.90","35.50",,,"1","4","0","0","7","3",,"1","0","340","3","103",,"98","2","0","10050","0",,"0","300","0","270","258",,"300","0","0","A","9","A","A",,,,"36","5","4","217","55","992","114","5","1","2","1","111111","11111111111A17",,"1","0",,"4"
"VRNF7","2016-09-13T20:00:00","21.10","38.30",,,"1","4","0","0","1","0",,"1","0","320","3","51",,"97","3","1","10016",,,"0","300","0","290","287","0","300","4","4","4","5","4","8",,"5","0",,,,"217","18","992","114","5","1","2","1","111111","111111111111AA",,"1","1",,"4"
"AMOHK01","2016-09-13T21:00:00","25.30","35.70",,,"1","4","0","0",,,,"1",,,,,,,,,"10055",,,"0","299",,,"246",,,,,,"A",,,,,,,,,"217","55","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"TBWUK78","2016-09-13T21:00:00","23.10","37.10",,,"1","4","0","0","3","3",,"1","0","210","3","46",,"98","2","0","10130","3","2","0","300","0","270","258",,"310","3","3","1","4","0","0",,,,,,,"217","37","992","114","5","1","2","1","111131","11111111111AA1",,"1","0",,"4"
"AMOHK01","2016-09-13T22:00:00","25.20","35.80",,,"1","4","0","0",,,,"1",,,,,,,,,"10052",,,"0","294",,,"250",,,,,,"A",,,,,,,,,"217","55","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-13T23:00:00","25.10","35.90",,,"1","4","0","0",,,,"1",,,,,,,,,"10048",,,"0","293",,,"253",,,,,,"A",,,,,,,,,"217","55","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-14T00:00:00","25.00","36.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10047",,,"0","295",,,"245",,,,,,"A",,,,,,,,,"217","56","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"DJCE2","2016-09-14T00:00:00","25.40","35.40",,,"1","4","0","0","7","4","1","1","0","320","4","123",,"97",,"0","10046","5","5","0","294",,,"238","1","286",,,,"A",,,,"4","3",,,,"217","55","992","114","5","1","2","1","111111","111A111A1181A1",,"1","0",,"4"
"VRME6","2016-09-14T00:00:00","24.90","36.00",,,"1","4","0","0","3","2",,"1","0","330","4","108",,"97",,"0","10031","6","10","0","260","0","235","223","3","300",,,,"A",,,,"5","4","16","5","4","217","46","992","114","5","1","2","1","111111","111A1111118111",,"1","0",,"4"
"AMOHK01","2016-09-14T01:00:00","24.80","36.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10045",,,"0","295",,,"251",,,,,,"A",,,,,,,,,"217","46","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-14T02:00:00","24.70","36.20",,,"1","4","0","0",,,,"1",,,,,,,,,"10044",,,"0","294",,,"249",,,,,,"A",,,,,,,,,"217","46","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-14T03:00:00","24.60","36.30",,,"1","4","0","0",,,,"1",,,,,,,,,"10045",,,"0","293",,,"251",,,,,,"A",,,,,,,,,"217","46","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-14T04:00:00","24.50","36.40",,,"1","4","0","0",,,,"1",,,,,,,,,"10045",,,"0","293",,,"251",,,,,,"A",,,,,,,,,"217","46","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-14T05:00:00","24.30","36.50",,,"1","4","0","0",,,,"1",,,,,,,,,"10052",,,"0","298",,,"254",,,,,,"A",,,,,,,,,"217","46","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"VRNF7","2016-09-14T05:00:00","21.10","38.20",,,"1","4","0","0","0","0",,"1","0","320","3","51",,"98","0","0","10016",,,"0","310","0","280","269","0","300","1","1","1","4","0","0",,,"0","0",,,"217","18","992","114","5","1","2","2","111111","1111111111133A",,"1","0","0","4"
"AMOHK01","2016-09-14T06:00:00","24.20","36.70",,,"1","4","0","0",,,,"1",,,,,,,,,"10064",,,"0","303",,,"262",,,,,,"A",,,,,,,,,"217","46","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"DJCE2","2016-09-14T06:00:00","26.40","34.50",,,"1","4","0","0","7","3","1","1","0","330","4","159",,"98","2","1","10063","3","10","0","277",,,"222","1","267","4","3","6","5","1","A",,"8","7","32","12","8","217","64","992","114","5","1","2","2","111211","1111111A111111",,"1","1",,"4"
"AMOHK01","2016-09-14T07:00:00","24.10","36.80",,,"1","4","0","0",,,,"1",,,,,,,,,"10065",,,"0","304",,,"265",,,,,,"A",,,,,,,,,"217","46","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-14T08:00:00","24.00","36.90",,,"1","4","0","0",,,,"1",,,,,,,,,"10063",,,"0","302",,,"262",,,,,,"A",,,,,,,,,"217","46","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"VRNF7","2016-09-14T08:00:00","21.00","38.20",,,"1","4","0","0","4","0",,"1","0","340","3","62",,"98","2","0","10046",,,"0","310","0","300","297","0","300","1","1","6","2","A","A",,"10","3",,,,"217","18","992","114","5","1","2","2","111111","111111111111AA",,"1","0",,"4"
"AMOHK01","2016-09-14T09:00:00","23.80","37.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10060",,,"0","306",,,"264",,,,,,"A",,,,,,,,,"217","37","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"TBWUK78","2016-09-14T09:00:00","20.30","38.60",,,"1","4","0","0","3","3",,"1","0","350","3","36",,"97","2","2","10069","0","1","0","320","0","280","265",,"320",,,"2","A","A","A",,,,,,,"217","8","992","114","5","1","2","2","111111","11111111118AA1",,"1","2",,"4"
"AMOHK01","2016-09-14T10:00:00","23.70","37.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10059",,,"0","301",,,"262",,,,,,"A",,,,,,,,,"217","37","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-14T11:00:00","23.50","37.20",,,"1","4","0","0",,,,"1",,,,,,,,,"10053",,,"0","307",,,"265",,,,,,"A",,,,,,,,,"217","37","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-14T12:00:00","23.40","37.30",,,"1","4","0","0",,,,"1",,,,,,,,,"10046",,,"0","304",,,"268",,,,,,"A",,,,,,,,,"217","37","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"TBWUK71","2016-09-14T12:00:00","29.00","32.80",,,"1","4","0","0","7","3",,"1","0","340","3","129",,"98","1","0","10060","0","10","0","340","0","300","286",,,"2","2","1","5","0","5",,"5","2","32","10","2","217","92","992","114","5","1","2","2","751211","11111111161111",,"1","0",,"4"
"VRME6","2016-09-14T12:00:00","23.30","37.30",,,"1","4","0","0","3","2",,"1","0","340","4","87",,"97",,"2","10040","6","10","0","300","0","260","243","3","310","7","6","7","4","1","0",,"4","4","34","4","4","217","37","992","114","5","1","2","2","111111","111A1111111111",,"1","2",,"4"
"VRNF7","2016-09-14T12:00:00","20.90","38.20",,,"1","4","0","0","0","0",,"1","0","340","3","51",,"97","2","2","10026","0","0","0","370","0","290","260","0","320","4","4","5","6","5","5",,"10","1",,,,"217","8","992","114","5","1","2","2","151111","111111111111A1",,"1","2",,"4"
"AMOHK01","2016-09-14T13:00:00","23.20","37.40",,,"1","4","0","0",,,,"1",,,,,,,,,"10046",,,"0","306",,,"272",,,,,,"A",,,,,,,,,"217","37","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-14T14:00:00","23.10","37.60",,,"1","4","0","0",,,,"1",,,,,,,,,"10047",,,"0","309",,,"265",,,,,,"A",,,,,,,,,"217","37","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-14T15:00:00","23.00","37.70",,,"1","4","0","0",,,,"1",,,,,,,,,"10049",,,"0","303",,,"268",,,,,,"A",,,,,,,,,"217","37","992","114","5","0",,"2","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-14T16:00:00","22.90","37.80",,,"1","4","0","0",,,,"1",,,,,,,,,"10049",,,"0","295",,,"272",,,,,,"A",,,,,,,,,"217","27","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"AMOHK01","2016-09-14T17:00:00","22.70","37.90",,,"1","4","0","0",,,,"1",,,,,,,,,"10057",,,"0","292",,,"273",,,,,,"A",,,,,,,,,"217","27","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
"VRNF7","2016-09-14T17:00:00","20.90","38.20",,,"1","4","0","0","0","0",,"1","0","30","3","51",,"98","0","0","10026",,,"0","320","0","300","293","0","310","1","1","0","9","0","7",,,"0",,,,"217","8","992","114","5","1","2","1","111111","111111111113AA",,"1","0",,"4"
"AMOHK01","2016-09-14T18:00:00","22.60","38.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10065",,,"0","293",,,"270",,,,,,"A",,,,,,,,,"217","28","992","114","5","0",,"1","F1FF11","1AAAA11A1A8AAA",,"6",,,"4"
