"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","IND_FOR_PRECIP"
"MHMZ8","2016-09-22T07:00:00","20.10","109.70",,,"1","4","0","0","6","3","1","1","0","80","4","72",,"97","5","2","10104","6","21","0","290","0","250","235","1","289","8",,"5","5","A","A","3","2","0","224","9","992","114","5","1","2","2","111111","11111111111131",,"1","2","0","4"
"9V9062","2016-09-30T09:00:00","20.40","108.00",,,"1","5","2","5","8","3",,"1",,"50","4","98","1","97",,"1","10085","4","0","8","290",,"280","276",,,"7","6","6","A","7","9","2","4",,"224","8","798","172","5","1","2","2","F11111","111A11111A11A1","5",,"1",,
"9V9062","2016-09-30T10:00:00","20.60","108.00",,,"1","5","2","5","8","3",,"1",,"50","4","103","1","97",,"1","10085","4","0","8","280",,"270","266",,,"7","6","7","A","7","0","2","5",,"224","8","798","172","5","1","2","2","F11111","111A11111A11A1","5",,"1",,
