"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER"
"IDDEU04","2016-09-06T22:00:00","19.10","-16.70",,,"1","4","0","0",,,,"1",,,,,,,,,"10140",,,,,,,,,,,,,"A",,,,,,,,"284","96","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T23:00:00","19.30","-16.90",,,"1","4","0","0",,,,"1",,,,,,,,,"10141",,,,,,,,,,,,,"A",,,,,,,,"284","96","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"VRLA5","2016-09-06T23:00:00","14.40","-17.70",,,"1","4","0","0","8","3","1","1","0","350","4","46",,"98","3","2","10153","0","0","0","285","0","260","250","1","302","7","7","8","3","7","A","6","1","19","6","4","284","47","992","114","5","1","2","1","111111","11111111111111",,"1","2",,,,,,,,,"4",,
"IDDEU04","2016-09-07T00:00:00","19.50","-17.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10141",,,,,,,,,,,,,"A",,,,,,,,"284","97","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"ZDNC4","2016-09-07T00:00:00","11.00","-17.10",,,"1","4","0","0","4","3",,"1","0","150","4","57",,"98","61","6","10146","0",,"0","270","0","250","241","1","290",,,,"A",,,"12","4",,,,"284","17","992","114","5","1","2","1","111111","111111111181A7",,"1","6",,,,,,,,,"4",,
"IDDEU04","2016-09-07T01:00:00","19.70","-17.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10135",,,,,,,,,,,,,"A",,,,,,,,"284","97","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-07T02:00:00","19.90","-17.30",,,"1","4","0","0",,,,"1",,,,,,,,,"10135",,,,,,,,,,,,,"A",,,,,,,,"284","97","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"VRLA5","2016-09-07T07:00:00","16.30","-17.70",,,"1","4","0","0","8","3","1","1","0","30","4","41",,"97","1","1","10153",,,"0","280","0","255","244","1","304","4","3","6","3","7","5","2","2","31","5","3","284","67","992","114","5","1","2","1","111111","1111111111111A",,"1","1",,,,,,,,,"4",,
"A8ME6","2016-09-07T12:00:00","19.00","-17.70",,,"1","4","0","0","4","4",,"1","0","40","4","77",,"96","5","2","10160","3","20","0","270","0","225","206","3","270","7","6","6","2","7","6","8","3",,,,"284","97","992","114","5","1","2","2","111111","111111111111A1",,"1","2",,,,,,,,,"4",,
"DBBH","2016-09-07T12:00:00","10.00","-20.00",,,"1","4","0","0","7","2","1","1","0","230","1","50",,"98","15","8","10142","1","9","0","275",,,"240","3","281","6","2","3","4","3","2","2","1","20","10","3","283","0","992","114","5","1","2","2","111111","1111111A111111",,"1","2",,,,,,,,,"1","990","1"
"BAREU65","2016-09-07T13:00:00","19.90","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10161","2","6",,,,,,,,,,,"A",,,,,,,,"284","98","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"DBBH","2016-09-07T13:00:00","10.00","-20.00",,,"1","4","0","0","7","2","1","1","0","220","1","70",,,,,"10139","8","1","0","271",,,"238","3","283",,,,"A",,,,,,,,"283","0","992","114","5","1","2","2","111111","11AAA11A118AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-07T14:00:00","19.80","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10147","7","16",,,,,,,,,,,"A",,,,,,,,"284","98","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"DBBH","2016-09-07T14:00:00","10.10","-20.00",,,"1","4","0","0","8","1","1","1","0","290","1","40",,,,,"10138","8","4","0","238",,,"230","3","282",,,,"A",,,,,,,,"283","0","992","114","5","1","2","2","111111","11AAA11A118AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-07T15:00:00","19.60","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10142","7","22",,,,,,,,,,,"A",,,,,,,,"284","98","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"DBBH","2016-09-07T15:00:00","10.30","-20.00",,,"1","4","0","0","8","2","1","1","0","200","1","60",,"96","82","8","10130","8","12","0","242",,,"239","3","284","8","7","9","3","A","A","2","1","20","10","3","283","0","992","114","5","1","2","2","111113","1111111A111111",,"1","2",,,,,,,,,"4",,
"BAREU65","2016-09-07T16:00:00","19.40","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10136","7","25",,,,,,,,,,,"A",,,,,,,,"284","98","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"DBBH","2016-09-07T16:00:00","10.50","-20.00",,,"1","4","0","0","8","2","1","1","0","180","1","60",,,,,"10128","8","11","0","259",,,"242","3","284",,,,"A",,,,,,,,"283","0","992","114","5","1","2","2","111111","11AAA11A118AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-07T17:00:00","19.20","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10134","7","13",,,,,,,,,,,"A",,,,,,,,"284","98","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"DBBH","2016-09-07T17:00:00","10.70","-20.00",,,"1","4","0","0","0","3","1","1","0","210","1","80",,,,,"10127","6","11","0","262",,,"241","3","289",,,,"A",,,,,,,,"283","0","992","114","5","1","2","2","111111","11AAA11A118AA1",,"6",,,,,,,,,,"4",,
"A8ME6","2016-09-07T18:00:00","17.40","-17.70",,,"1","4","0","0","4","4",,"1","0","340","4","36",,"96","5","2","10160","3","10","0","270","0","265","263","3","290","7","6","6","A","7","6","6","3",,,,"284","77","992","114","5","1","2","2","111111","111111111111A1",,"1","2",,,,,,,,,"4",,
"BAREU65","2016-09-07T18:00:00","19.00","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10134","7","8",,,,,,,,,,,"A",,,,,,,,"284","98","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"DBBH","2016-09-07T18:00:00","10.90","-20.00",,,"1","4","0","0","0","3","1","1","0","210","1","90",,"98","15","8","10126","6","4","0","263",,,"240","3","287","8","5","3","4","3","2","2","1","18","12","2","283","0","992","114","5","1","2","2","111111","1111111A111111",,"1","2","34","10","2",,,,,,"1","19","2"
"DDID2","2016-09-07T18:00:00","19.50","-19.80",,,"1","4","0","0","5","3",,"1","0","360","3","41",,"97","2","2","10142","7","3","0","276",,,"216","1","250","8","8","7","3","A","A",,,"18","7","3","284","99","992","114","5","1","2","2","111111","1111111A111A11",,"1","2",,,,,,,,,"4",,
"BAREU65","2016-09-07T19:00:00","18.80","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10142","2","7",,,,,,,,,,,"A",,,,,,,,"284","88","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"DBBH","2016-09-07T19:00:00","11.00","-20.00",,,"1","4","0","0","0","2","1","1","0","210","1","70",,,,,"10132","3","4","0","261",,,"238","3","282",,,,"A",,,,,,,,"283","10","992","114","5","1","2","2","111111","11AAA11A118AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-07T20:00:00","18.60","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10142","2","8",,,,,,,,,,,"A",,,,,,,,"284","88","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"DBBH","2016-09-07T20:00:00","11.00","-20.00",,,"1","4","0","0","8","2","1","1","0","210","1","70",,,,,"10134","3","7","0","262",,,"238","3","284",,,,"A",,,,,,,,"283","10","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,,,,,,"4",,
"TBWUK59","2016-09-07T20:00:00","10.30","-17.40",,,"1","4","0","0","3","4",,"1","0","220","4","129",,"97","3",,"10134","2",,"0","264","0","244","235","1","281","8","8","8","5","2","A",,,,,,"284","7","992","114","5","1","2","1","111311","1111A111111AA7",,"1",,,,,,,,,,"4",,
"BAREU65","2016-09-07T21:00:00","18.40","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10137","2","2",,,,,,,,,,,"A",,,,,,,,"284","88","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"VRLA5","2016-09-07T21:00:00","19.50","-17.50",,,"1","4","0","0","8","3","1","1","0","360","4","103",,"97","2","0","10153","0","0","0","250","0","230","220","1","267",,,,"A",,,"10","4","36","6","3","284","97","992","114","5","1","2","1","111111","11111111118111",,"1","0",,,,,,,,,"4",,
"BAREU65","2016-09-07T22:00:00","18.20","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10142","4","0",,,,,,,,,,,"A",,,,,,,,"284","88","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-07T23:00:00","18.00","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10148","2","5",,,,,,,,,,,"A",,,,,,,,"284","88","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"A8ME6","2016-09-08T00:00:00","15.80","-17.70",,,"1","4","0","0","4","4",,"1","0","230","4","36",,"96","5","1","10145","3","10","0","285","0","250","237","3","290",,,,"A",,,"8","3",,,,"284","57","992","114","5","1","2","1","111111","111111111181A1",,"1","1",,,,,,,,,"4",,
"BAREU65","2016-09-08T00:00:00","17.80","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10153","2","17",,,,,,,,,,,"A",,,,,,,,"284","78","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T01:00:00","17.70","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10148","2","6",,,,,,,,,,,"A",,,,,,,,"284","78","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T02:00:00","17.50","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10147","7","1",,,,,,,,,,,"A",,,,,,,,"284","78","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T03:00:00","17.30","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10143","7","11",,,,,,,,,,,"A",,,,,,,,"284","78","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T04:00:00","17.10","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10142","7","6",,,,,,,,,,,"A",,,,,,,,"284","78","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T05:00:00","16.90","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10141","7","6",,,,,,,,,,,"A",,,,,,,,"284","68","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T06:00:00","16.70","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10141","7","2",,,,,,,,,,,"A",,,,,,,,"284","68","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T07:00:00","16.60","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10143","2","1",,,,,,,,,,,"A",,,,,,,,"284","68","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T08:00:00","16.40","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10144","2","3",,,,,,,,,,,"A",,,,,,,,"284","68","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T09:00:00","16.20","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10150","2","10",,,,,,,,,,,"A",,,,,,,,"284","68","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"9V8843","2016-09-08T10:00:00","12.10","-18.00",,,"1","4","0","0","8","2",,"1","0","210","3","51",,"98",,"5","10120","1","10","3","250","0","230","220","1","290","7","7","4","4","7","8","3","1","18","8","4","284","28","992","114","5","1","2","2","111111","111A1111111111",,"1","2","23","4","1",,,,,,"4",,
"BAREU65","2016-09-08T10:00:00","16.00","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10154","2","11",,,,,,,,,,,"A",,,,,,,,"284","68","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T11:00:00","15.80","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10152","2","8",,,,,,,,,,,"A",,,,,,,,"284","58","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"A8ME6","2016-09-08T12:00:00","12.70","-17.70",,,"1","4","0","0","4","4",,"1","0","200","4","57",,"98","2","2","10140","4","0","0","275","0","240","226","3","280","3","3","1","5","6","1","12","4",,,,"284","27","992","114","5","1","2","2","111111","111111111111A1",,"1","2",,,,,,,,,"4",,
"BAREU65","2016-09-08T12:00:00","15.60","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10149","7","2",,,,,,,,,,,"A",,,,,,,,"284","58","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T13:00:00","15.50","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10144","7","9",,,,,,,,,,,"A",,,,,,,,"284","58","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T14:00:00","15.30","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10136","7","16",,,,,,,,,,,"A",,,,,,,,"284","58","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T15:00:00","15.10","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10131","7","17",,,,,,,,,,,"A",,,,,,,,"284","58","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T16:00:00","14.90","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10132","7","13",,,,,,,,,,,"A",,,,,,,,"284","48","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T17:00:00","14.70","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10129","7","7",,,,,,,,,,,"A",,,,,,,,"284","48","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T18:00:00","14.60","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10127","7","4",,,,,,,,,,,"A",,,,,,,,"284","48","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T19:00:00","14.40","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10129","7","3",,,,,,,,,,,"A",,,,,,,,"284","48","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T20:00:00","14.20","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10134","2","4",,,,,,,,,,,"A",,,,,,,,"284","48","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T21:00:00","14.00","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10139","2","12",,,,,,,,,,,"A",,,,,,,,"284","48","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T22:00:00","13.80","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10149","2","21",,,,,,,,,,,"A",,,,,,,,"284","38","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-08T23:00:00","13.60","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10149","2","16",,,,,,,,,,,"A",,,,,,,,"284","38","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T00:00:00","13.40","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10149","2","10",,,,,,,,,,,"A",,,,,,,,"284","38","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T01:00:00","13.30","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10145","7","5",,,,,,,,,,,"A",,,,,,,,"284","38","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T02:00:00","13.00","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10136","7","13",,,,,,,,,,,"A",,,,,,,,"284","38","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T03:00:00","12.90","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10129","7","20",,,,,,,,,,,"A",,,,,,,,"284","28","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T04:00:00","12.70","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10129","7","16",,,,,,,,,,,"A",,,,,,,,"284","28","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T05:00:00","12.50","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10134","7","3",,,,,,,,,,,"A",,,,,,,,"284","28","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T06:00:00","12.30","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10134","2","5",,,,,,,,,,,"A",,,,,,,,"284","28","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T07:00:00","12.10","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10135","2","6",,,,,,,,,,,"A",,,,,,,,"284","28","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T08:00:00","11.90","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10139","2","5",,,,,,,,,,,"A",,,,,,,,"284","18","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T09:00:00","11.70","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10143","2","9",,,,,,,,,,,"A",,,,,,,,"284","18","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"9V8843","2016-09-09T10:00:00","16.60","-18.30",,,"1","4","0","0","8","2",,"1","0","290","3","41",,"97",,"1","10120","1","20","3","270","0","250","240","1","300","5","1","4","4","6","8","2","1","34","8","4","284","68","992","114","5","1","2","2","311111","111A1111111111",,"1","1","29","5","2",,,,,,"4",,
"BAREU65","2016-09-09T10:00:00","11.50","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10147","2","12",,,,,,,,,,,"A",,,,,,,,"284","18","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T11:00:00","11.30","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10146","2","7",,,,,,,,,,,"A",,,,,,,,"284","18","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T12:00:00","11.10","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10146","2","3",,,,,,,,,,,"A",,,,,,,,"284","18","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T13:00:00","10.90","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10141","7","6",,,,,,,,,,,"A",,,,,,,,"284","8","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T14:00:00","10.70","-18.20",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10135","7","11",,,,,,,,,,,"A",,,,,,,,"284","8","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T15:00:00","10.60","-18.10",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10125","7","21",,,,,,,,,,,"A",,,,,,,,"284","8","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T16:00:00","10.40","-18.00",,,"1","4","0","0","4","2",,"1",,,,,,,,,"10128","7","13",,,,,,,,,,,"A",,,,,,,,"284","8","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T17:00:00","10.30","-17.90",,,"1","4","0","0","3","2",,"1",,,,,,,,,"10125","7","10",,,,,,,,,,,"A",,,,,,,,"284","7","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T18:00:00","10.20","-17.70",,,"1","4","0","0","3","2",,"1",,,,,,,,,"10132","2","7",,,,,,,,,,,"A",,,,,,,,"284","7","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T19:00:00","10.10","-17.60",,,"1","4","0","0","3","2",,"1",,,,,,,,,"10135","2","7",,,,,,,,,,,"A",,,,,,,,"284","7","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"BAREU65","2016-09-09T20:00:00","10.00","-17.40",,,"1","4","0","0","3","2",,"1",,,,,,,,,"10139","2","14",,,,,,,,,,,"A",,,,,,,,"284","7","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"6",,,,,,,,,,"4",,
"ASES01","2016-09-10T00:00:00","19.40","-17.00",,,"1","4","0","0","3","2",,"1","0","290","4","57",,,,,"10139","0","12","0","227",,,"226",,,,,,"A",,,,,,,,"284","97","992","114","5","1","2","1","F13113","11AAA11A1A8AA1",,"6",,,,,,,,,,"4",,
"CQEW","2016-09-10T00:00:00","19.30","-17.70",,,"1","4","0","0","4","3",,"1","0","50","3","57",,"98","2","0","10140","2","20","0","220","0","200","190","3","210","2",,"1","4","A","A",,"2",,,,"284","97","992","114","5","1","2","1","211111","111111111113A1",,"1","0",,,,,,,,,"4",,
"CQEW","2016-09-10T06:00:00","18.00","-17.70",,,"1","4","0","0","4","3",,"1","0","220","3","31",,"97","2","0","10140","4","0","0","250","0","235","229",,,"0","0","0","9","0","0","5","1",,,,"284","87","992","114","5","1","2","1","F11111","111111111A11A1",,"1","0",,,,,,,,,"4",,
"TBWUK33","2016-09-10T11:00:00","10.80","-18.30",,,"1","4","0","0","8","4",,"1","0","250","4","26",,"98","1","1","10146","1","20","0","274","0","245","232","3","270","3",,"4","6","4","4","5","0","25","6","4","284","8","992","114","5","1","2","2","111111","11111111111111",,"1","1",,,,,,,,,"4",,
"ASES01","2016-09-10T12:00:00","19.00","-16.70",,,"1","4","0","0","3","1",,"1","0","290","4","41",,,,,"10149","0","2","0","259",,,"247",,,,,,"A",,,,,,,,"284","96","992","114","5","1","2","2","F11111","11AAA11A1A8AA1",,"6",,,,,,,,,,"4",,
"CQEW","2016-09-10T12:00:00","16.60","-17.60",,,"1","4","0","0","4","3",,"1","0","300","3","15",,"98","2","0",,"4","0","0","270",,,,,,"1","0","0","9","0","5","2","1","0",,,"284","67","992","114","5","1","2","2","F111FF","11111A1AAA1131",,"1","0","0",,,,,,,,"4",,
"CQEW","2016-09-10T18:00:00","15.10","-17.60",,,"1","4","0","0","4","3",,"1","0","20","3","31",,"97","2","0","10120","6","10","0","310","0","295","291",,,"3","3","1","3","4","5","4","1",,,,"284","57","992","114","5","1","2","2","F31111","111111111A11A1",,"1","0",,,,,,,,,"4",,
"ASES01","2016-09-11T06:00:00","18.80","-16.60",,,"1","4","0","0","9","0",,"1","0","260","4","21",,,,,"10135","3","3","0","269",,,"243",,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","1","F11111","11AAA11A1A8AA1",,"6",,,,,,,,,,"4",,
"CQEW","2016-09-11T06:00:00","12.40","-17.60",,,"1","4","0","0","4","3",,"1","0","250","3","31",,"97","58","5","10120","4","0","0","270","0","255","250",,,,,,"A",,,"0","0",,,,"284","27","992","114","5","1","2","1","F11111","111111111A81A1",,"1","5",,,,,,,,,"4",,
"TBWUK33","2016-09-11T11:00:00","17.70","-18.30",,,"1","4","0","0","8","4",,"1","0","280","4","31",,"98","1","5","10149","4","0","0","255","0","254","254","3","270","4",,"1","0","4","4","4","1","28","6","2","284","78","992","114","5","1","2","2","111113","11111111111111",,"1","1",,,,,,,,,"4",,
