"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER"
"TBWUK54","2016-09-04T11:00:00","14.70","-18.10",,,"1","4","0","0","4","3",,"1","0","350","4","93",,"98","3","2","10157","3","10","0","281","0","250","236",,,"6","2","1","4","6","9","2","4","38","3","2","284","48","992","114","5","1","2","2","F11111","111111111A1111",,"1","2",,,,,,,,,"4",,
"TBWUK54","2016-09-04T19:00:00","13.30","-18.10",,,"1","4","0","0","4","3",,"1","0","330","4","77",,"98","2","2","10123","6","10","0","280","0","255","244",,,"7","7","1","4","6","0",,,"1","7","8","284","38","992","114","5","1","2","2","F11111","111111111A1A11",,"1","2",,,,,,,,,"4",,
"ZDNC4","2016-09-04T19:00:00","19.30","-17.70",,,"1","4","0","0","4","3",,"1","0","350","4","118",,"98","2","2","10130","7",,"0","280","0","240","224","1","280","2","2","0","8","7","A","4","4","34","16","3","284","97","992","114","5","1","2","2","111111","11111111111117",,"1","2",,,,,,,,,"4",,
"TBWUK54","2016-09-04T23:00:00","12.70","-18.10",,,"1","4","0","0","4","3",,"1","0","330","4","67",,"98","3","2","10135","2","20","0","278","0","258","250",,,"6","2","7","3","7","8","2","2",,,,"284","28","992","114","5","1","2","1","F11111","111111111A11A1",,"1","2",,,,,,,,,"4",,
"ZDNC4","2016-09-05T00:00:00","18.10","-17.60",,,"1","4","0","0","4","3",,"1","0","360","4","108",,"97","2","2","10136","0",,"0","280","0","250","239","1","290",,,,"A",,,"4","3","34","12","3","284","87","992","114","5","1","2","1","111111","11111111118117",,"1","2",,,,,,,,,"4",,
"IDDEU04","2016-09-05T03:00:00","19.80","-17.30",,,"1","4","0","0",,,,"1",,,,,,,,,"10122",,,,,,,,,,,,,"A",,,,,,,,"284","97","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T04:00:00","19.60","-17.20",,,"1","4","0","0",,,,"1",,,,,,,,,"10121",,,,,,,,,,,,,"A",,,,,,,,"284","97","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T05:00:00","19.40","-17.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10119",,,,,,,,,,,,,"A",,,,,,,,"284","97","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T06:00:00","19.20","-16.90",,,"1","4","0","0",,,,"1",,,,,,,,,"10116",,,,,,,,,,,,,"A",,,,,,,,"284","96","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"ZDNC4","2016-09-05T06:00:00","16.60","-17.60",,,"1","4","0","0","4","3",,"1","0","350","4","93",,"97","5","2","10110","5","2","0","280","0","270","266","1","290",,,,"A",,,"3","3","29","10","4","284","67","992","114","5","1","2","1","111111","11111111118111",,"1","2",,,,,,,,,"4",,
"IDDEU04","2016-09-05T07:00:00","19.00","-16.70",,,"1","4","0","0",,,,"1",,,,,,,,,"10116",,,,,,,,,,,,,"A",,,,,,,,"284","96","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T08:00:00","18.70","-16.60",,,"1","4","0","0",,,,"1",,,,,,,,,"10115",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T09:00:00","18.50","-16.40",,,"1","4","0","0",,,,"1",,,,,,,,,"10116",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T10:00:00","18.30","-16.30",,,"1","4","0","0",,,,"1",,,,,,,,,"10117",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T11:00:00","18.10","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10113",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"TBWUK54","2016-09-05T11:00:00","10.50","-18.10",,,"1","4","0","0","4","2",,"1","0","30","4","26",,"98","3","0","10143","2","20","0","312","0","272","256",,,"3","2","4","4","7","7",,,"36","3","4","284","8","992","114","5","1","2","2","F31111","111111111A1A11",,"1","0",,,,,,,,,"4",,
"IDDEU04","2016-09-05T12:00:00","18.00","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10109",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"ZDNC4","2016-09-05T12:00:00","15.30","-17.60",,,"1","4","0","0","4","3",,"1","0","250","4","15",,"97","5","2","10125","0",,"0","290","0","280","276","1","300",,,,"A",,,"3","1","31","14","3","284","57","992","114","5","1","2","2","111111","11111111118117",,"1","2",,,,,,,,,"4",,
"IDDEU04","2016-09-05T13:00:00","18.00","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10102",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T14:00:00","18.00","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10090",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T15:00:00","18.00","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10082",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T16:00:00","18.00","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10077",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T17:00:00","18.00","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10076",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T18:00:00","18.00","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10075",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T19:00:00","18.00","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10077",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T20:00:00","18.00","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10082",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T21:00:00","18.00","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10091",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T22:00:00","18.00","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10103",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-05T23:00:00","18.00","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10108",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T00:00:00","18.00","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10107",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
