"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"4101703","2017-09-01T02:00:00","25.64","-57.65",,,"1","4","2","5",,,,"11",,,,,,,,,"10182",,,"8",,,,,"9","291",,,,,,,,,,,,,"244","57","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4101713","2017-09-01T02:00:00","28.58","-57.53",,,"1","4","2","5",,,,"11",,,,,,,,,"10169",,,"8",,,,,"9","291",,,,,,,,,,,,,"244","87","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4101741","2017-09-01T02:00:00","23.63","-58.48",,,"1","4","2","5",,,,"11",,,,,,,,,"10185",,,"8",,,,,"9","291",,,,,,,,,,,,,"244","38","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4300577","2017-09-01T02:00:00","21.69","-53.95",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","283",,,,,,,,,,,,,"244","13","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"4400768","2017-09-01T02:00:00","26.74","-55.84",,,"1","4","2","5",,,,"11",,,,,,,,,"10179",,,"8",,,,,"9","287",,,,,,,,,,,,,"244","65","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4400848","2017-09-01T02:00:00","28.60","-59.49",,,"1","4","2","5",,,,"11",,,,,,,,,"10168",,,"8",,,,,"9","293",,,,,,,,,,,,,"244","89","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"1300528","2017-09-01T02:10:00","25.92","-57.99",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244","57","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,
"4100044","2017-09-01T02:10:00","21.60","-58.60",,,"1","4","2","5",,,,"11",,"70","1","60",,,,,"10179",,,"8","283",,,"233",,,,,,,,,,,,,,,"244","18","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,,,,,
"4100954","2017-09-01T02:10:00","22.20","-52.55",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244","22","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,
"4100954","2017-09-01T02:14:00","22.20","-52.56",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244","22","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,
