"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"BATFR17","2017-09-01T00:00:00","24.70","-36.80",,,"1","6","2","5","5","4",,"1",,"80",,"100",,,,,"10207","1","12","8","256",,,"218","1","266",,,,,,,,,,,,,"246","46","798","172","5","1","2","1","111111","11AAA11A11AAA1",,"5",,,,,,,,,,
"1300603","2017-09-01T00:33:00","25.84","-31.75",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"246","51","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1300603","2017-09-01T00:39:00","25.85","-31.74",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"246","51","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4400521","2017-09-01T00:40:00","29.36","-31.97",,,"1","3","2","5",,,,"11",,,,,,,,,"10234",,,"0",,,,,,"259",,,,,,,,,,,,,"246","91","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"1301522","2017-09-01T00:56:00","21.51","-36.18",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"246","16","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1301525","2017-09-01T00:56:00","20.90","-39.74",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"246","9","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1300597","2017-09-01T01:00:00","21.56","-37.77",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","265",,,,,,,,,,,,,"246","17","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1501531","2017-09-01T01:00:00","20.76","-34.44",,,"1","4","2","5",,,,"11",,,,,,,,,"10152",,,"8",,,,,"9","264",,,,,,,,,,,,,"246","4","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"1501534","2017-09-01T01:00:00","24.32","-31.41",,,"1","4","2","5",,,,"11",,,,,,,,,"10201",,,"8",,,,,"9","256",,,,,,,,,,,,,"246","41","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4100139","2017-09-01T01:00:00","20.02","-37.85",,,"1","5","2","5",,,,"11","5","46",,"107",,,,,"10143",,,"8","268",,,,"9","269",,,,,,,,,,,,,"246","7","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,
"4400517","2017-09-01T01:00:00","25.86","-34.67",,,"1","4","2","5",,,,"11",,,,,,,,,"10214",,,"8",,,,,"9","260",,,,,,,,,,,,,"246","54","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4400745","2017-09-01T01:00:00","28.00","-32.80",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"246","82","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4400874","2017-09-01T01:00:00","29.72","-39.11",,,"1","4","2","5",,,,"11",,,,,,,,,"10232",,,"8",,,,,"9","273",,,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6200940","2017-09-01T01:00:00","28.15","-33.42",,,"1","4","2","5",,,,"11",,,,,,,,,"10231",,,"8",,,,,"9","260",,,,,,,,,,,,,"246","83","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6203503","2017-09-01T01:00:00","26.72","-32.59",,,"1","4","2","5",,,,"11",,,,,,,,,"10218",,,"8",,,,,"9","255",,,,,,,,,,,,,"246","62","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6203504","2017-09-01T01:00:00","27.05","-38.68",,,"1","4","2","5",,,,"11",,,,,,,,,"10219",,,"8",,,,,"9","265",,,,,,,,,,,,,"246","78","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"BATFR17","2017-09-01T01:00:00","24.50","-37.00",,,"1","6","2","5","5","4",,"1",,"80",,"100",,,,,"10204","0","3","8","256",,,"220","1","267",,,,,,,,,,,,,"246","47","798","172","5","1","2","1","111111","11AAA11A11AAA1",,"5",,,,,,,,,,
"1301506","2017-09-01T01:04:00","21.90","-31.51",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"246","11","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4400521","2017-09-01T01:40:00","29.36","-31.97",,,"1","3","2","5",,,,"11",,,,,,,,,"10234",,,"0",,,,,,"259",,,,,,,,,,,,,"246","91","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"1301522","2017-09-01T01:55:00","21.50","-36.19",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"246","16","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1301525","2017-09-01T01:56:00","20.89","-39.79",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"246","9","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1300597","2017-09-01T02:00:00","21.56","-37.77",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","265",,,,,,,,,,,,,"246","17","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1501531","2017-09-01T02:00:00","20.76","-34.45",,,"1","4","2","5",,,,"11",,,,,,,,,"10147",,,"8",,,,,"9","264",,,,,,,,,,,,,"246","4","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"1501534","2017-09-01T02:00:00","24.32","-31.42",,,"1","4","2","5",,,,"11",,,,,,,,,"10199",,,"8",,,,,"9","255",,,,,,,,,,,,,"246","41","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4100139","2017-09-01T02:00:00","20.03","-37.85",,,"1","5","2","5",,,,"11","5","51",,"104",,,,,"10139",,,"8","267",,,,"9","269",,,,,,,,,,,,,"246","7","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,
"4400517","2017-09-01T02:00:00","25.87","-34.67",,,"1","4","2","5",,,,"11",,,,,,,,,"10214",,,"8",,,,,"9","260",,,,,,,,,,,,,"246","54","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4400745","2017-09-01T02:00:00","28.00","-32.80",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"246","82","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4400874","2017-09-01T02:00:00","29.71","-39.11",,,"1","4","2","5",,,,"11",,,,,,,,,"10234",,,"8",,,,,"9","273",,,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6200940","2017-09-01T02:00:00","28.16","-33.42",,,"1","4","2","5",,,,"11",,,,,,,,,"10227",,,"8",,,,,"9","260",,,,,,,,,,,,,"246","83","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6203503","2017-09-01T02:00:00","26.71","-32.67",,,"1","4","2","5",,,,"11",,,,,,,,,"10213",,,"8",,,,,"9","255",,,,,,,,,,,,,"246","62","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6203504","2017-09-01T02:00:00","27.05","-38.68",,,"1","4","2","5",,,,"11",,,,,,,,,"10219",,,"8",,,,,"9","264",,,,,,,,,,,,,"246","78","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"BATFR17","2017-09-01T02:00:00","24.30","-37.20",,,"1","6","2","5","5","4",,"1",,"70",,"105",,,,,"10198","8","8","8","257",,,"220","1","267",,,,,,,,,,,,,"246","47","798","172","5","1","2","1","111111","11AAA11A11AAA1",,"5",,,,,,,,,,
"1301506","2017-09-01T02:02:00","21.89","-31.52",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"246","11","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4400521","2017-09-01T02:40:00","29.36","-31.97",,,"1","3","2","5",,,,"11",,,,,,,,,"10230",,,"0",,,,,,"259",,,,,,,,,,,,,"246","91","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"1301525","2017-09-01T02:55:00","20.90","-39.77",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"246","9","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1301522","2017-09-01T02:56:00","21.50","-36.21",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"246","16","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1300597","2017-09-01T03:00:00","21.56","-37.77",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","265",,,,,,,,,,,,,"246","17","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1301506","2017-09-01T03:00:00","21.93","-31.51",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"246","11","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1501531","2017-09-01T03:00:00","20.76","-34.45",,,"1","4","2","5",,,,"11",,,,,,,,,"10142",,,"8",,,,,"9","264",,,,,,,,,,,,,"246","4","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"1501534","2017-09-01T03:00:00","24.32","-31.43",,,"1","4","2","5",,,,"11",,,,,,,,,"10197",,,"8",,,,,"9","255",,,,,,,,,,,,,"246","41","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4100139","2017-09-01T03:00:00","20.03","-37.85",,,"1","5","2","5",,,,"11",,"50",,"96",,,,,"10133",,,"8","267",,,,"9","269",,,,,,,,,,,,,"246","7","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,
"4400517","2017-09-01T03:00:00","25.87","-34.67",,,"1","4","2","5",,,,"11",,,,,,,,,"10209",,,"8",,,,,"9","260",,,,,,,,,,,,,"246","54","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4400745","2017-09-01T03:00:00","28.00","-32.80",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"246","82","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4400874","2017-09-01T03:00:00","29.71","-39.11",,,"1","4","2","5",,,,"11",,,,,,,,,"10230",,,"8",,,,,"9","273",,,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6200940","2017-09-01T03:00:00","28.16","-33.43",,,"1","4","2","5",,,,"11",,,,,,,,,"10223",,,"8",,,,,"9","260",,,,,,,,,,,,,"246","83","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6203503","2017-09-01T03:00:00","26.71","-32.67",,,"1","4","2","5",,,,"11",,,,,,,,,"10212",,,"8",,,,,"9","255",,,,,,,,,,,,,"246","62","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6203504","2017-09-01T03:00:00","27.06","-38.68",,,"1","4","2","5",,,,"11",,,,,,,,,"10214",,,"8",,,,,"9","264",,,,,,,,,,,,,"246","78","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"BATFR17","2017-09-01T03:00:00","24.10","-37.30",,,"1","6","2","5","5","4",,"1",,"80",,"105",,,,,"10192","8","15","8","258",,,"223","1","268",,,,,,,,,,,,,"246","47","798","172","5","1","2","1","111111","11AAA11A11AAA1",,"5",,,,,,,,,,
"4400521","2017-09-01T03:40:00","29.36","-32.02",,,"1","3","2","5",,,,"11",,,,,,,,,"10226",,,"0",,,,,,"260",,,,,,,,,,,,,"246","92","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"1301522","2017-09-01T03:56:00","21.51","-36.22",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"246","16","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1301525","2017-09-01T03:56:00","20.90","-39.78",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"246","9","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1300597","2017-09-01T04:00:00","21.56","-37.84",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","265",,,,,,,,,,,,,"246","17","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1301506","2017-09-01T04:00:00","21.94","-31.52",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"246","11","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1501531","2017-09-01T04:00:00","20.77","-34.46",,,"1","4","2","5",,,,"11",,,,,,,,,"10136",,,"8",,,,,"9","264",,,,,,,,,,,,,"246","4","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"1501534","2017-09-01T04:00:00","24.32","-31.44",,,"1","4","2","5",,,,"11",,,,,,,,,"10193",,,"8",,,,,"9","255",,,,,,,,,,,,,"246","41","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4100139","2017-09-01T04:00:00","20.03","-37.85",,,"1","5","2","5",,,,"11","5","39",,"94",,,,,"10125",,,"8","268",,,,"9","269",,,,,,,,,,,,,"246","7","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,
"4400517","2017-09-01T04:00:00","25.87","-34.67",,,"1","4","2","5",,,,"11",,,,,,,,,"10204",,,"8",,,,,"9","260",,,,,,,,,,,,,"246","54","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4400745","2017-09-01T04:00:00","28.00","-32.81",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"246","82","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4400874","2017-09-01T04:00:00","29.71","-39.12",,,"1","4","2","5",,,,"11",,,,,,,,,"10225",,,"8",,,,,"9","273",,,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6200940","2017-09-01T04:00:00","28.17","-33.43",,,"1","4","2","5",,,,"11",,,,,,,,,"10222",,,"8",,,,,"9","260",,,,,,,,,,,,,"246","83","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6203503","2017-09-01T04:00:00","26.68","-32.62",,,"1","4","2","5",,,,"11",,,,,,,,,"10209",,,"8",,,,,"9","255",,,,,,,,,,,,,"246","62","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6203504","2017-09-01T04:00:00","27.06","-38.69",,,"1","4","2","5",,,,"11",,,,,,,,,"10211",,,"8",,,,,"9","264",,,,,,,,,,,,,"246","78","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"BATFR17","2017-09-01T04:00:00","24.00","-37.50",,,"1","6","2","5","5","4",,"1",,"70",,"95",,,,,"10185","8","19","8","258",,,"223","1","268",,,,,,,,,,,,,"246","47","798","172","5","1","2","1","111111","11AAA11A11AAA1",,"5",,,,,,,,,,
"1300603","2017-09-01T04:18:00","25.85","-31.74",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","256",,,,,,,,,,,,,"246","51","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1300603","2017-09-01T04:20:00","25.86","-31.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","256",,,,,,,,,,,,,"246","51","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4400521","2017-09-01T04:40:00","29.36","-32.02",,,"1","3","2","5",,,,"11",,,,,,,,,"10225",,,"0",,,,,,"260",,,,,,,,,,,,,"246","92","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"1301522","2017-09-01T04:55:00","21.52","-36.23",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"246","16","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1301525","2017-09-01T04:55:00","20.89","-39.78",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"246","9","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1300597","2017-09-01T05:00:00","21.56","-37.77",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","265",,,,,,,,,,,,,"246","17","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1301506","2017-09-01T05:00:00","21.95","-31.52",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"246","11","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1501531","2017-09-01T05:00:00","20.77","-34.46",,,"1","4","2","5",,,,"11",,,,,,,,,"10135",,,"8",,,,,"9","264",,,,,,,,,,,,,"246","4","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"1501534","2017-09-01T05:00:00","24.32","-31.45",,,"1","4","2","5",,,,"11",,,,,,,,,"10191",,,"8",,,,,"9","255",,,,,,,,,,,,,"246","41","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4100139","2017-09-01T05:00:00","20.03","-37.85",,,"1","5","2","5",,,,"11","5","41",,"88",,,,,"10123",,,"8","264",,,,"9","269",,,,,,,,,,,,,"246","7","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,
"4400517","2017-09-01T05:00:00","25.87","-34.67",,,"1","4","2","5",,,,"11",,,,,,,,,"10204",,,"8",,,,,"9","260",,,,,,,,,,,,,"246","54","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4400745","2017-09-01T05:00:00","28.00","-32.81",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"246","82","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4400874","2017-09-01T05:00:00","29.72","-39.12",,,"1","4","2","5",,,,"11",,,,,,,,,"10224",,,"8",,,,,"9","273",,,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6200940","2017-09-01T05:00:00","28.17","-33.43",,,"1","4","2","5",,,,"11",,,,,,,,,"10221",,,"8",,,,,"9","259",,,,,,,,,,,,,"246","83","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6203503","2017-09-01T05:00:00","26.70","-32.71",,,"1","4","2","5",,,,"11",,,,,,,,,"10208",,,"8",,,,,"9","255",,,,,,,,,,,,,"246","62","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6203504","2017-09-01T05:00:00","27.06","-38.68",,,"1","4","2","5",,,,"11",,,,,,,,,"10209",,,"8",,,,,"9","264",,,,,,,,,,,,,"246","78","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"BATFR17","2017-09-01T05:00:00","23.80","-37.70",,,"1","6","2","5","5","4",,"1",,"70",,"110",,,,,"10180","6","18","8","258",,,"225","1","269",,,,,,,,,,,,,"246","37","798","172","5","1","2","1","111111","11AAA11A11AAA1",,"5",,,,,,,,,,
"4400521","2017-09-01T05:40:00","29.36","-32.02",,,"1","3","2","5",,,,"11",,,,,,,,,"10225",,,"0",,,,,,"259",,,,,,,,,,,,,"246","92","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"1301525","2017-09-01T05:55:00","20.88","-39.78",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"246","9","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1301522","2017-09-01T05:56:00","21.53","-36.23",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"246","16","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1301506","2017-09-01T06:00:00","21.95","-31.52",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"246","11","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1501531","2017-09-01T06:00:00","20.78","-34.47",,,"1","4","2","5",,,,"11",,,,,,,,,"10132",,,"8",,,,,"9","264",,,,,,,,,,,,,"246","4","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
