"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"1300597","2017-09-01T00:00:00","21.56","-37.77",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","265",,,,,,,,,,,,,"246","17","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"1501531","2017-09-01T00:00:00","20.76","-34.44",,,"1","4","2","5",,,,"11",,,,,,,,,"10154",,,"8",,,,,"9","264",,,,,,,,,,,,,"246","4","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"1501534","2017-09-01T00:00:00","24.32","-31.40",,,"1","4","2","5",,,,"11",,,,,,,,,"10202",,,"8",,,,,"9","256",,,,,,,,,,,,,"246","41","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4100139","2017-09-01T00:00:00","20.02","-37.85",,,"1","5","2","5",,,,"11","5","49",,"105",,,,,"10145",,,"8","266",,,,"9","269",,,,,,,,,,,,,"246","7","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,
"4400517","2017-09-01T00:00:00","25.86","-34.67",,,"1","4","2","5",,,,"11",,,,,,,,,"10216",,,"8",,,,,"9","260",,,,,,,,,,,,,"246","54","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4400745","2017-09-01T00:00:00","28.00","-32.79",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"246","82","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4400874","2017-09-01T00:00:00","29.72","-39.10",,,"1","4","2","5",,,,"11",,,,,,,,,"10232",,,"8",,,,,"9","273",,,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6200940","2017-09-01T00:00:00","28.15","-33.41",,,"1","4","2","5",,,,"11",,,,,,,,,"10233",,,"8",,,,,"9","260",,,,,,,,,,,,,"246","83","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6203503","2017-09-01T00:00:00","26.68","-32.62",,,"1","4","2","5",,,,"11",,,,,,,,,"10221",,,"8",,,,,"9","255",,,,,,,,,,,,,"246","62","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"6203504","2017-09-01T00:00:00","27.05","-38.68",,,"1","4","2","5",,,,"11",,,,,,,,,"10220",,,"8",,,,,"9","265",,,,,,,,,,,,,"246","78","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
