"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"DGZR2","2017-09-02T18:00:00","27.10","-117.70",,,"1","6","2","5","3","4",,"1",,"300",,"93","1","97","2","2","10114","3","5","8","235",,,,"1","220","8",,"7","3","A","A","30","6","4","33","8","3","238","77","798","172","5","1","2","2","11111F","1111111AA11111","5",,"2",,,,,,
"LAQQ7","2017-09-02T18:00:00","23.60","-114.90",,,"1","6","2","5","3","3",,"1",,"310","4","62",,,,"2","10150","6","10","8","260",,"240","232","1","254","8","8","6","A","2","A",,"3","2","13","5","3","238","34","798","172","5","1","2","2","111111","11AA1111111111","5",,"2","14","4","3",,,
"OZWA2","2017-09-02T18:00:00","28.70","-120.00",,,"1","4","0","0","3","5",,"1","0","290","4","93",,"97","2","2","10087",,,"0","213","0","194","183","1","190","8","8","0","8","7","A",,"3","2","38","7","2","237","80","992","114","5","1","2","2","113111","1111111111111A",,"1","2",,,,,,"4"
"OZWA2","2017-09-02T21:00:00","28.10","-119.00",,,"1","6","2","5","3","5",,"1",,"310","4","72","1","96","5","2","10088",,,"8","230",,"210","199","1","200","8",,"7","2","A","A",,,,,,,"238","89","798","172","5","1","2","2","111111","11111111111AAA","5",,"2",,,,,,
"V7EG5","2017-09-02T22:00:00","21.30","-111.10",,,"1","6","2","5","3","3",,"1",,"220",,"72","1","97","3","1","10120","8","10","8","280","0","269","265","3","290","5","4","4","4","8","4","22","12","3","22","12","3","238","11","798","172","5","0",,"2","111111","11111111111111","5",,"1",,,,,,
"OZWA2","2017-09-03T03:00:00","26.80","-117.10",,,"1","5","2","5","3","5",,"1",,"270","4","93","1","96","2","2",,,,,,,,,,,,,"A",,"A","A",,,,,,,"238","67","798","172","5","1","2","1","FF31FF","11141AAAAA8AAA","5",,"2",,,,,,
"DGZR2","2017-09-03T06:00:00","24.90","-114.50",,,"1","6","2","5","3","4",,"1",,"260",,"41","1","98","3","1","10146","3","16","8","230",,,,"1","230","6",,"5","4","A","A","26","4","1","32","6","2","238","44","798","172","5","1","2","1","11111F","1111111AA11111","5",,"1",,,,,,
"DGZR2","2017-09-03T15:00:00","23.30","-112.20",,,"1","6","2","5","3","4",,"1",,"360",,"62","1","98","1","2","10149","2","11","8","257",,,"224","1","240","6","2","1","4","6","9","36","8","1","20","15","3","238","32","798","172","5","1","2","2","111111","1111111A111111","5",,"2","30","15","3",,,
"DGZR2","2017-09-03T18:00:00","22.70","-111.40",,,"1","6","2","5","3","4",,"1",,"360",,"77","1","98","3","1","10149","4","0","8","298",,,,"1","260","6","3","4","5","6","A","36","3","2","18","10","4","238","21","798","172","5","1","2","2","11111F","1111111AA11111","5",,"1",,,,,,
"VRNF3","2017-09-03T19:00:00","26.80","-114.90",,,"1","6","2","5","3","3",,"1",,"230","4","51","1","98",,"2","10168",,,"8","260",,"250","246","1","240","4","4","6","2","4","7",,"3","1","22","10","3","238","64","798","172","5","1","2","2","111111","111A111111111A","5",,"2",,,,,,
"A8MW6","2017-09-04T12:00:00","23.20","-111.80",,,"1","6","2","5","7","4",,"1",,"320","4","77","1","98","1","1","10130","6","20","8","257",,"238","229","3","310","2","0","0","9","0","5",,"4","2","20","15","3","238","31","798","172","5","1","2","1","111111","11111111111111","5",,"1",,,,,,
"9V9290","2017-09-04T18:00:00","26.30","-115.60",,,"1","6","2","5","3","4",,"1",,"10","4","36","1","97","1","2","10170","4","0","8","230",,"200","183","1","240","6","6","7","6","7","A",,"2","1",,,,"238","65","798","172","5","1","2","2","111111","111111111111A1","5",,"2",,,,,,
"VRNF3","2017-09-04T19:00:00","22.70","-111.10",,,"1","6","2","5","3","3",,"1",,"30","4","51","1","98",,"0","10128",,,"8","300",,"300","300","1","280","2","2","1","0","A","1",,"4","1","20","10","3","238","21","798","172","5","1","2","2","111113","111A111111111A","5",,"0",,,,,,
"9V9290","2017-09-05T00:00:00","25.00","-113.70",,,"1","6","2","5","3","4",,"1",,"190","4","82","1","98","2","0","10140","7","30","8","220",,"180","154","1","250","4","3","1","5","6","8",,,,,,,"238","53","798","172","5","1","2","2","111511","11111111111AA1","5",,"0",,,,,,
"A8MW6","2017-09-05T00:00:00","25.70","-113.90",,,"1","6","2","5","7","4",,"1",,"310","4","77","1","98","2","2","10120","6","15","8","233",,"210","200","3","280","3","0","0","9","0","5",,"1","1","22","13","3","238","53","798","172","5","1","2","2","111111","11111111111111","5",,"2",,,,,,
"TBWUK76","2017-09-07T16:00:00","25.30","-114.60",,,"1","4","0","0","3","4",,"1","0","360","4","51",,"97","1",,"10125","3",,"0","251",,,"210",,,,,"2","A","A","A",,"2","0","27","8","2","238","54","992","114","5","1","2","2","F11111","1111A11A1A8117",,"1",,,,,,,"4"
"D5CL4","2017-09-07T18:00:00","28.10","-118.90",,,"1","6","2","5","3","4",,"1",,"330","4","82","1","98","3","1","10165","3","5","8","225",,"195","180","3","200","4","4","4","5","6","2",,"3","1",,,,"238","88","798","172","5","1","2","2","111111","111111111111A1","5",,"1",,,,,,
"D5CL4","2017-09-07T21:00:00","27.60","-118.10",,,"1","6","2","5","3","4",,"1",,"340","4","98","1","98","2","2","10150","6","10","8","225",,"195","180","3","210","6","6","1","4","A","A",,"8","4",,,,"238","78","798","172","5","1","2","2","111111","111111111111A1","5",,"2",,,,,,
"D5CL4","2017-09-08T09:00:00","25.70","-115.30",,,"1","6","2","5","3","4",,"1",,"20","4","41","1","98","2","2","10125","4","0","8","225",,"205","196","3","220","8","8","6","2","A","A",,"6","1",,,,"238","55","798","172","5","1","2","1","111111","111111111111A1","5",,"2",,,,,,
"D5CL4","2017-09-08T21:00:00","23.70","-112.50",,,"1","6","2","5","3","4",,"1",,"320","4","21","1","98","2","0","10125","5","5","8","225",,"195","180","3","220","3","3","1","4","A","A",,"6","1","14","6","3","238","32","798","172","5","1","2","2","111111","11111111111111","5",,"0",,,,,,
"VRGH3","2017-09-08T21:00:00","27.60","-118.10",,,"1","6","2","5","3","4",,"1",,"350","4","82","1","98","2","2","10150","4","0","8","220",,"190","172","1","240","8","8","7","2","1","A",,"10","4","33","10","4","238","78","798","172","5","1","2","2","111111","11111111111111","5",,"2",,,,,,
"A8JE6","2017-09-09T01:00:00","23.00","-111.50",,,"1","6","2","5","7","4",,"1",,"310","4","51","1","98","2","0","10095","5","8","8","275",,"246","235","3","280","1","1","1","4","A","A",,,"1","31","6","3","238","31","798","172","5","1","2","2","111111","11111111111311","5",,"0",,,,,,
"A8JE6","2017-09-09T06:00:00","23.80","-112.60",,,"1","4","0","0","7","3",,"1","0","320","4","36",,"97",,,"10110","4","0","0","250","0","235","229",,,,,,"A",,,,,,"0",,,"238","32","992","114","5","1","2","1","F11111","111AA1111A8A31",,"1",,"0",,,,,"4"
"A8JE6","2017-09-09T12:00:00","24.70","-113.80",,,"1","5","2","5","7","3",,"1",,"350","4","72","1","98","2","2","10130","4","0","8","230",,"215","208",,,"8","2","7","2","7","0",,"6","2",,,,"238","43","798","172","5","1","2","1","F11111","111111111A11A1","5",,"2",,,,,,
"A8JE6","2017-09-09T18:00:00","25.60","-115.20",,,"1","4","0","0","7","3",,"1","0","10","4","36",,"98","2","2","10145","1","5","0","240","0","215","204",,,"8",,"7","2","1","A",,,"1","0",,,"238","55","992","114","5","1","2","2","F11111","111111111A1331",,"1","2","0",,,,,"4"
"VRGH3","2017-09-09T20:00:00","23.10","-111.10",,,"1","6","2","5","3","4",,"1",,"350","4","82","1","98","2","1","10140","2","30","8","270",,"250","241","1","290","5","5","1","4","0","0",,"10","4","35","10","4","238","31","798","172","5","1","2","2","111111","11111111111111","5",,"1",,,,,,
"A8JE6","2017-09-10T00:00:00","26.60","-116.60",,,"1","6","2","5","7","3",,"1",,"360","4","82","1","98","3","2","10135","6","5","8","220",,"185","166","3","240","8","2","7","2","7","0",,"6","3","31","7","3","238","66","798","172","5","1","2","2","111111","11111111111111","5",,"2",,,,,,
"CQGU","2017-09-10T02:00:00","26.40","-115.80",,,"1","6","2","5","7","3",,"1",,"310","4","77","1","97","0","0","10105","4","0","8","230",,"210","201","3","230","8",,"6","2","0","0",,"10","3",,,,"238","65","798","172","5","0",,"1","111111","111111111111A1","5",,"0",,,,,,
"A8JE6","2017-09-10T06:00:00","27.60","-117.90",,,"1","4","0","0","7","3",,"1","0","10","4","77",,,,,"10140","4","0","0","210","0","190","180",,,,,,"A",,,,,"1","0",,,"238","77","992","114","5","1","2","1","F11111","11AAA1111A8331",,"1",,"0",,,,,"4"
