"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","ICE_OF_LAND_ORIGIN","IND_FOR_PRECIP"
"4101545","2017-09-01T01:00:00","28.80","-75.11",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","293",,,,,,,,,,,,,"242","85","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4101547","2017-09-01T01:00:00","27.56","-78.02",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","297",,,,,,,,,,,,,"242","78","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4101548","2017-09-01T01:00:00","27.82","-78.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","304",,,,,,,,,,,,,"242","78","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4101550","2017-09-01T01:00:00","28.50","-77.83",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","304",,,,,,,,,,,,,"242","87","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4201518","2017-09-01T01:00:00","26.28","-79.85",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","305",,,,,,,,,,,,,"242","69","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4400863","2017-09-01T01:00:00","29.49","-76.90",,,"1","4","2","5",,,,"11",,,,,,,,,"10167",,,"8",,,,,,"9","298",,,,,,,,,,,,,"242","96","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"J8NW","2017-09-01T01:00:00","26.60","-79.40",,,"1","6","2","5","2","3",,"1",,"140","3","51","1","98","2","2","10176","2","16","8","297",,"266",,"254","1","320","3","3","1","4","4","5",,"3","1",,,,"242","69","798","172","5","1","2","1","311111","111111111111A1",,"5",,"2",,,,,,,
"SPGF1","2017-09-01T01:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","361","4","0",,,,,"10171","3","4",,"290",,,,,,,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F1111F","11AAA11AAAAAA1","31",,"6",,,,,,,,"4"
"4100010","2017-09-01T01:10:00","29.50","-78.10",,,"1","4",,"0",,,,"11","0","120","1","20",,,,,"10170",,,,"290",,,,"238","1","301",,,,,,,,,,,,,"242","98","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,"4"
"4100047","2017-09-01T01:10:00","27.50","-71.50",,,"1","4","2","5",,,,"11",,"50","1","40",,,,,"10183",,,"8","292",,,,"248",,,,,,,,,,,,,,,"242","71","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,
"4100010","2017-09-01T01:20:00","29.50","-78.10",,,"1","4",,"0",,,,"11","0","120","1","10",,,,,"10172",,,,"290",,,,"240","1","302",,,,,,,,,,,,,"242","98","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,"4"
"4100047","2017-09-01T01:20:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","80","1","40",,,,,"10185",,,,"292",,,,"249","1","301",,,,,,,,,,,,,"242","71","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,"4"
"4100010","2017-09-01T01:30:00","29.50","-78.10",,,"1","4",,"0",,,,"11","0","140","1","10",,,,,"10174",,,,"290",,,,"241","1","301",,,,,,,,,,,,,"242","98","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,"4"
"4100047","2017-09-01T01:30:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","170","1","60",,,,,"10184",,,,"271",,,,"243","1","301",,,,,,,,,,,,,"242","71","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,"4"
"4100010","2017-09-01T01:40:00","29.50","-78.10",,,"1","4",,"0",,,,"11","0","140","1","20",,,,,"10175",,,,"290",,,,"241","1","301",,,,,,,,,,,,,"242","98","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,"4"
