"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","IND_FOR_PRECIP"
"V7EG5","2017-09-03T10:00:00","20.10","-108.70",,,"1","6","2","5","3","3",,"1",,"200",,"72","1","97","13","1","10120","8","10","8","270","0","260","257","3","280","6","6","7","2","9","2","20","12","3","21","12","2","239","8","798","172","5","0",,"1","111111","11111111111111",,"5",,"1",,
"A8MW6","2017-09-04T00:00:00","21.40","-108.80",,,"1","6","2","5","7","4",,"1",,"300","4","31","1","98","2","2","10122","6","20","8","293",,"260","246","3","330","4","2","0","9","6","8",,"3","1","20","15","3","239","18","798","172","5","1","2","2","311111","11111111111111",,"5",,"2",,
"DGZR2","2017-09-04T03:00:00","21.10","-109.10",,,"1","6","2","5","3","4",,"1",,"310",,"26","1","98","1","1","10122","2","8","8","272",,,"248","1","270","4","1","1","4","7","9","31","6","1",,,,"239","19","798","172","5","1","2","1","111111","1111111A1111A1",,"5",,"1",,
"DGZR2","2017-09-04T06:00:00","20.60","-108.40",,,"1","6","2","5","3","4",,"1",,"360",,"26","1","98","1","0","10135","4","0","8","268",,,,"1","270","1",,"A","6","A","5","36",,"1","22","8","2","239","8","798","172","5","1","2","1","11111F","1111111AA11311",,"5",,"0",,
"OZWA2","2017-09-04T09:00:00","20.70","-107.70",,,"1","6","2","5","3","4",,"1",,"340","4","41","1","96","0",,"10093",,,"8","270",,"255","249","1","270","2",,"1","3","A","A",,,,,,,"239","7","798","172","5","1","2","1","111111","1114A111111AAA",,"5",,,,
"9V9290","2017-09-05T18:00:00","21.20","-108.40",,,"1","4","0","0","3","4",,"1","0","10","4","31",,"98","2","0","10140","4","0","0","290","0","250","232","1","290","1","1","5","6","4","0",,"2","0",,,,"239","18","992","114","5","1","2","2","111111","111111111111A1",,,"1","0",,"4"
"A8JE6","2017-09-08T12:00:00","20.90","-108.70",,,"1","5","2","5","7","4",,"1",,"290","4","36","1","98","1","0","10100","6","10","8","268",,"250","243",,,"1","1","5","5","0","0","0",,"0",,,,"239","8","798","172","5","1","2","1","F11111","111111111A13A1",,"5",,"0",,
"TBWUK76","2017-09-08T13:00:00","21.20","-108.80",,,"1","6","2","5","3","4",,"1",,"260","4","77","1","98",,,"10186","3","13","8","270",,"260","256","1","230","7","5","4","4","6","5",,"5","2","17","6","3","239","18","798","172","5","1","2","1","411131","111AA111111111",,"5",,,,
"A8JE6","2017-09-08T18:00:00","21.80","-109.90",,,"1","4","0","0","7","3",,"1","0","140","4","36",,"98","2","2","10120","1","10","0","300","0","270","260",,,"6","4","2","4","6","2",,,"1","0",,,"239","19","992","114","5","1","2","2","F11111","111111111A1331",,,"1","2","0","4"
"D5CL4","2017-09-09T09:00:00","22.00","-109.80",,,"1","6","2","5","3","3",,"1",,"240","4","26","1","98","2","0","10125","8","5","8","295",,"245","226","3","270","3","2","1","5","8","A",,"6","1",,,,"239","29","798","172","5","1","2","1","111111","111111111111A1",,"5",,"0",,
