"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","IND_FOR_PRECIP"
"SNDP5","2020-09-01T00:00:00","28.21","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10198","8","4",,"282",,,,"1","283",,,,,,,,,,,,"232","87","795","103","16","1","2","2","11FF1F","1AAAA11AA1AAA1","31",,"6",,,"4"
"SNDP5","2020-09-01T00:06:00","28.21","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10197",,,,"286",,,,"1","282",,,,,,,,,,,,"232","87","795","103","16","1","2","2","11FF1F","1AAAA11AA1AAAA","31",,"6",,,"4"
"SNDP5","2020-09-01T00:12:00","28.21","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10197",,,,"284",,,,"1","282",,,,,,,,,,,,"232","87","795","103","16","1","2","2","11FF1F","1AAAA11AA1AAAA","31",,"6",,,"4"
"SNDP5","2020-09-01T00:18:00","28.21","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10197",,,,"280",,,,"1","282",,,,,,,,,,,,"232","87","795","103","16","1","2","2","11FF1F","1AAAA11AA1AAAA","31",,"6",,,"4"
"SNDP5","2020-09-01T00:24:00","28.21","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10197",,,,"281",,,,"1","283",,,,,,,,,,,,"232","87","795","103","16","1","2","2","11FF1F","1AAAA11AA1AAAA","31",,"6",,,"4"
"SNDP5","2020-09-01T00:30:00","28.21","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10197",,,,"278",,,,"1","282",,,,,,,,,,,,"232","87","795","103","16","1","2","2","11FF1F","1AAAA11AA1AAAA","31",,"6",,,"4"
"SNDP5","2020-09-01T00:36:00","28.21","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,,,,,"278",,,,"1","282",,,,,,,,,,,,"232","87","795","103","16","1","2","2","11FFFF","1AAAAA1AA1AAAA","31",,"6",,,"4"
"SNDP5","2020-09-01T00:42:00","28.21","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,,,,,"278",,,,"1","282",,,,,,,,,,,,"232","87","795","103","16","1","2","2","11FFFF","1AAAAA1AA1AAAA","31",,"6",,,"4"
"SNDP5","2020-09-01T00:48:00","28.21","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,,,,,"278",,,,"1","282",,,,,,,,,,,,"232","87","795","103","16","1","2","2","11FFFF","1AAAAA1AA1AAAA","31",,"6",,,"4"
"SNDP5","2020-09-01T00:54:00","28.21","-177.36",,,"1","3","2","5",,,"5",,,,,,,,,,,,,,,,,,"280",,,,,,,,,,,,"232","87","797","103","16","1","2","2","1FFFFF","1AAAAAAAA1AAAA","31",,,,,
"SNDP5","2020-09-01T01:00:00","28.21","-177.36",,,"1","3","2","5",,,"5",,,,,,,,,"10195",,,,"277",,,,,,,,,,,,,,,,,"232","87","797","103","16","1","2","2","F1FF1F","1AAAA11AAAAAAA","31",,,,,
"SNDP5","2020-09-01T01:06:00","28.21","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,,,,,"281",,,,"1","279",,,,,,,,,,,,"232","87","795","103","16","1","2","2","11FFFF","1AAAAA1AA1AAAA","31",,"6",,,"4"
"SNDP5","2020-09-01T01:12:00","28.21","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,,,,,"281",,,,"1","279",,,,,,,,,,,,"232","87","795","103","16","1","2","2","11FFFF","1AAAAA1AA1AAAA","31",,"6",,,"4"
"SNDP5","2020-09-01T01:18:00","28.21","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,,,,,"281",,,,"1","279",,,,,,,,,,,,"232","87","795","103","16","1","2","2","11FFFF","1AAAAA1AA1AAAA","31",,"6",,,"4"
"SNDP5","2020-09-01T01:24:00","28.21","-177.36",,,"1","3","2","5",,,"5",,,,,,,,,,,,,,,,,,"279",,,,,,,,,,,,"232","87","797","103","16","1","2","2","1FFFFF","1AAAAAAAA1AAAA","31",,,,,
"SNDP5","2020-09-01T01:30:00","28.21","-177.36",,,"1","3","2","5",,,"5",,,,,,,,,"10191",,,,"280",,,,,,,,,,,,,,,,,"232","87","797","103","16","1","2","2","F1FF1F","1AAAA11AAAAAAA","31",,,,,
"SNDP5","2020-09-01T01:36:00","28.21","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,,,,,"283",,,,"1","280",,,,,,,,,,,,"232","87","795","103","16","1","2","2","11FFFF","1AAAAA1AA1AAAA","31",,"6",,,"4"
