"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"2AKI4","2020-09-01T00:00:00","28.30","-59.30",,,"1","4","0","0","6","4","1","0","110","3","62",,"98","2","0","10217","7","2","0","292","0","271","263","1","301","3","1","6","2","3","0",,"8","1",,,,"244","89","992","114","5","1","2","1","111111","111111111111A1",,,"1","0",,,,"4"
"4100044","2020-09-01T00:00:00","21.60","-58.60",,,"1","4","2","0","0","0","11","0","80","1","80",,,,,"10176",,,"0","288",,,"266","1","289",,,,"A",,,,"7","3","9","8","2","244","18","993","114","6","1","2","1","111111","11AAA11A11811A",,,"6",,,,,"4"
"4100044","2020-09-01T00:10:00","21.60","-58.60",,,"1","4",,"0",,,"11","0","90","1","80",,,,,"10177",,,,"289",,,"261","1","289",,,,,,,,,,,,,"244","18","793","103","6","0",,"1","111111","11AAA11A11AAAA",,,"6",,,,,"4"
"4100044","2020-09-01T00:20:00","21.60","-58.60",,,"1","4",,"0",,,"11","0","90","1","80",,,,,"10177",,,,"289",,,"260","1","289",,,,,,,,,,,,,"244","18","793","103","6","0",,"1","111111","11AAA11A11AAAA",,,"6",,,,,"4"
"4100044","2020-09-01T00:30:00","21.60","-58.60",,,"1","4",,"0",,,"11","0","90","1","80",,,,,"10179",,,,"289",,,"263","1","289",,,,,,,,,,,,,"244","18","793","103","6","0",,"1","111111","11AAA11A11AAAA",,,"6",,,,,"4"
"4100044","2020-09-01T00:40:00","21.60","-58.60",,,"1","4",,"0",,,"11","0","90","1","80",,,,,"10180",,,,"289",,,"263","1","289",,,,,,,,,,,,,"244","18","793","103","6","0",,"1","111111","11AAA11A11AAAA",,,"6",,,,,"4"
"4100044","2020-09-01T00:50:00","21.60","-58.60",,,"1","4",,"0",,,"11","0","90","1","80",,,,,"10181",,,,"289",,,"264","1","289",,,,,,,,"6","3","9","8","3","244","18","793","103","6","0",,"1","111111","11AAA11A11A11A",,,"6",,,,,"4"
"4100044","2020-09-01T01:00:00","21.60","-58.60",,,"1","4",,"0",,,"11","0","90","1","80",,,,,"10181","1","19",,"288",,,"263","1","289",,,,,,,,,,,,,"244","18","793","103","6","1","2","1","111111","11AAA11A11AAA1",,,"6",,,,,"4"
"4100044","2020-09-01T01:10:00","21.60","-58.60",,,"1","4",,"0",,,"11","0","90","1","80",,,,,"10182",,,,"288",,,"265","1","289",,,,,,,,,,,,,"244","18","793","103","6","0",,"1","111111","11AAA11A11AAAA",,,"6",,,,,"4"
"4100044","2020-09-01T01:20:00","21.60","-58.60",,,"1","4",,"0",,,"11","0","90","1","80",,,,,"10183",,,,"288",,,"263","1","289",,,,,,,,,,,,,"244","18","793","103","6","0",,"1","111111","11AAA11A11AAAA",,,"6",,,,,"4"
